"","Identifier_1","SampleIDLong","SampleID","bottom.depth","depth.range","date.collection","who.collected","siteID.1","siteID.2","approx.water.content","target.mass.to.distill","date.distilled","distiller","mass.distilled.g","comments","N.Picarro","Session","Identifier_2","d18O.sd","d18O.se","d18O.2se","d18O.mean","d2H.sd","d2H.se","d2H.2se","d2H.mean","d_excess.sd","d_excess.mean","Water.Type","N.IRMS","D17O_pmg","dp17O","dp18O","dp17O_sd","dp18O_sd","D17O_sd","dp17O_se","dp18O_se","D17O_se","D17O_sd_for_err","D17O_err","d18O_IRMS"
"11","sw11","NG-J-20-Aug21sw","NG-J-20",20,"15-20",2021-08-17,"Julia&Naomi","REY","NancyGulch",0.05,"36",2022-07-05,"Julia",NA,"1.5mL of water in 2mL vial",1,"HIDS2220_IsoWater_20220710_145042","CZ17O-sw",NA,0.20035376,0.40070752,-3.315999766,NA,0.367723714,0.735447427,-91.39193461,NA,-64.86393648,"soil",2,-47.2492070839807,-2.07001591537355,-3.83099755357873,0.169963235310529,0.319195911472527,1.42779405303264,0.12018215624048,0.225705593529245,1.0096028570372,8.3,5.86898628384834,-3.82366864444905
"12","sw110","ESGR-13-Nov22sw","ESGR-13-Nov22",10,NA,2022-11-12,"Matthew, Miriam, Julia","ESGR","marker 5",0.3,"9",2023-01-18,"Miriam","10.2","filled 2 inserts",2,"HIDS2220_IsoWater_20230321_192346_KA","CZ17O-sw",0.09699898,0.068588636,0.137177272,-6.250204122,0.004556598,0.003222001,0.006444003,-54.59302711,0.780548434,-4.591394134,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","sw111","ESGR-20-Nov22sw","ESGR-20-Nov22",20,NA,2022-11-12,"Matthew, Miriam, Julia","ESGR","marker 5",0.3,"9",2023-01-20,"Miriam","10.6","filled 2.5 inserts",2,"HIDS2220_IsoWater_20230321_192346_KA","CZ17O-sw",0.015743714,0.011132487,0.022264974,-6.529061021,0.274226995,0.193907767,0.387815535,-58.46195528,0.400176706,-6.22946712,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","sw112","ESGR-51-Nov22sw","ESGR-51-Nov22",51,NA,2022-11-12,"Matthew, Miriam, Julia","ESGR","marker 5",0.3,"9",2023-01-25,"Miriam","10.2","filled 1.5 inserts",2,"HIDS2220_IsoWater_20230321_192346_KA","CZ17O-sw",0.025057824,0.017718557,0.035437115,-7.699095617,0.211929218,0.149856587,0.299713174,-53.31957764,0.412391812,8.273187296,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","sw113","MOJ-CRS-23-May22sw","MOJ-CRS-23",23,"11 to 23",2022-05-15,"Julia, Miriam","MOJ","CRS",0.05,"25",2023-01-30,"Miriam","25.3","filled 3/4 insert",1,"HIDS2220_IsoWater_20230403_201319","CZ17O-sw",Inf,0.177095948,0.354191895,9.752550207,Inf,0.569186263,1.138372526,-26.70832597,NA,-104.7287276,"soil",2,-56.6596866888287,4.93260765996241,9.44936997471824,0.00630909927496265,0.0130960163523124,0.605597359062139,0.00446120688050522,0.00926028196925,0.428221999261503,8.3,5.86898628384834,9.49415622731498
"16","sw114","MOJ-CRS-64-Sep22sw","MOJ-CRS-64",64,"46 to 64",2022-09-16,"Julia, Jane, Keith Kelson","MOJ","CRS",0.01,"25",2023-02-03,"Miriam","25.9","filled 1 insert, very small amount of soil on water tube",1,"HIDS2220_IsoWater_20230321_192346_KA","CZ17O-sw",NA,0.195596221,0.391192441,3.993509524,NA,0.544020815,1.08804163,-33.69548194,NA,-65.64355813,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","sw115","JOR-CSAND-4-19-Sep22sw","JOR-CSAND-4-19",19,"10 to 19",2022-09-09,"Christian Leach","JOR","CSAND",0.05,"25",2023-02-03,"Miriam","24.4","filled 2.5 inserts",1,"HIDS2220_IsoWater_20230321_192346_KA","CZ17O-sw",NA,0.183384613,0.366769226,-2.729495904,NA,0.54437248,1.08874496,-48.80649983,NA,-26.97053259,"soil",2,12.6099191464995,-1.77785298150976,-3.39102822093988,0.0106785085516991,0.0280581803012801,4.13621064738037,0.00755084580986498,0.01984012955879,2.92474259717866,8.3,5.86898628384834,-3.38528517818293
"18","sw116","ESGR-10-oOct22sw","ESGR-10-Oct22",10,NA,2022-10-09,"Matthew and Miriam","ESGR","marker 4",0.3,"9",2023-02-10,"Miriam","10.2","filled 3/4 vial",1,"HIDS2220_IsoWater_20230321_192346_KA","CZ17O-sw",NA,0.187566733,0.375133466,-3.433952834,Inf,0.577666846,1.155333692,-32.78431689,NA,-5.312694223,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","sw118","NG-D-20-Aug22","NG-D-20",20,"12 to 20",2022-08-19,"Scott Robbins","REY","NancyGulch",0.15,"7",2023-02-17,"Miriam","7.5","2 1/2 inserts filled, no condensation",1,"HIDS2220_IsoWater_20230801_165708","CZ17O-sw",Inf,0.183980464,0.367960929,-5.887537943,NA,0.497904469,0.995808937,-74.48115274,NA,-27.3808492,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","sw119","NG-E-26.5-Mar22sw","NG-E-26.5",26.5,"17.5-26.5",2022-03-18,"Kyle LaCoursiere","REY","NancyGulch",0.1,"10",2023-02-17,"Miriam","9.6","filled 3 inserts, glass wool felt wet at the end, ended 1900 Mtorr",1,"HIDS2220_IsoWater_20230801_165708","CZ17O-sw",NA,0.187261532,0.374523064,-6.065268594,NA,0.43328999,0.86657998,-94.13411797,NA,-45.61196922,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","sw12","EGSR-25-Sep21sw","EGSR-25-Sep21",25,"15 to 25",2021-09-03,"Julia Margaret Natalie","ESGR",NA,0.3,NA,2022-07-06,"Julia",NA,"1.1g of water in 2mL vial",1,"HIDS2220_IsoWater_20220710_145042","CZ17O-sw",NA,0.191092503,0.382185006,-1.500559749,Inf,0.755713263,1.511426526,-12.00577245,NA,-0.001294459,"soil",2,-6.69961433732901,-1.04418905118884,-1.96494211524907,0.0802976134293268,0.154927293821085,1.50399770820689,0.056778986968973,0.10955014005177,1.06348697836212,8.3,5.86898628384834,-1.96301288030942
"23","sw120","MOJ-CRS-5-Jan23sw","MOJ-CRS-5",5,"0 to 5",2023-01-16,"Julia Kelson, Daeun Lee","MOJ","CRS",0.1,"25",2023-03-24,"Miriam","12.8","Unscrewed, reparafilmed after shipping, 12.8g soil because water condensed on the inside of the soil tube when I poured it into the soil tube, filled 2.5 inserts",1,"HIDS2220_IsoWater_20230801_165708","CZ17O-sw",NA,0.183569384,0.367138768,-8.819973439,Inf,0.428983235,0.857966471,-70.06028669,NA,0.499500822,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","sw121","MOJ-JT-64-Jan23sw","MOJ-JT-64",64,"58 to 64",2023-01-16,"Julia Kelson, Daeun Lee","MOJ","JT",0.1,"25",2023-03-24,"Miriam","15.3","change above this horizon from saturated with new? rain water to dry soil, Unscrewed, reparafilmed after shipping, water condensed on tube right when soil went into tube, filled 1 insert",1,"HIDS2220_IsoWater_20230801_165708","CZ17O-sw",NA,0.203143356,0.406286712,-0.91661124,NA,0.501492719,1.002985437,-53.54236757,NA,-46.20947764,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","sw122","MOJ-CRS-22-Jan23sw","MOJ-CRS-22",22,"0 to 22",2023-01-16,"Julia Kelson, Daeun Lee","MOJ","CRS",0.1,"25",2023-03-31,"Miriam","19","Unscrewed, reparafilmed after shipping, filled 2 inserts",1,"HIDS2220_IsoWater_20230801_165708","CZ17O-sw",NA,0.180161946,0.360323892,-5.465217207,NA,0.510523913,1.021047826,-46.41098494,NA,-2.689247286,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","sw123","MOJ-CRS-64-Jan23sw","MOJ-CRS-64",64,"56 to 64",2023-01-16,"Julia Kelson, Daeun Lee","MOJ","CRS",0.1,"25",2023-04-07,"Miriam","24.8","Unscrewed, reparafilmed after shipping, filled 1 insert",1,"HIDS2220_IsoWater_20230801_165708","CZ17O-sw",NA,0.194319353,0.388638707,1.321015255,Inf,0.472146527,0.944293054,-38.51132108,NA,-49.07944312,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","sw124","MOJ-JT-19-Jan23sw","MOJ-JT-19",19,"0 to 19",2023-01-16,"Julia Kelson, Daeun Lee","MOJ","JT",0.1,"25",2023-04-07,"Miriam","24.8","Unscrewed, reparafilmed after shipping, filled 1.5 mL",1,"HIDS2220_IsoWater_20230801_165708","CZ17O-sw",NA,0.192890619,0.385781238,-6.065268594,Inf,0.402824371,0.805648742,-46.71345586,NA,1.808692891,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","sw125","MOJ-JT-32-Jan23sw","MOJ-JT-32",32,"19 to 32",2023-01-16,"Julia Kelson, Daeun Lee","MOJ","JT",0.1,"25",2023-04-19,"Miriam","19.8","Unscrewed, reparafilmed after shipping, filled 1 vial",1,"HIDS2220_IsoWater_20230801_165708","CZ17O-sw",NA,0.182051546,0.364103092,-6.536651648,NA,0.425384796,0.850769593,-67.65478923,NA,-15.36157605,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","sw126","MOJ-PJ-70-Jan23sw","MOJ-PJ-70",70,"57 to 70",2023-01-17,"Julia Kelson, Daeun Lee","MOJ","PJ",0.1,"25",2023-04-19,"Miriam","23.6","Unscrewed, reparafilmed after shipping, filled 2 inserts",1,"HIDS2220_IsoWater_20230801_165708","CZ17O-sw",NA,0.190733267,0.381466534,-4.009942279,NA,0.400335515,0.800671031,-68.08517961,NA,-36.00564138,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","sw127","MOJ-PJ-5-Jan23sw","MOJ-PJ-5",5,"0 to 5",2023-01-17,"Julia Kelson, Daeun Lee","MOJ","PJ",0.1,"25",2023-04-21,"Miriam","15.3","sampled under snow with trowel, smelled like poop/swamp water!! filled 1 vial",1,"HIDS2220_IsoWater_20230801_165708","CZ17O-sw",NA,0.173463712,0.346927423,-8.738202909,NA,0.397408153,0.794816306,-64.77023083,NA,5.135392445,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","sw128","MOJ-PJ-17-Jan23sw","MOJ-PJ-17",17,"0 to 17",2023-01-17,"Julia Kelson, Daeun Lee","MOJ","PJ",0.1,"25",2023-04-21,"Miriam","15.3","filled 1 vial",1,"HIDS2220_IsoWater_20230801_165708","CZ17O-sw",NA,0.16943274,0.33886548,-9.203573424,NA,0.354460775,0.708921549,-76.6830493,NA,-3.054461911,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","sw129","NG-K-60-Mar23sw","NG-K-60",60,"50 to 60",2023-03-24,"Scott Robbins","REY","NancyGulch",NA,NA,2023-05-30,"Julia","7.2","filled one 2-mL vial. soil sample was in plastic 30ml vials with ploycone seal",1,"HIDS2220_IsoWater_20230801_165708","CZ17O-sw",NA,0.18125571,0.362511419,-11.73966235,NA,0.424273221,0.848546442,-115.9403092,NA,-22.0230104,"soil",2,3.63905197359716,-6.31605760619568,-11.9691224586539,0.00790180924148254,0.0143422938045266,0.32907811270258,0.00558742289829484,0.0101415332069505,0.232693365032065,8.3,5.86898628384834,-11.8977774418729
"33","sw13","ESGR-50-Sep21sw","ESGR-50-Sep21",50,"40 to 50",2021-09-03,"Julia Margaret Natalie","ESGR",NA,0.3,NA,2022-07-06,"Julia",NA,"about 0.9 mL of water in 2 mL vial",1,"HIDS2220_IsoWater_20220710_145042","CZ17O-sw",Inf,0.196357375,0.39271475,-2.075093119,NA,0.499700814,0.999401629,-10.23613928,NA,6.364605675,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","sw130","JOR-CSAND-5-39-Feb23sw","JOR-CSAND-5-39",39,"30 to 39",2023-02-03,"Christian Leach","JOR","CSAND",NA,NA,2023-05-30,"Julia","25.6","filled two inserts",1,"HIDS2220_IsoWater_20230801_165708","CZ17O-sw",Inf,0.206902509,0.413805019,4.111554833,Inf,0.754007185,1.50801437,-29.00654826,NA,-61.89898693,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","sw131","NG-K-5-Mar23","NG-K-5",5,"0 to 5",2023-03-24,"Scott Robbins","REY","NancyGulch",NA,NA,2023-05-30,"Julia","7.6","soil sample was very wet as observed when weighing/scooping. filled one vial 3/4 full",1,"HIDS2220_IsoWater_20230801_165708","CZ17O-sw",NA,0.176809756,0.353619512,-15.72765919,NA,0.825301495,1.650602991,-134.1764772,NA,-8.355203721,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","sw132","NG-K-33-Mar23","NG-K-33",33,"13 to 33",2023-03-24,"Scott Robbins","REY","NancyGulch",NA,NA,2023-05-30,"Julia","7.5","filled one 2-mL vial. Difficulty passing the leak test",1,"HIDS2220_IsoWater_20230801_165708","CZ17O-sw",Inf,0.184493601,0.368987202,-11.75794047,NA,0.349959419,0.699918838,-116.8579148,NA,-22.794391,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
