"","Identifier_1","SampleIDLong","SampleID","bottom.depth","depth.range","date.collection","who.collected","siteID.1","siteID.2","approx.water.content","target.mass.to.distill","date.distilled","distiller","mass.distilled.g","comments","N.Picarro","Session","Identifier_2","d18O.sd","d18O.se","d18O.2se","d18O.mean","d2H.sd","d2H.se","d2H.2se","d2H.mean","d_excess.sd","d_excess.mean","Water.Type","N.IRMS","D17O_pmg","dp17O","dp18O","dp17O_sd","dp18O_sd","D17O_sd","dp17O_se","dp18O_se","D17O_se","D17O_sd_for_err","D17O_err","d18O_IRMS"
"95","sw23","NG-J-65-Aug21sw","NG-J-65 (repeat)",65,"60-65",2021-08-17,"Julia&Naomi","REY","NancyGulch",0.2,"9.88",2022-07-08,"Kirsten",NA,"1 2ml vial",1,"HIDS2220_IsoWater_20220713_142653","CZ17O-sw",Inf,0.184010375,0.36802075,-10.50423661,NA,0.380196501,0.760393002,-111.4348061,NA,-27.40091324,"soil",2,-7.23165701585504,-5.56905756081651,-10.5337611814406,0.00491761479890635,0.0112530229677577,1.02398132809459,0.00347727877157,0.00795708884934943,0.72406414090409,8.3,5.86898628384834,-10.478475411775
"96","sw24","MOJ-JT-58-Oct21sw","MOJ-JT-58",58,"50-58",2021-10-16,"Julia, Naomi and Ron","MOJ","JT",0.05,"52",2022-07-08,"Kirsten",NA,"2 2ml vials with inserts",1,"HIDS2220_IsoWater_20220713_142653","CZ17O-sw",NA,0.193819715,0.387639429,-2.619824631,NA,0.425607729,0.851215457,-75.13632575,NA,-54.17772869,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","sw25","MOJ-JT-22-Oct21sw","MOJ-JT-22",22,"15-22",2021-10-16,"Julia, Naomi and Ron","MOJ","JT",0.05,"25",2022-07-11,"Julia","48.9","soil exploded through glass wool, tried to load entire vial (48.9 g of soil)",1,"HIDS2220_IsoWater_20220713_142653","CZ17O-sw",NA,0.221043328,0.442086657,9.523624744,Inf,0.853509508,1.707019016,-26.36483547,NA,-102.5538334,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","sw26","JOR-CSAND-2-15-Mar22sw","JOR-CSAND-2-15",15,NA,2022-03-22,"Julia, Christian Leach, Elizabeth","JOR","CSAND",0.04,"25",2022-07-11,"Julia","44.8","1 2mL vial 1/2 full, collected 1.2 g of water",1,"HIDS2220_IsoWater_20220713_142653","CZ17O-sw",NA,0.207772981,0.415545963,8.767919602,Inf,0.434964873,0.869929745,-34.83900682,NA,-104.9823636,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","sw27","JOR-CSAND-2-51-Mar22sw","JOR-CSAND-2-51",51,NA,2022-03-22,"Julia, Christian Leach, Elizabeth","JOR","CSAND",0.06,"25",2022-07-11,"julia","25.1","filtered due to sediment in water tube, recovered 1 vial with insert",1,"HIDS2220_IsoWater_20220713_142653","CZ17O-sw",NA,0.197716463,0.395432925,2.509541966,NA,0.526684275,1.053368549,-37.06891808,NA,-57.14525381,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","sw28","NG-B-18-Nov21sw","NG-B-18",18,"44913",2021-11-14,"Kyle LaCoursiere","REY","NancyGulch",0.05,"25",2022-07-11,"Julia and Matthew","21.1","filled 2 inserts",1,"HIDS2220_IsoWater_20220713_142653","CZ17O-sw",NA,0.195365108,0.390730215,-3.215199677,NA,0.704596628,1.409193257,-89.66812605,NA,-63.94652864,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","sw29","NG-B-62-Nov21sw","NG-B-62",62,"56-62",2021-11-14,"Kyle LaCoursiere","REY","NancyGulch",0.05,"25",2022-07-11,"Julia","22.9","25 g of soil yielded >3 g of water",1,"HIDS2220_IsoWater_20220713_142653","CZ17O-sw",NA,0.183275785,0.36655157,-9.532923378,NA,0.391531,0.783062,-109.7698735,NA,-33.50648645,"soil",2,0.950266939337753,-5.29364459094987,-10.0276417763053,0.000553599657088311,0.00110703272939406,1.13811293820661,0.000391454071589692,0.000782790349949991,0.804767376362037,8.3,5.86898628384834,-9.97753260863843
"102","sw30","NG-E-62.5-Mar22sw","NG-E-62.5",62.5,"52-62.5",2022-03-18,"Kyle LaCoursiere","REY","NancyGulch",0.05,"25",2022-07-12,"Julia","21","one 2 mL vial",1,"HIDS2220_IsoWater_20220713_142653","CZ17O-sw",NA,0.186966321,0.373932642,-11.36738684,NA,0.393554745,0.787109491,-117.9872363,NA,-27.0481416,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","sw31","NG-M-54-Jun22sw","NG-M-54",54,"45-54",2022-06-01,"Dylan Thompson, Mark Robbins","REY","NancyGulch",0.1,"25",2022-07-12,"Julia","22.2","two 2mL vials; problems with condensation probably because so much water",1,"HIDS2220_IsoWater_20220713_142653","CZ17O-sw",Inf,0.191425632,0.382851264,-10.17567956,NA,0.444310821,0.888621642,-112.3331272,NA,-30.92769078,"soil",2,-0.642681071949535,-5.59930712129028,-10.6035311367771,7.0927261786346e-05,0.00992425969975112,5.31093638325307,5.01531477801187e-05,0.00701751133195039,3.7553991310486,8.3,5.86898628384834,-10.5475118759866
"104","sw32","NG-M-21-Jun22sw","NG-M-21",21,"13-21",2022-06-01,"Dylan Thompson, Mark Robbins","REY","NancyGulch",0.1,"25",NA,"Julia","15","one 2 mL vial, some visible sediment, put activated charcoal in it",1,"HIDS2220_IsoWater_20220713_142653","CZ17O-sw",NA,0.174385796,0.348771592,-11.05318771,NA,0.351720676,0.703441351,-115.8147891,NA,-27.38928745,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","sw33","NG-E-62.5-Mar22sw-repeat","NG-E-62.5",62.5,"52-62.5",2022-03-18,"Kyle LaCoursiere","REY","NancyGulch",0.05,"25",2022-07-12,"Julia","7.4","repeated bc of condensation problems with sw 30. filled 3 inserts",1,"HIDS2220_IsoWater_20220713_142653","CZ17O-sw",NA,0.189396968,0.378793935,-10.99097006,NA,0.356394454,0.712788907,-116.2000019,NA,-28.27224136,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","sw35","MOJ-CRS-60-May22sw","MOJ-CRS-60",60,"53 to 60",2022-05-15,"Julia, Miriam","MOJ","CRS",0.05,"25",2022-07-13,"Matthew","30.4","filled 1/2 vial with insert",1,"HIDS2220_IsoWater_20220713_142653","CZ17O-sw",NA,0.194712602,0.389425204,2.93836515,NA,0.657658833,1.315317666,-45.2590745,NA,-68.7659957,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","sw37","ESGR-50-Aug21","ESGR-50-Aug21",50,NA,2021-08-11,"Julia","ESGR",NA,0.25,"10.296",2022-07-14,"Matthew","10.4","one and a half inserts full",1,"HIDS2220_IsoWater_20220713_142653","CZ17O-sw",NA,0.1883045,0.376609,-4.505019409,NA,0.517817789,1.035635577,-33.76422518,NA,2.275930088,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","sw38","ESGR-10-Aug21","ESGR-10-Aug21",10,NA,2021-08-11,"Julia","ESGR",NA,0.25,"10.296",2022-07-14,"Matthew","10.5","filled one insert, yielded about 0.5 g of soil",1,"HIDS2220_IsoWater_20220713_142653","CZ17O-sw",Inf,0.196947782,0.393895565,-5.609861283,NA,0.46208001,0.924160021,-39.67310864,NA,5.205781628,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","sw39","MOJ-CRS-60-May22sw","MOJ-CRS-60",60,"53 to 60",2022-05-15,"Julia, Miriam","MOJ","CRS",0.05,"25",2022-07-14,"Matthew","18.2","filled 2/3 vial with insert",1,"HIDS2220_IsoWater_20220713_142653","CZ17O-sw",NA,0.200461396,0.400922792,3.072133096,NA,0.440886438,0.881772877,-43.80035148,NA,-68.37741624,"soil",2,-66.4220439436078,1.27143935773356,2.53382841226738,0.00334112343079312,0.0163419104401098,5.28740528158801,0.00236253103469508,0.0115554756897449,3.73876012949245,8.3,5.86898628384834,2.53704126851462
"110","sw4","ESGR-90-Oct21sw","ESGR-90-Oct21",90,NA,2021-10-28,"Julia Margaret Matthew","ESGR",NA,0.3,"7",2022-06-10,"Julia",NA,"1 vial with 1 mL of water",1,"HIDS2220_IsoWater_20220710_145042","CZ17O-sw",NA,0.187197073,0.374394147,-8.049195994,Inf,0.470014009,0.940028017,-63.38659388,NA,1.006974065,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","sw40","MOJ-JT-94-May22sw","MOJ-JT-94",94,"76 to 94",2022-05-15,"Julia, Miriam","MOJ","JT",0.05,"25",2022-07-14,"Julia","32","filled 2.6 inserts, 3 vials",1,"HIDS2220_IsoWater_20220713_142653","CZ17O-sw",NA,0.19987497,0.399749941,-3.823736148,NA,0.415174063,0.830348126,-70.32790477,NA,-39.73801559,"soil",2,-4.90904031341154,-2.06653102890995,-3.90458709961466,0.0143679286643975,0.0120579028245956,8.00135597301071,0.0101596597902001,0.00852622485415999,5.65781306720336,8.3,5.86898628384834,-3.89697411115419
"112","sw41","MOJ-JT-14-May22sw","MOJ-JT-14",14,"0 to 14",2022-05-15,"Julia, Miriam","MOJ","JT",0.05,"25",2022-07-15,"Matthew","26.7","filled 2/3 vial with insert",1,"HIDS2220_IsoWater_20220716_DL","CZ17O-sw",NA,0.221443063,0.442886126,9.55399762,Inf,0.411011234,0.822022467,-41.85402451,NA,-118.2860055,"soil",2,-109.074292628853,4.72294603759424,9.15155365572556,0.00346375090886574,0.0222895866332913,8.305150833505,0.00244924175600003,0.0157611178582453,5.87262847314849,8.305150833505,5.87262847314849,9.19355715753878
"113","sw42","NG-E-26.5-Mar22sw","NG-E-26.5",26.5,"17.5-26.5",2022-03-18,"Kyle LaCoursiere","REY","NancyGulch",0.1,"25",2022-07-15,"Matthew","10.3","one vial half filled ~1mL",1,"HIDS2220_IsoWater_20220716_DL","CZ17O-sw",Inf,0.18264533,0.365290659,-7.389945094,NA,0.544423996,1.088847992,-99.04070344,NA,-39.92114269,"soil",2,-35.767344155098,-4.0722506868876,-7.64485481578125,0.00784686892497209,0.00848285567676895,3.36792112763839,0.00554857422792976,0.00599828477287012,2.38147986785455,8.3,5.86898628384834,-7.61570723683569
"114","sw43","NG-E-17.5-Mar22sw","NG-E-17.5",17.5,"0-17.5",2022-03-18,"Kyle LaCoursiere","REY","NancyGulch",0.1,"25",2022-07-15,"Julia","17","filled one 2mL vial. Condensation problems during 1st 30min",1,"HIDS2220_IsoWater_20220716_DL","CZ17O-sw",Inf,0.179392997,0.358785993,-11.3727871,Inf,0.375846933,0.751693866,-108.1754235,NA,-17.1931267,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","sw44","MOJ-PJ-60-May22sw","MOJ-PJ-60",60,"46 to 60",2022-05-16,"Julia, Miriam","MOJ","PJ",0.06,"25",2022-07-15,"Matthew","24.3","Condensation at start, filled 2 inserts",1,"HIDS2220_IsoWater_20220716_DL","CZ17O-sw",NA,0.206255706,0.412511413,-3.886769098,NA,0.501382199,1.002764398,-66.91535461,NA,-35.82120183,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","sw45","MOJ-PJ-13-May22sw","MOJ-PJ-13",13,"0 to 13",2022-05-16,"Julia, Miriam","MOJ","PJ",0.06,"25",2022-07-18,"Matthew","37.4","filled 1+2/3 inserts",1,"HIDS2220_IsoWater_20220716_DL","CZ17O-sw",Inf,0.235192866,0.470385732,7.297808692,Inf,0.583485875,1.16697175,-44.55703248,NA,-102.939502,"soil",2,-95.6025709014309,3.50719994791153,6.82348961896393,0.262244252526527,0.516893764630444,10.6756551983449,0.185434689288705,0.36549908612323,7.5488281843591,10.6756551983449,7.5488281843591,6.84682266499537
"117","sw46","ESGR-10-Dec21","ESGR-10-Dec21",10,NA,2021-12-12,"Julia","ESGR",NA,0.3,"8.58",2022-07-18,"Matthew","9.8","slight condensation ~20min. Filled 1 vial (~1.2mL)",1,"HIDS2220_IsoWater_20220716_DL","CZ17O-sw",NA,0.186629664,0.373259328,-10.2407175,NA,0.588698467,1.177396933,-78.29043805,NA,3.635301955,"soil",2,14.3235536821926,-5.39150068811686,-10.2383034882558,0.00872338686441316,0.0202889084773393,1.98915681162436,0.0061683660067402,0.0143464247671998,1.406546270343,8.3,5.86898628384834,-10.1860704702459
"118","sw47","ESGR-50-Dec21","ESGR-50-Dec21",50,NA,2021-12-12,"Julia","ESGR",NA,0.3,"8.58",2022-07-18,"Matthew","9.5","slight condensation during 1st 30min, filled 1 vial (~1.2mL)",1,"HIDS2220_IsoWater_20220716_DL","CZ17O-sw",NA,0.192563644,0.385127287,-8.458653486,Inf,0.557794864,1.115589728,-61.97172578,NA,5.697502103,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","sw48","JOR-CSAND-1-15-Oct21sw","JOR-CSAND-1-15",15,NA,2021-10-20,"Julia, Naomi and Lixin","JOR","CSAND",0.07,"25",2022-07-22,"julia","26","repeat of the same vial; 2 inserts mostly full",1,"HIDS2220_IsoWater_20220809_141501","CZ17O-sw",Inf,0.264491454,0.528982908,9.316676195,NA,0.843404291,1.686808582,-15.80347833,NA,-88.85620412,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","sw49","JOR-CSAND-1-80-Oct21sw","JOR-CSAND-1-80",80,NA,2021-10-20,"Julia, Naomi and Lixin","JOR","CSAND",0.09,"25",2022-07-22,"julia","27.5","collected 0.6 g of water, filled 1.5 inserts (lost some sample due to malfunctioning insert)",1,"HIDS2220_IsoWater_20220809_141501","CZ17O-sw",Inf,0.240578799,0.481157598,2.899134066,Inf,0.69546059,1.390921181,-37.44485627,NA,-63.97051393,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","sw5","MOJ-CRS-56-Oct21sw","MOJ-CRS-56",56,"50-56",2021-10-17,"Julia, Naomi and Ron","MOJ","CRS",0.03,"66",2022-06-13,"Julia",NA,"2 vials with inserts, one half full",1,"HIDS2220_IsoWater_20220710_145042","CZ17O-sw",Inf,0.210405796,0.420811592,3.917757436,NA,0.540585796,1.081171592,-34.57581129,NA,-65.91787078,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","sw50","JOR-CSAND-3-20-Jun22sw","JOR-CSAND-3-20",20,NA,2022-06-06,"Christian Leach, Elizabeth Gardea","JOR","CSAND",0.05,"25",2022-07-26,"Julia","28.1","filled one insert",1,"HIDS2220_IsoWater_20220809_141501","CZ17O-sw",Inf,0.307209118,0.614418236,10.78113297,NA,0.870825309,1.741650617,-30.47743688,NA,-119.5725024,"soil",2,-146.897000529966,5.49502361960116,10.6854557199453,0.00918390397197571,0.0126175634497917,2.52183047050083,0.0064940007763501,0.00892196467739925,1.783203426694,8.3,5.86898628384834,10.7427490886585
"123","sw51","JOR-CSAND-3-50-Jun22sw","JOR-CSAND-3-50",50,NA,2022-06-06,"Christian Leach, Elizabeth Gardea","JOR","CSAND",0.05,"25",2022-07-26,"Julia","21.8","filled one insert",1,"HIDS2220_IsoWater_20220809_141501","CZ17O-sw",NA,0.276840037,0.553680074,7.981901301,NA,0.783619629,1.567239258,-34.0195082,NA,-102.0896449,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","sw52","MOJ-JT-90-Oct21sw","MOJ-JT-90",90,"80-90",2021-10-16,"Julia, Naomi and Ron","MOJ","JT",0.05,"25",2022-08-15,"Matthew","23","two vials with inserts",1,"HIDS2220_IsoWater_20220909_134319","CZ17O-sw",NA,0.186216594,0.372433188,-3.268413386,NA,0.546909145,1.09381829,-65.36936007,NA,-39.22205299,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","sw53","ESGR-43-Oct20","ESGR-43-Oct20",43,"37 to 43",2020-10-19,"Julia Tyler","ESGR",NA,0.25,"10.296",2022-08-15,"Matthew","9.9","filled most of an insert",1,"HIDS2220_IsoWater_20220909_134319","CZ17O-sw",Inf,0.181341288,0.362682577,-6.636767412,Inf,0.463029185,0.926058369,-50.63699875,NA,2.457140544,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","sw54","ESGR-30-Jun22","ESGR-30-Jun22",30,NA,2022-06-13,"Julia and Matthrew","ESGR",NA,0.25,"10.296",2022-08-16,"Matthew","10.9","filled 2.5 inserts",1,"HIDS2220_IsoWater_20220909_134319","CZ17O-sw",NA,0.184296112,0.368592224,-5.817010143,NA,0.473329435,0.946658871,-36.80050642,NA,9.735574723,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","sw56","ESGR-10-Jul22","ESGR-10-Jul22",10,NA,2022-07-26,"Julia","ESGR","in CO2 meter pit",0.3,"8.58",2022-08-16,"Matthew","8.8","filled 1/2 vial ~1.2mL",1,"HIDS2220_IsoWater_20220909_134319","CZ17O-sw",Inf,0.179546126,0.359092253,-6.512941293,NA,0.455452269,0.910904537,-44.63107386,NA,7.472456482,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","sw57","ESGR-25-Jul22","ESGR-25-Jul22",25,NA,2022-07-26,"Julia","ESGR","in CO2 meter pit",0.3,"8.58",2022-08-16,"Matthew","11.3","filled 1 vial ~1.5mL",1,"HIDS2220_IsoWater_20220909_134319","CZ17O-sw",NA,0.19249849,0.38499698,-8.381675938,Inf,0.510984434,1.021968869,-58.23963599,NA,8.813771519,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","sw59","JOR-CSAND-3-10-Jun22sw","JOR-CSAND-3-10",10,NA,2022-06-06,"Christian Leach, Elizabeth Gardea","JOR","CSAND",0.05,"25",2022-08-17,"Matthew","23.1","filled most of an insert, condensation ~30min in",1,"HIDS2220_IsoWater_20220909_134319","CZ17O-sw",NA,0.197029007,0.394058013,6.580253006,Inf,0.463273825,0.926547649,-45.10590844,NA,-97.74793249,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","sw6","ESGR-20-Jun22sw","ESGR-20-Jun22",20,NA,2022-06-13,"Julia and Matthrew","ESGR",NA,NA,NA,2022-06-14,"Julia",NA,"1.1 mL of water in 1 vial",1,"HIDS2220_IsoWater_20220710_145042","CZ17O-sw",NA,0.194807973,0.389615947,-7.159037104,NA,0.623218809,1.246437618,-47.64626418,NA,9.626032657,"soil",2,23.377583143273,-3.9545780352321,-7.53400685298366,0.0618523371509525,0.124928631305235,4.1099801782103,0.0437362070316751,0.0883378823602854,2.9061948545548,8.3,5.86898628384834,-7.50569736259799
"132","sw60","ESGR-45-Nov20","ESGR-45-Nov20",45,"35 to 45",2020-11-16,"Julia Tyler","ESGR",NA,0.25,"10.296",2022-08-17,"Matthew","9.9","filled 1/2 vial ~.9mL",1,"HIDS2220_IsoWater_20220909_134319","CZ17O-sw",NA,0.180257542,0.360515084,-7.702286446,NA,0.420348123,0.840696246,-58.59005766,NA,3.028233904,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","sw62","MOJ-CRS-72-Jan22sw","MOJ-CRS-72",72,NA,2022-01-18,"Julia, Jane, Keith","MOJ","CRS",0.05,"52",2022-08-18,"Matthew","32.7","filled most of 2 inserts",1,"HIDS2220_IsoWater_20220909_134319","CZ17O-sw",NA,0.199681101,0.399362201,0.073473989,Inf,0.466432856,0.932865713,-47.89198893,NA,-48.47978084,"soil",2,-30.9291763634771,-0.00989930434861668,0.0398293030584479,0.0136615640427518,0.0217577080396778,2.17349419780191,0.00966018457624412,0.0153850228979333,1.53689248613535,8.3,5.86898628384834,0.039830096255633
"135","sw63","MOJ-JT-32-Jan22sw","MOJ-JT-32",32,NA,2022-01-18,"Julia, Jane, Keith","MOJ","JT",0.07,"entire tube",2022-08-18,"Matthew","28.6","began to condense, stopped it before got to ultratorr, filled most of a vial ~1.5mL",1,"HIDS2220_IsoWater_20220909_134319","CZ17O-sw",Inf,0.180337838,0.360675676,-5.324777686,Inf,0.413829329,0.827658658,-67.40199794,NA,-24.80377645,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","sw64","MOJ-JT-92-Jan22sw","MOJ-JT-92",92,NA,2022-01-18,"Julia, Jane, Keith","MOJ","JT",0.07,"entire tube",2022-08-18,"Matthew","35.4","filled 2 inserts",1,"HIDS2220_IsoWater_20220909_134319","CZ17O-sw",NA,0.191300506,0.382601012,-4.723842911,NA,0.56281199,1.12562398,-70.54690638,NA,-32.7561631,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","sw65","ESGR-50-Jul22","ESGR-50-Jul22",50,NA,2022-07-26,"Julia","ESGR","in CO2 meter pit",0.3,"8.58",2022-08-18,"Matthew","11.8","filled 1 insert",1,"HIDS2220_IsoWater_20220909_134319","CZ17O-sw",Inf,0.172645039,0.345290078,-5.680423316,NA,0.483366412,0.966732825,-35.7084109,NA,9.734975627,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","sw66","NG-J-25-Aug21sw","NG-J-25",25,NA,2021-08-17,"Julia&Naomi","REY","NancyGulch",0.05,"25",2022-08-19,"Matthew","20.6","condensation 10 min in, filled a vial ~1.5mL",1,"HIDS2220_IsoWater_20220909_134319","CZ17O-sw",Inf,0.180158173,0.360316345,-5.514534125,Inf,0.510804421,1.021608841,-91.3956751,NA,-47.2794021,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","sw67","NG-M-13-Jun22sw","NG-M-13",13,"0-13",2022-06-01,"Dylan Thompson, Mark Robbins","REY","NancyGulch",0.1,"25",2022-08-30,"Matthew","17.7","filled 1 vial ~1.5mL, condensation ~10min in",1,"HIDS2220_IsoWater_20220909_134319","CZ17O-sw",NA,0.243346224,0.486692448,-8.893758384,NA,0.734293414,1.468586828,-105.1183224,NA,-33.96825535,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","sw68","MOJ-JT-56-May22sw","MOJ-JT-56",56,"46 to 56",2022-05-15,"Julia, Miriam","MOJ","JT",0.05,"25",2022-08-30,"Matthew","26.7","filled 2 inserts",1,"HIDS2220_IsoWater_20220909_134319","CZ17O-sw",NA,0.202471534,0.404943069,-1.035525972,Inf,0.735308466,1.470616932,-56.1200532,NA,-47.83584542,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","sw69","NG-B-12-Nov21sw","NG-B-12",12,"0-12",2021-11-14,"Kyle LaCoursiere","REY","NancyGulch",0.05,"25",2022-09-06,"Matthew","17.6","half a vial filled ~1mL",1,"HIDS2220_IsoWater_20220909_134319","CZ17O-sw",NA,0.187484028,0.374968056,-4.92139756,NA,0.527715293,1.055430586,-91.68365014,NA,-52.31246967,"soil",2,-40.0740727300844,-2.67351966652411,-4.98758635188263,0.0166238756860175,0.0207752189860338,5.65456006138669,0.0117548552271851,0.01469029822566,3.99837776403315,8.3,5.86898628384834,-4.97516899586326
"142","sw7","JOR-CSAND-1-15-Oct21sw","JOR-CSAND-1-15",15,NA,2021-10-20,"Julia, Naomi and Lixin","JOR","CSAND",0.1,"20",2022-06-14,"julia","20","2 vials with inserts, one half full",1,"HIDS2220_IsoWater_20220710_145042","CZ17O-sw",Inf,0.220489825,0.44097965,9.730487865,Inf,0.636087137,1.272174274,-14.08071214,NA,-91.92461505,"soil",2,-92.1219298538269,4.73176672316757,9.13615275193447,0.0508628246635518,0.0898892456090613,3.40130298197019,0.0359654482298999,0.0635612951259103,2.40508440342115,8.3,5.86898628384834,9.17801478434188
"143","sw70","ESGR-10-Sep22sw","ESGR-10-Sep22",10,NA,2022-09-03,"Matthew and Miriam","ESGR",NA,0.3,"8.58",2022-09-12,"Miriam and Julia","9.1","two vials with inserts",2,"HIDS2220_IsoWater_20221114_200139","CZ17O-sw",0.42221337,0.298549937,0.597099874,-5.118870684,0.008097653,0.005725905,0.01145181,-45.34403615,3.369609307,-4.393070673,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","sw72","MOJ-JT-23-May22sw","MOJ-JT-23",23,"14 to 23",2022-05-15,"Julia, Miriam","MOJ","JT",0.05,"25",2022-09-13,"Miriam Matthew Julia","26.4","two vials with inserts, one with minor headspace",2,"HIDS2220_IsoWater_20221114_200139","CZ17O-sw",0.020945068,0.014810399,0.029620799,2.772187688,1.605734083,1.135425459,2.270850918,-50.38543605,1.438173541,-72.56293755,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","sw74","MOJ-CRS-11-May22sw","MOJ-CRS-11",11,"0-11",2022-05-15,"Julia, Miriam","MOJ","CRS",0.05,"25",2022-07-16,"Miriam","26.2","insert 1/2 filled",1,"HIDS2220_IsoWater_20221208_202456","CZ17O-sw",NA,0.559504233,1.119008465,9.870893109,NA,1.795362473,3.590724946,-41.28101995,NA,-120.2481648,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","sw75","MOJ-CRS-36-Oct21sw","MOJ-CRS-36",36,"30-36",2021-10-17,"Julia, Naomi and Ron","MOJ","CRS",0.04,"25",2022-09-16,"MIriam","27.9",NA,2,"HIDS2220_IsoWater_20221114_200139","CZ17O-sw",0.004348555,0.003074892,0.006149785,5.367402106,1.836438118,1.298557847,2.597115694,-25.6678184,1.871226555,-68.60703525,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","sw76","JOR-CSAND-2-69-Mar22sw","JOR-CSAND-2-69",69,NA,2022-03-22,"Julia, Christian Leach, Elizabeth","JOR","CSAND",0.06,"25",2022-09-16,"Miriam","25.1","filled 1 1/2 inserts",2,"HIDS2220_IsoWater_20221114_200139","CZ17O-sw",0.10883375,0.076957083,0.153914165,0.986088305,1.683272515,1.19025341,2.38050682,-41.36372898,0.812602514,-49.25243541,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","sw77","ESGR-25-Sept22sw","ESGR-25-Sep22",25,NA,2022-09-03,"Matthew and Miriam","ESGR",NA,0.3,"9",2022-09-19,"Miriam","10.3","filled one insert",2,"HIDS2220_IsoWater_20221114_200139","CZ17O-sw",0.007801191,0.005516275,0.01103255,-4.663818207,2.612526032,1.847334873,3.694669747,-32.41644841,2.674935561,4.894097243,"soil",2,33.1376219264202,-2.75646880607185,-5.2833455075725,0.0202797273706272,0.032019629358712,3.37336306922371,0.0143399327443849,0.0226412970506251,2.38532790165235,8.3,5.86898628384834,-5.26941318492014
"149","sw78","NG-B-30-Nov21sw","NG-B-30",30,"25-30",2021-11-14,"Kyle LaCoursiere","REY","NancyGulch",0.05,"25",2022-09-20,"Matthew","26","condensed 10min in, filled 1.5 vials ~3mL",1,"HIDS2220_IsoWater_20221114_200139","CZ17O-sw",NA,0.452099645,0.904199291,-5.680252022,NA,1.422348454,2.844696907,-97.57478645,NA,-52.13277027,"soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
