'Order','Type1','Type2','User','Status','SampleID','AnalyID','Order'2,'Date_Time','AcidTemp','d13CPDBraw','d18OPDBgasraw','d45vref','d46vref','d47vref','d48vref','d9vref','D47vref'3,'D48vref'4,'D49vref','D47@d47=0','D48@d487=0','D49@d49=0','d13CPDB','d18OPDBmin','D47_90 CDES','D47_90 iCDES+','D47_90_iCDES','D48_90 CDES','D48_90 iCDES+','D48_90_iCDES','D49_90 CDES','D49_90 iCDES+','D47_90_iCDES'5,'T(D47)CDES','TD47iCDES+','T(D47)iCDES'
4402,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-187,IPL-CI-4775 PK95-SC-187-02',4402,'3/10/2026 11:45:21 AM',90,-7.464720581,-0.328356219,2.907226646,-1.458935157,1.227234841,-3.024422813,-24.95968175,-0.340119806,-0.120392693,-25.19288268,-0.341507791,-0.117384842,-17.02943379,-7.746298475,-8.321850669,0.592884888,0.586237572,0.581575862,0.25078736,0.250186201,0.258100758,3.734132366,1.36324576,0.179904696,27.69316334,30.08423037,31.79548799
4404,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-27,'IPL-CI-4777 PK95-SC-27-03',4404,'3/11/2026 10:12:01 AM',90,-9.936652051,-1.815644681,0.524410624,-2.948232806,-2.722235595,-5.957897342,-30.35119901,-0.40841127,-0.213162645,-25.3665991,-0.405335946,-0.207084403,-15.44126553,-10.21822994,-9.797147064,0.525242897,0.518136655,0.512339395,0.146987803,0.145054484,0.136199341,1.948301645,1.176087689,0.729526756,55.06643878,58.39658269,61.18969845
4405,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-246,'IPL-CI-4778 PK95-SC-246-02',4405,'3/11/2026 12:45:46 PM',90,-6.663479051,-1.541623108,3.620759648,-2.667952068,0.734856351,-5.462678341,-20.91712086,-0.375155931,-0.146209499,-19.56265216,-0.375985631,-0.140566343,-12.7229298,-6.945056944,-9.525334938,0.556528279,0.549508382,0.544151198,0.224048048,0.22311977,0.226878435,-1.058996644,0.840259699,1.670468289,41.5137129,44.40840779,46.6720253
4406,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-80-n-2,IPL-CI-4779 PK95-SC-80n-2-02',4406,'3/11/2026 3:25:52 PM',90,-13.42518703,0.167335352,-2.699937868,-0.976797702,-4.066707596,-2.0837108,-29.5139305,-0.32376445,-0.142084761,-24.84093817,-0.319175475,-0.139905454,-15.19085794,-13.70676492,-7.830155878,0.616965254,0.610179676,0.605739826,0.224846982,0.223934341,0.227870533,1.664602881,1.146598071,0.818635607,19.4823447,21.72778498,23.22527595
4407,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-246,'IPL-CI-4780 PK95-SC-246-03',4407,'3/12/2026 9:06:19 AM',90,-6.708902116,-1.53798985,3.578075982,-2.664421291,0.676459928,-5.45709681,-25.03279024,-0.382763447,-0.15055456,-23.64929216,-0.383526349,-0.144777039,-15.46501294,-6.990480009,-9.521730976,0.548717456,0.541525904,0.535947406,0.219238128,0.218256543,0.221301712,1.96201386,1.181987375,0.724973169,44.7395823,47.7991329,50.23423974
4391,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-80-n-1,IPL-CI-4758 PK95-SC-80-n-1-01',4391,'3/5/2026 12:30:40 PM',90,-9.597949192,0.087466309,0.908990488,-1.048467502,-0.388722313,-2.231680937,-19.09982915,-0.304431106,-0.139160452,-18.04617487,-0.304002864,-0.137164579,-11.75455506,-9.880298983,-7.90864668,0.631840264,0.625592184,0.621723627,0.227577883,0.228184807,0.231707561,-2.280769306,0.7840022,1.982980658,14.73419738,16.70028398,17.93798654
4394,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-92,'IPL-CI-4761 PK95-SC-92-01',4394,'3/6/2026 11:50:30 AM',90,-8.537923599,-0.245046376,1.897810488,-1.378049583,0.273958094,-2.856993523,-16.56537988,-0.337249819,-0.120786788,-15.91986161,-0.337561065,-0.118238904,-10.49863655,-8.819501492,-8.239212556,0.596364046,0.59024843,0.585959037,0.249515575,0.248839722,0.255931012,-3.739259226,0.641530365,2.405315185,26.46403328,28.63472259,30.18566873
4396,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-92,'IPL-CI-4763 PK95-SC-92-02',4396,'3/6/2026 5:01:49 PM',90,-8.35102157,-0.158641792,2.077492216,-1.291426275,0.541175662,-2.730935399,-18.20791822,-0.347927966,-0.159591738,-17.93458411,-0.348542107,-0.157086146,-11.97671448,-8.632599463,-8.153504656,0.584854491,0.578558384,0.574027211,0.204628027,0.203413937,0.203809779,-1.998571671,0.789042175,1.905582015,30.58893423,32.91873784,34.62901773
4393,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-118up,'IPL-CI-4760 PK95-SC-118up-02',4393,'3/6/2026 9:19:49 AM',90,-8.498843223,-1.739040354,1.881992219,-2.868797662,-1.236126978,-5.845441288,-24.46990415,-0.359617821,-0.129237442,-20.92571234,-0.358257938,-0.123857768,-12.86597468,-8.781193013,-9.720426146,0.574214209,0.56755947,0.562732221,0.243042942,0.243809535,0.248778191,-0.956600279,0.892577583,1.606298835,34.55786766,37.12068445,39.02030737
4397,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-242,'IPL-CI-4764 PK95-242-02',4397,'3/7/2026 1:29:52 PM',90,-3.697624987,-5.422712129,6.282951173,-6.534618415,-0.377570879,-13.12781515,-27.46548027,-0.396457673,-0.103332979,-21.41500237,-0.396029437,-0.091119857,-12.4286131,-3.97920288,-13.37513058,0.534409439,0.527819417,0.522526666,0.28100903,0.280745703,0.292913766,-1.468328364,0.834586297,1.753265608,50.91539342,53.88357946,56.32744164
