MLA_horizon_id,Strat_m_Bowen,Strat_m_Kraus,strat_height_m,Bed,Status,Powder?,Nodule?,d18O_VPBD,D47_CU,17O_IPL,CU_notes,MLA_notes,Reps_needed,mg_needed
PB-00-04-15,1584.7,,1584.7,,,,,,,,,,,0
PB-00-04-16,1594.2,,1594.2,,UM,yes,yes,,yes,yes,,,2,14
PK95-SC-43,1600,,1600,,,,,,,,,,,
PK95-SC-161,1665,,1665,,,,,,,,,,,
PK95-SC-54,1700,,1700,,,,,,,,,,,
PK95-SC-160,1720,,1720,,,,,,,,,,,
PK95-SC-133,1750,,1750,,,,,,,,,,,
PK95-SC-31,1760,,1760,,,,,,,,,,,
PK95-SC-224,1815,,1815,,,,,,,,,,,
PK95-SC-35,1870,,1870,,,,,,,,,,,
PK95-SC-63,1910,,1910,,,,,,,,,,,
PK95-SC-3,1935,,1935,,,,,,,,,,,
PK95-SC-111,2005,,2005,,,,,,,,,,,
PK95-SC-111,2005,,2005,,,,,,,,,,,
PK95-SC-112,2020,,2020,,,,,,,,,,,
PK95-SC-148,2047,,2047,,,,,,,,,,,
PK95-SC-148,2050,,2050,,,,,,,,,,,
PK95-SC-303,2110,,2110,,,,,,,,,,,
