"time_kyr_j2000","age_ma","eccentricity","obliquity_rad","precession_angle_rad","longitude_perihelion_rad","climatic_precession"
-53112,53.112,0.0267863498603673,0.413763226638161,1.66089274299554,-15472.5267242538,0.00487112043402201
-53111,53.111,0.0262429807563628,0.413539604135283,1.41415954057264,-15472.2519448675,-0.00239906325579733
-53110,53.11,0.0257032524176235,0.413082104247469,1.16729555774441,-15471.978331713,-0.0091820213407757
-53109,53.109,0.0251350199168063,0.412386052458935,0.92017277451626,-15471.7030019597,-0.0150025956426929
-53108,53.108,0.024561522771799,0.411480453913162,0.672700940826075,-15471.4307618878,-0.0194364048378517
-53107,53.107,0.0239764650219655,0.410375154576749,0.424748978096297,-15471.157546068,-0.0221896651249542
-53106,53.106,0.0234132600894044,0.409108350731273,0.176258979193337,-15470.8853589497,-0.0232651933537857
-53105,53.105,0.022819924410543,0.407702417717053,-0.072887913534587,-15470.6137023604,-0.0224979372369812
-53104,53.104,0.0222144076931695,0.406201023017956,-0.322717672682623,-15470.3445137211,-0.0201913843826121
-53103,53.103,0.0216892269065945,0.404642551918051,-0.573307650920031,-15470.0751503186,-0.0166027563752023
-53102,53.102,0.0210962612407674,0.403067702708442,-0.824674316312282,-15469.8064278889,-0.0119733869095134
-53101,53.101,0.0205631288570877,0.401522798285448,-1.07681682264076,-15469.5404422472,-0.00682123461197129
-53100,53.1,0.0200337384386145,0.400053161096996,-1.32974783802781,-15469.2736211071,-0.00143275076390263
-53099,53.099,0.0195386023227635,0.398698431964004,-1.58339069968135,-15469.0093544427,0.00374362641588183
-53098,53.098,0.0190369918596035,0.397508261449861,-1.83772859636184,-15468.7448616716,0.0083893667970846
-53097,53.097,0.0185911857053986,0.396509907845944,-2.09263451589614,-15468.4846260992,0.0122188375496064
-53096,53.096,0.0181759603110789,0.395748527720146,-2.34802948713021,-15468.2226631998,0.0150708017346621
-53095,53.095,0.0177691438820587,0.395237633704981,-2.60377331934436,-15467.9649386805,0.0167827221994218
-53094,53.094,0.0174285488231755,0.395009769781426,-2.85973283490242,-15467.7074609502,0.0173547554313953
-53093,53.093,0.0171260352301643,0.395059262426554,-3.11575814167627,-15467.4529485602,0.016847308565776
-53092,53.092,0.0168606044133304,0.395402754736375,2.91149354838307,-15467.197462122,0.0152801951365499
-53091,53.091,0.0166262792186159,0.396016420888868,2.65578700103513,-15466.9459283703,0.0128698186714303
-53090,53.09,0.0164797331328829,0.396901739499555,2.40047202029287,-15466.6942081366,0.00974616200352781
-53089,53.089,0.0163499001691023,0.398017962058803,2.14564921917042,-15466.4435209527,0.00610641962452041
-53088,53.088,0.0162710878377756,0.399347218258969,1.89145855226691,-15466.1943782302,0.00216750722010468
-53087,53.087,0.0162380064904035,0.400843318351358,1.63795354361509,-15465.9465304537,-0.0018487110042549
-53086,53.086,0.0162677785483235,0.402475017436647,1.38525645357922,-15465.696648797,-0.00578590433195979
-53085,53.085,0.0162988481518673,0.404194070616262,1.13337011704067,-15465.4477229714,-0.00936914690835991
-53084,53.084,0.0164130637427538,0.405955589439221,0.882341197108693,-15465.1991236443,-0.0124439009559592
