reactor.ID,IPL.num,User,Type.1,Type.2,horizon_id,sample.ID,group.num,rep.num,Date.Time,Data.File,IPL.ID,Name.full,flag.major,flag.analysis,primes,comments,version,d17O,d.17O,d17O.err,d18O,d.18O,d18O.err,CAP.17O,CAP17O.err,d33,d33.err,d34,d34.err,d35,d35.err,d36,d36.err,X33.mismatch.R2,X34.mismatch.R2,d.18O.prelim,test.d.18O.prelim,flag.d18O,flag,reactor.segment,d33.smow_ref,d34.smow_ref,d17O.slap,d18O.slap,dp17O.SMOWSLAP,dp18O.SMOWSLAP,D17O.SMOWSLAP,D17O.SMOWSLAP.per.meg,dp17O.SMOWSLAP.CO2norm,dp18O.SMOWSLAP.CO2norm,D17O.SMOWSLAP.per.meg.carbNorm,dp17O.SMOWSLAP.CO2norm.type,dp18O.SMOWSLAP.CO2norm.type,D17O.SMOWSLAP.per.meg.carbNorm.type
31,5420,mam,Carbonate,Gona,,DANL-040,1,2 1,10/4/24 15:51,Data_3182,IPL-17O-5420,Data_3182 IPL-17O-5420 DANL-040-R31-2 1,0,0,0,,2.5,13.77496277,13.68095006,0.003760833,26.5946528,26.24716244,0.001415306,-0.177551707,0.003665099,3.439535552,0.003722491,6.1694137,0.001387147,5.115510313,0.156398447,210.7403505,0.112034404,0.039135442,0.037823809,27.23706039,0.516226881,0,0,1,13.92649273,26.82590835,14.35747642,27.62390981,14.25538389,27.24925361,-0.13222201,-132.2220101,10.00895991,19.0883546,-69.69131804,secondary correction applied but only meaningful if D'17O correction was applied,no secondary correction,mineral + 1-pt normalization applied to D17O for data.cor[[2]] using IAEA-603 and/or IAEA-C1 as calcite. Offset=16.87 per meg
31,5421,mam,Carbonate,Gona,,DANL-040,1,3 1,10/4/24 18:31,Data_3183,IPL-17O-5421,Data_3183 IPL-17O-5421 DANL-040-R31-3 1,0,0,0,,2.5,13.74320274,13.64962107,0.003895722,26.54479871,26.19859866,0.00174405,-0.183239021,0.003813719,3.408099319,0.003856005,6.120551517,0.001709351,5.069631801,0.134952403,201.3972449,0.065596946,0.043791475,0.04535248,27.18708736,0.04997303,0,0,1,13.89442352,26.77541911,14.32441476,27.57191864,14.22278967,27.19865875,-0.138102155,-138.1021547,9.976365682,19.03775974,-75.57146261,secondary correction applied but only meaningful if D'17O correction was applied,no secondary correction,mineral + 1-pt normalization applied to D17O for data.cor[[2]] using IAEA-603 and/or IAEA-C1 as calcite. Offset=16.87 per meg
31,5422,mam,Carbonate,Turkana,,ET04-OMO-335,1,1 1,10/4/24 21:15,Data_3184,IPL-17O-5422,Data_3184 IPL-17O-5422 ET04-OMO-335-R31-1 1,0,0,0,,2.5,15.04971529,14.93759145,0.004877947,29.06157781,28.64729742,0.001234351,-0.188181591,0.004611834,4.701291979,0.004828217,8.587256504,0.001209792,8.658582199,0.180533139,201.2535108,0.107811472,0.000718103,3.63E-05,29.70675719,2.519669823,0,0,1,15.20081937,29.29212429,15.67123969,30.1634893,15.54971381,29.71751712,-0.141135227,-141.1352274,11.30328983,21.55661812,-78.60453532,secondary correction applied but only meaningful if D'17O correction was applied,no secondary correction,mineral + 1-pt normalization applied to D17O for data.cor[[2]] using IAEA-603 and/or IAEA-C1 as calcite. Offset=16.87 per meg
31,5423,mam,Carbonate,Turkana,,ET04-OMO-335,1,2 1,10/5/24 0:28,Data_3185,IPL-17O-5423,Data_3185 IPL-17O-5423 ET04-OMO-335-R31-2 1,0,0,0,,2.5,14.84296676,14.73388752,0.004946563,28.64339523,28.24084204,0.001920657,-0.177277071,0.004933841,4.496651255,0.004896133,8.177394128,0.001882443,9.236845604,0.159986089,194.8225782,0.123876634,0.061490691,0.070612371,29.28853385,0.418223339,0,0,1,14.99367216,28.8730933,15.4576819,29.73199322,15.33942899,29.29856763,-0.130214723,-130.2147233,11.093005,21.13766862,-67.68403122,secondary correction applied but only meaningful if D'17O correction was applied,no secondary correction,mineral + 1-pt normalization applied to D17O for data.cor[[2]] using IAEA-603 and/or IAEA-C1 as calcite. Offset=16.87 per meg
31,5424,mam,Carbonate,Turkana,,ET04-OMO-335,1,3 1,10/5/24 17:38,Data_3186,IPL-17O-5424,Data_3186 IPL-17O-5424 ET04-OMO-335-R31-3 1,0,0,0,The yield for this sample was high 672 after the AB change,2.5,15.56737399,15.44744507,0.004619714,30.05606352,29.61323132,0.001509465,-0.188341065,0.004532767,5.213673159,0.004572617,9.561955813,0.001479433,10.62582064,0.177945933,130.524631,0.140084548,0.026692102,0.025232438,30.7006378,1.412103954,0,0,1,15.71622444,30.28204847,16.20259503,31.18286117,16.07273383,30.70655222,-0.140325743,-140.3257433,11.82630985,22.54565322,-77.79505127,secondary correction applied but only meaningful if D'17O correction was applied,no secondary correction,mineral + 1-pt normalization applied to D17O for data.cor[[2]] using IAEA-603 and/or IAEA-C1 as calcite. Offset=16.87 per meg
31,5425,mam,Carbonate,Turkana,,KN07WT-449,1,1 1,10/5/24 21:54,Data_3187,IPL-17O-5425,Data_3187 IPL-17O-5425 KN07WT-449-R31-1 1,0,0,0,,2.5,14.55164688,14.44678731,0.004527359,28.10645748,27.71871949,0.001516069,-0.188696585,0.004626798,4.208301378,0.004481203,7.651139353,0.001485905,8.517865989,0.162182775,213.7991121,0.112080512,0.018260696,0.016960409,28.75128717,1.949350628,0,0,1,14.69986178,28.33101658,15.15477895,29.17379112,15.04109245,28.75633581,-0.142252861,-142.2528611,10.79466846,20.5954368,-79.72216902,secondary correction applied but only meaningful if D'17O correction was applied,no secondary correction,mineral + 1-pt normalization applied to D17O for data.cor[[2]] using IAEA-603 and/or IAEA-C1 as calcite. Offset=16.87 per meg
31,5426,mam,Carbonate,Turkana,,KN07WT-449,1,2 1,10/6/24 1:10,Data_3188,IPL-17O-5426,Data_3188 IPL-17O-5426 KN07WT-449-R31-2 1,0,0,0,,2.5,14.73079142,14.62334689,0.004025584,28.43380579,28.03706804,0.001525888,-0.180225041,0.003957396,4.385619538,0.003984543,7.971974701,0.001495529,9.511300508,0.131539849,205.7034462,0.084791755,0.118104779,0.125043607,29.07885816,0.327570989,0,0,1,14.87865986,28.65767207,15.33911031,29.51016377,15.22265552,29.08311996,-0.133231817,-133.2318174,10.97623154,20.92222096,-70.70112532,secondary correction applied but only meaningful if D'17O correction was applied,no secondary correction,mineral + 1-pt normalization applied to D17O for data.cor[[2]] using IAEA-603 and/or IAEA-C1 as calcite. Offset=16.87 per meg
31,5429,mam,Carbonate,Gona,,GONJQ-202,1,2 1,10/8/24 17:00,Data_3193,IPL-17O-5429,Data_3193 IPL-17O-5429 GONJQ-202-R31-2 1,0,0,0,The AB rough pump pressure is still higher than normal,2.5,15.45217895,15.33400923,0.005446898,29.8624782,29.42527699,0.001300386,-0.202537019,0.005220268,5.099652528,0.005391367,9.372222093,0.001274513,11.11646581,0.113759274,173.1709182,0.09722193,0.02781093,0.025558974,30.50724768,0.646487852,0,0,1,15.59285708,30.07168108,16.07540982,30.96623589,15.94756866,30.49645561,-0.154559897,-154.5598972,11.70114468,22.3355566,-92.02920519,secondary correction applied but only meaningful if D'17O correction was applied,no secondary correction,mineral + 1-pt normalization applied to D17O for data.cor[[2]] using IAEA-603 and/or IAEA-C1 as calcite. Offset=16.87 per meg
31,5430,mam,Carbonate,Gona,,GONJQ-202,1,3 1,10/8/24 19:39,Data_3194,IPL-17O-5430,Data_3194 IPL-17O-5430 GONJQ-202-R31-3 1,0,0,0,high standard deviation,2.5,15.47961575,15.36102833,0.004611157,29.88216954,29.44439716,0.001356923,-0.185613369,0.004663565,5.126809616,0.004564146,9.391521653,0.001329926,11.19157452,0.130580262,183.4444578,0.087437053,0.008811475,0.018179327,30.52692088,0.019673195,0,0,1,15.61999404,30.09075316,16.10338658,30.98587532,15.97510242,30.51550496,-0.137084196,-137.0841962,11.72867844,22.35460596,-74.55350412,secondary correction applied but only meaningful if D'17O correction was applied,no secondary correction,mineral + 1-pt normalization applied to D17O for data.cor[[2]] using IAEA-603 and/or IAEA-C1 as calcite. Offset=16.87 per meg
31,5433,mam,Carbonate,Gona,,DANL-003,1,3 1,10/11/24 12:51,Data_3199,IPL-17O-5433,Data_3199 IPL-17O-5433 DANL-003-R31-3 1,0,0,0,Run after two days break. High standard deviation between the two analysis,2.5,14.97359991,14.86260194,0.003804249,28.96593589,28.55435217,0.001581628,-0.214096001,0.003799556,4.625952601,0.003765465,8.493517487,0.00155016,9.665917763,0.151726849,177.6856402,0.135070591,0.037820986,0.039696377,29.61112137,0.407942446,0,0,1,15.10646047,29.15905321,15.57396067,30.0264597,15.45393116,29.58449094,-0.166680053,-166.6800528,11.20750718,21.42359193,-104.1493607,secondary correction applied but only meaningful if D'17O correction was applied,no secondary correction,mineral + 1-pt normalization applied to D17O for data.cor[[2]] using IAEA-603 and/or IAEA-C1 as calcite. Offset=16.87 per meg
