'Order','Type1','Type2','User','Status','SampleID','AnalyID','Order'2,'Date_Time','AcidTemp','d13CPDBraw','d18OPDBgasraw','d45vref','d46vref','d47vref','d48vref','d9vref','D47vref'3,'D48vref'4,'D49vref','D47@d47=0','D48@d487=0','D49@d49=0','d13CPDB','d18OPDBmin','D47_90 CDES','D47_90 iCDES+','D47_90_iCDES','D48_90 CDES','D48_90 iCDES+','D48_90_iCDES','D49_90 CDES','D49_90 iCDES+','D47_90_iCDES'5,'T(D47)CDES','TD47iCDES+','T(D47)iCDES',mean,SE_1sigma
4377,'Sample','Matthew''s BHB Carbs','wmn','include','PK95-SC-27-02','IPL-CI-4743 PK95-SC-27-02',4377,'2/26/2026 4:53:24 PM',90,-9.939060001,-1.847987217,0.517587732,-2.980515844,-2.731888127,-6.063133817,-28.82921808,-0.365642719,-0.129931142,-23.7418589,-0.362603454,-0.125611432,-14.23852075,-10.22140979,-9.828494566,0.568050614,0.562451784,0.558271143,0.240454754,0.240986919,0.244836088,0.612133157,1.052148062,1.10787935,36.92934653,39.13174029,40.80721614,,
4404,'Sample','Matthew''s BHB Carbs','wmn','include','PK95-SC-27-03','IPL-CI-4777 PK95-SC-27-03',4404,'3/11/2026 10:12:01 AM',90,-9.936652051,-1.815644681,0.524410624,-2.948232806,-2.722235595,-5.957897342,-30.35119901,-0.40841127,-0.213162645,-25.3665991,-0.405335946,-0.207084403,-15.44126553,-10.21822994,-9.797147064,0.525242897,0.518136655,0.512339395,0.146987803,0.145054484,0.136199341,1.948301645,1.176087689,0.729526756,55.06643878,58.39658269,61.18969845,50.37806349,5.916532254
4263,'Sample','Matthew''s BHB Carbs','euf','include','PK95-SC-279-01','IPL-CI-4620 PK95-SC-279-01',4263,'1/14/2026 3:10:08 PM',90,-7.755735777,-1.820075004,2.580331536,-2.948103138,-0.624311625,-6.087931012,-33.00539567,-0.387572936,-0.212959172,-30.06064011,-0.386823231,-0.217638234,-19.11737259,-8.038085568,-9.800807411,0.530227297,0.532540366,0.533879189,0.131022753,0.130274791,0.130317485,13.89263743,0.500544204,-0.517438712,52.7896236,51.7490145,51.15123702,,
4345,'Sample','Matthew''s BHB Carbs','wmn','include','PK95-SC-279-02','IPL-CI-4709 PK95-SC-279-02',4345,'2/18/2026 4:21:46 PM',90,-8.29635209,-1.460154025,2.083718785,-2.590063123,-0.77686914,-5.286501979,-28.41849657,-0.394741503,-0.136632238,-25.6815388,-0.393857961,-0.135063596,-16.29829691,-8.578701881,-9.443788488,0.531299308,0.527796334,0.524861825,0.228441625,0.228488566,0.230097479,3.600399563,1.117437696,0.386192414,52.30610346,53.89411985,55.24247752,53.19685727,2.045620249
4335,'Sample','Matthew''s BHB Carbs','wmn','include','PK95-SC-50-01','IPL-CI-4699 PK95-SC-50-01',4335,'2/16/2026 11:38:04 AM',90,-8.508195982,-1.461945088,1.883542734,-2.592299474,-0.966322491,-5.317101124,-31.52408507,-0.363973742,-0.142532711,-28.57262125,-0.362867245,-0.141645762,-18.15867163,-8.790545772,-9.44556511,0.563684236,0.560940289,0.558670126,0.220518239,0.220409238,0.221312112,6.695658064,1.091425242,-0.221377369,38.64290734,39.73440195,40.64615042,,
4380,'Sample','Matthew''s BHB Carbs','wmn','include','PK95-SC-50-02','IPL-CI-4746 PK95-SC-50-02',4380,'2/27/2026 3:39:04 PM',90,-8.481308477,-1.437144073,1.909285621,-2.567504538,-0.912818,-5.200765118,-26.80261783,-0.360110252,-0.084935967,-23.88396987,-0.35909685,-0.081027958,-15.05003785,-8.763658268,-9.420964067,0.57208509,0.56629926,0.562031891,0.292097451,0.293068091,0.301008644,1.62213087,1.118456335,0.837955344,35.37089586,37.61325603,39.29881006,39.97248024,0.673670177
4391,'Sample','Matthew''s BHB Carbs','wmn','include','PK95-SC-80-n-1-01',IPL-CI-4758 PK95-SC-80-n-1-01',4391,'3/5/2026 12:30:40 PM',90,-9.597949192,0.087466309,0.908990488,-1.048467502,-0.388722313,-2.231680937,-19.09982915,-0.304431106,-0.139160452,-18.04617487,-0.304002864,-0.137164579,-11.75455506,-9.880298983,-7.90864668,0.631840264,0.625592184,0.621723627,0.227577883,0.228184807,0.231707561,-2.280769306,0.7840022,1.982980658,14.73419738,16.70028398,17.93798654,,
4341,'Sample','Matthew''s BHB Carbs','euf','include','PK95-SC-80-n-2-01','IPL-CI-4705 PK95-SC-80-n-2-01',4341,'2/17/2026 5:31:59 PM',90,-15.45663368,0.251864646,-4.613675272,-0.896686873,-5.976670938,-1.901505344,-30.98839739,-0.338578675,-0.119768372,-24.49988096,-0.33176282,-0.11930296,-14.26602238,-15.73898347,-7.745573893,0.597789229,0.594703477,0.592338069,0.246473542,0.24655242,0.248776126,0.566785714,1.074531999,1.042354511,25.9648706,27.04880235,27.8877246,,
4406,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-80n-2-02',IPL-CI-4779 PK95-SC-80n-2-02',4406,'3/11/2026 3:25:52 PM',90,-13.42518703,0.167335352,-2.699937868,-0.976797702,-4.066707596,-2.0837108,-29.5139305,-0.32376445,-0.142084761,-24.84093817,-0.319175475,-0.139905454,-15.19085794,-13.70676492,-7.830155878,0.616965254,0.610179676,0.605739826,0.224846982,0.223934341,0.227870533,1.664602881,1.146598071,0.818635607,19.4823447,21.72778498,23.22527595,25.55650027,2.331224324
4394,'Sample','Matthew''s BHB Carbs','wmn','include','PK95-SC-92-01','IPL-CI-4761 PK95-SC-92-01',4394,'3/6/2026 11:50:30 AM',90,-8.537923599,-0.245046376,1.897810488,-1.378049583,0.273958094,-2.856993523,-16.56537988,-0.337249819,-0.120786788,-15.91986161,-0.337561065,-0.118238904,-10.49863655,-8.819501492,-8.239212556,0.596364046,0.59024843,0.585959037,0.249515575,0.248839722,0.255931012,-3.739259226,0.641530365,2.405315185,26.46403328,28.63472259,30.18566873,,
4396,'Sample','Matthew''s BHB Carbs','wmn','include','PK95-SC-92-02','IPL-CI-4763 PK95-SC-92-02',4396,'3/6/2026 5:01:49 PM',90,-8.35102157,-0.158641792,2.077492216,-1.291426275,0.541175662,-2.730935399,-18.20791822,-0.347927966,-0.159591738,-17.93458411,-0.348542107,-0.157086146,-11.97671448,-8.632599463,-8.153504656,0.584854491,0.578558384,0.574027211,0.204628027,0.203413937,0.203809779,-1.998571671,0.789042175,1.905582015,30.58893423,32.91873784,34.62901773,32.40734323,2.2216745
4397,'Sample','Matthew''s BHB Carbs','wmn','include','PK95-242-02','IPL-CI-4764 PK95-242-02',4397,'3/7/2026 1:29:52 PM',90,-3.697624987,-5.422712129,6.282951173,-6.534618415,-0.377570879,-13.12781515,-27.46548027,-0.396457673,-0.103332979,-21.41500237,-0.396029437,-0.091119857,-12.4286131,-3.97920288,-13.37513058,0.534409439,0.527819417,0.522526666,0.28100903,0.280745703,0.292913766,-1.468328364,0.834586297,1.753265608,50.91539342,53.88357946,56.32744164,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
