Koch_Sample,section,Locality,MLA_sample_id,MLA_horizon_id,strat_height_m,d13C_VPDB,d18Ocarb_VPDB,d18Ocarb_VSMOW
SC 349-1-2,CFB,SC 349,PK95-SC-349-1,PK95-SC-349-1,1521.3,-14.49,-7.76,22.91
SC 349-2-1,CFB,SC 349,PK95-SC-349-2,PK95-SC-349-2,1531,-12.24,-8.12,22.54
SC 349-3-1A,CFB,SC 349,PK95-SC-349-3,PK95-SC-349-3,1534,-12.86,-7.85,22.82
SC 349-3-1B,CFB,SC 349,PK95-SC-349-3,PK95-SC-349-3,1534,-12.74,-7.99,22.67
SC 35-1A,CFB,SC 35,PK95-SC-35,PK95-SC-35,1870,-8.04,-8.51,22.14
SC 35-1B,CFB,SC 35,PK95-SC-35,PK95-SC-35,1870,-7.98,-8.63,22.01
SC 351-1-1A,CFB,SC 351,PK95-SC-351-1,PK95-SC-351-1,1525,-14.6,-7.82,22.85
SC 351-?-1A,CFB,SC 351,PK95-SC-351-1,PK95-SC-351-?,1524,-14.66,-7.51,23.17
SC 351-2-1B,CFB,SC 351,PK95-SC-351-2,PK95-SC-351-2,1525,-14.67,-7.88,22.79
SC 351-3-1A,CFB,SC 351,PK95-SC-351-3,PK95-SC-351-3,1528.7,-13.98,-7.7,22.97
SC 351-4-1A,CFB,SC 351,PK95-SC-351-4,PK95-SC-351-4,1532.3,-13.78,-7.88,22.79
SC 351-4-1B,CFB,SC 351,PK95-SC-351-4,PK95-SC-351-4,1532.3,-13.88,-7.8,22.87
SC 351-5-1A,CFB,SC 351,PK95-SC-351-5,PK95-SC-351-5,1534,-13.56,-8.04,22.62
SC 351-6-1A,CFB,SC 351,PK95-SC-351-6,PK95-SC-351-6,1537.8,-13.56,-7.91,22.76
SC 351-6-1B,CFB,SC 351,PK95-SC-351-6,PK95-SC-351-6,1537.8,-13.42,-7.92,22.75
SC 4-1A,CFB,SC 4,PK95-SC-4,PK95-SC-4,1570,-8.19,-7.88,22.79
SC 4-1B,CFB,SC 4,PK95-SC-4,PK95-SC-4,1570,-8.61,-8.14,22.52
SC 4-2,CFB,SC 4,PK95-SC-4,PK95-SC-4,1570,-8.31,-7.99,22.67
SC 43-1,CFB,SC 43,PK95-SC-43,PK95-SC-43,1600,-7.49,-8.9,21.73
SC 49,CFB,SC 49,PK95-SC-49,PK95-SC-49,1380,,,
SC 50,CFB,SC 50,PK95-SC-50,PK95-SC-50,1425,,,
SC 54-1A,CFB,SC 54,PK95-SC-54,PK95-SC-54,1700,-8.38,-8.94,21.69
SC 54-2,CFB,SC 54,PK95-SC-54,PK95-SC-54,1700,-8.23,-9.23,21.39
SC 56,CFB,SC 56,PK95-SC-56,PK95-SC-56,1385,,,
SC 62-1A,CFB,SC 62,PK95-SC-62,PK95-SC-62,1380,-8,-8.04,22.62
SC 62-1B,CFB,SC 62,PK95-SC-62,PK95-SC-62,1380,-7.84,-8.35,22.3
SC 64-1,CFB,SC 64,PK95-SC-64,PK95-SC-64,1970,-8.31,-8.23,22.43
SC 64-2,CFB,SC 64,PK95-SC-64,PK95-SC-64,1970,-8.19,-8.14,22.52
SC 67-1-2A,CFB,SC 67,PK95-SC-67,PK95-SC-67,1503.2,-8.56,-7.58,23.1
SC 67-1-2B,CFB,SC 67,PK95-SC-67,PK95-SC-67-1,1503.2,-9.22,-8.27,22.38
SC 67-1-2C,CFB,SC 67,PK95-SC-67,PK95-SC-67-1,1503.2,-9.36,-8.1,22.56
SC 67-5-1A,CFB,SC 67,PK95-SC-67,PK95-SC-67-5,1527,-14.08,-7.4,23.28
SC 67-5-1B,CFB,SC 67,PK95-SC-67,PK95-SC-67-5,1527,-14.04,-7.51,23.17
SC 67-6-1,CFB,SC 67,PK95-SC-67,PK95-SC-67-6,1534,-13.87,-7.87,22.8
SC 67-6-2A,CFB,SC 67,PK95-SC-67,PK95-SC-67-6,1534,-13.58,-7.74,22.93
SC 67-8-1A,CFB,SC 67,PK95-SC-67,PK95-SC-67-8,1548.9,-12.02,-8.15,22.51
SC 67-8-1B,CFB,SC 67,PK95-SC-67,PK95-SC-67-8,1548.9,-12.17,-8.33,22.32
SC 67-9-X,CFB,SC 67,PK95-SC-67,PK95-SC-67-9,1559.6,-9.91,-8.59,22.05
