Bowen_Soil_ID,Bowen_Sample_ID,MLA_sample_id,MLA_horizon_id,strat_height_m,d13C_VPDB,d18Ocarb_VPDB,d18Ocarb_VSMOW
PB-00-02-07,07C-2A,PB-00-02-07C-2A,PB-00-02-07C,1527,-13.5,-8.2,22.466456
PB-00-02-07,07C-2B,PB-00-02-07C-2B,PB-00-02-07C,1527,-14.2,-8.5,22.15718
PB-00-02-07,07B-1A,PB-00-02-07B-1A,PB-00-02-07B,1528,-13.4,-8.4,22.260272
PB-00-02-07,07B-1B,PB-00-02-07B-1B,PB-00-02-07B,1528,-13.6,-8.4,22.260272
PB-00-02-07,07B-2A,PB-00-02-07B-2A,PB-00-02-07B,1528,-12.4,-8.7,21.950996
PB-00-02-07,07B-2B,PB-00-02-07B-2B,PB-00-02-07B,1528,-12.4,-10.5,20.09534
PB-00-02-07,07B-2C,PB-00-02-07B-2C,PB-00-02-07B,1528,-12.6,-8.2,22.466456
PB-00-02-07,07A-1A,PB-00-02-07A-1A,PB-00-02-07A,1528.5,-12.8,-9.6,21.023168
PB-00-02-07,07A-1B,PB-00-02-07A-1B,PB-00-02-07A,1528.5,-12.4,-9.8,20.816984
PB-00-02-07,07A-2A,PB-00-02-07A-2A,PB-00-02-07A,1528.5,-13.1,-8.8,21.847904
PB-00-02-07,07A-2B,PB-00-02-07A-2B,PB-00-02-07A,1528.5,-13.1,-9.1,21.538628
PB-00-02-08,1A,PB-00-02-08-1A,PB-00-02-08,1529.1,-13.9,-9.1,21.538628
PB-00-02-08,1B,PB-00-02-08-1B,PB-00-02-08,1529.1,-13.7,-9,21.64172
PB-00-02-08,2A,PB-00-02-08-2A,PB-00-02-08,1529.1,-13.8,-8.3,22.363364
PB-00-02-08,2B,PB-00-02-08-2B,PB-00-02-08,1529.1,-13.9,-8.4,22.260272
PB-00-02-09,1A,PB-00-02-09L-1A,PB-00-02-09L,1530.5,-13.6,-9.2,21.435536
PB-00-02-09,1B,PB-00-02-09L-1B,PB-00-02-09L,1530.5,-13.7,-8.7,21.950996
PB-00-02-09,2A,PB-00-02-09L-2A,PB-00-02-09L,1530.5,-13.7,-9.5,21.12626
