Counter,IPLnum,Sample_Name,D47_pipeline,T47_pipeline_C,D47_Ben,T47_Ben_C,D47_pipeline_minus_Ben,T47_pipeline_minus_Ben_C
4311,4807,ETH-3,0.6374670515484523,13.085756001966047,0.6374670520773432,13.08575584004285,-5.288909310507961e-10,1.6192319662877708e-7
4312,4879,ETH-3,0.6116267415262406,21.340782124300404,0.6116267419266224,21.34078199080676,-4.0038172777201453e-10,1.3349364280657028e-7
4313,4884,ETH-3,0.6001171095426245,25.254953199185593,0.6001171089996777,25.254953387527337,5.429467986317604e-10,-1.883417439785262e-7
4314,4894,ETH-3,0.6031296964760582,24.215380637040482,0.6031296965780548,24.21538060202755,-1.0199663336152298e-10,3.501293122099014e-8
4337,4804,ETH-4,0.4424474191365709,101.7867735849045,0.4424474194395797,101.78677337640715,-3.0300884024114794e-10,2.0849734028161038e-7
4338,4826,ETH-4,0.44888029175007377,97.43725130653047,0.44888029146571923,97.43725149546128,2.8435453991448867e-10,-1.8893081232818076e-7
4339,4846,ETH-4,0.44351089124620585,101.0571442310906,0.44351089125319804,101.0571442263074,-6.992184609089236e-12,4.783203166880412e-9
4340,4889,ETH-4,0.46239648502445224,88.77060831785468,0.4623964847644728,88.77060847875254,2.5997942687538966e-10,-1.6089785503936582e-7
4345,4811,ETH-4 HEATED,0.017137193926953516,,0.017137194342907454,,-4.159539379600119e-10,
4346,4858,ETH-4 HEATED,0.05292034438827981,,0.0529203439453499,,4.4292991496774903e-10,
4415,4835,IAEA-C1,0.29218441877234586,286.7255129696474,0.2921844183482389,286.72551394132256,4.241069717636492e-10,-9.716751492305775e-7
4416,4855,IAEA-C1,0.3122305252936703,245.77307147082922,0.31223052569711357,245.77307073485485,-4.0344327878472086e-10,7.35974367671588e-7
4417,4903,IAEA-C1,0.31969257775530463,232.67379244967583,0.3196925782479026,232.67379161741093,-4.925979624204047e-10,8.322649023284612e-7
4421,4808,IAEA-C1 HEATED,0.027847147353660846,,0.02784714719552745,,1.5813339526715708e-10,
4422,4820,IAEA-C1 HEATED,0.00757994556112857,,0.00757994586473793,,-3.036093598751677e-10,
4423,4838,IAEA-C1 HEATED,0.010360026508320968,,0.010360026711999265,,-2.036782964509598e-10,
4424,4871,IAEA-C1 HEATED,0.01969533152800746,,0.019695332014877893,,-4.868704328586659e-10,
4447,4801,Online Depleted Heated Gas,0.011808046015158896,,0.011808046009670175,,5.488720589141849e-12,
4448,4814,Online Depleted Heated Gas,0.026003808262401736,,0.026003808451399886,,-1.8899815046324875e-10,
4449,4881,Online Depleted Heated Gas,0.0476172806730621,,0.04761728086934209,,-1.962799922594627e-10,
4450,4901,Online Depleted Heated Gas,0.025252796241440674,,0.025252795716567085,,5.2487358903619e-10,
4471,4800,Online Enriched Heated Gas,0.034047890598728765,,0.03404789055717134,,4.155742416855901e-11,
4472,4802,Online Enriched Heated Gas,0.023037937703824625,,0.023037937206752686,,4.970719391650391e-10,
4473,4827,Online Enriched Heated Gas,0.02267182645055283,,0.02267182645055283,,0,
4474,4869,Online Enriched Heated Gas,0.0578365354073151,,0.05783653537333761,,3.3977487490233216e-11,
4475,4883,Online Enriched Heated Gas,0.047867468384816765,,0.04786746833692563,,4.7891135501743065e-11,
4476,4906,Online Enriched Heated Gas,0.05783239344555053,,0.057832393453941484,,-8.39095459781447e-12,
4486,4908,OQ11_A_T,0.614200740056825,20.486303413180053,0.614200739914355,20.48630346026954,1.42470035768838e-10,-4.7089486088225385e-8
4487,4829,OQ11_A_UB,0.6015791078236309,24.74909272311521,0.6015791078439183,24.749092716113466,-2.0287438395882873e-11,7.001744961598888e-9
4488,4914,OQ11_A_UB,0.5917164840204444,28.212422634676216,0.5917164838842319,28.21242268334555,1.3621248573514322e-10,-4.866933522862382e-8
4492,4907,OQ15.3_A_T,0.5880540642684913,29.529607421566993,0.5880540640334855,29.52960750664147,2.3500579260371524e-10,-8.507447546435287e-8
4493,4911,OQ15.3_A_UB,0.5685096219436613,36.86305373147184,0.568509621567804,36.86305387766737,3.758572342249522e-10,-1.4619553212469327e-7
4494,4831,OQ15.3-A,0.5915182446673364,28.283279436240775,0.591518244327955,28.283279557588855,3.39381411862405e-10,-1.21348080028838e-7
4495,4860,PB-00-03-08,0.6612500027309562,6.071016681967137,0.6612500025674619,6.071016728431289,1.6349432918616458e-10,-4.6464151637337636e-8
4496,4862,PB-00-03-08,0.6041562527937233,23.86361445961711,0.6041562529028547,23.86361442228781,-1.0913137060697409e-10,3.7329300539568067e-8
4497,4863,PB-00-03-08,0.5999064231394926,25.328064650924546,0.5999064230946354,25.328064666496402,4.48572290423499e-11,-1.557185669298633e-8
4498,4898,PB-00-03-10,0.589605073991683,28.969683735232536,0.5896050742792216,28.969683631717317,-2.8753854852681116e-10,1.0351521950724418e-7
4499,4899,PB-00-03-10,0.6049197395724484,23.602801308903395,0.6049197395407164,23.602801319728997,3.1731950400626374e-11,-1.0825601748365443e-8
4500,4865,PB-00-03-16,0.5792203709358387,32.779082783501735,0.5792203705967112,32.77908291026591,3.3912750385667323e-10,-1.2676417782131466e-7
4501,4866,PB-00-03-16,0.574574672013131,34.530548865021046,0.574574672361426,34.530548732581224,-3.48295059460213e-10,1.3243982266430976e-7
4502,4868,PB-00-03-16,0.5877929114958582,29.62419168566163,0.5877929113724644,29.624191730373354,1.2339385069282116e-10,-4.4711725877277786e-8
4503,4896,PB-00-04-14,0.6045311729194491,23.735452869631047,0.6045311727077729,23.73545294194298,2.1167623209805697e-10,-7.23119342183054e-8
4504,4897,PB-00-04-14,0.5995123239221347,25.464967592518576,0.5995123241209268,25.46496752341426,-1.9879209389728203e-10,6.910431693540886e-8
4505,4870,PB-00-04-16,0.6056020818632106,23.3702882511094,0.6056020823349049,23.370288090565055,-4.716942392235524e-10,1.6054434581747046e-7
4506,4872,PB-00-04-16,0.6271737398130584,16.290132790055793,0.6271737394361401,16.29013290937064,3.7691827436958647e-10,-1.1931484777960577e-7
4507,4873,PB-00-04-16,0.6133834034346864,20.756824591892837,0.6133834029076017,20.756824766587897,5.270847092120334e-10,-1.7469506019551773e-7
4521,4837,PK95-SC-118up,0.5588404822418379,40.693870014688684,0.5588404820921195,40.69387007510966,1.497184598520107e-10,-6.042097311365069e-8
4522,4839,PK95-SC-118up,0.5787724732408341,32.946642276250486,0.5787724735619322,32.946642156028304,-3.21098037048273e-10,1.20222182431462e-7
4525,4893,PK95-SC-133,0.6108556538555809,21.598212194685516,0.6108556534732117,21.598212322508175,3.8236924737589106e-10,-1.2782265912392177e-7
4526,4895,PK95-SC-133,0.6077802050365544,22.63171778186978,0.6077802048712333,22.631717837718554,1.653210901508828e-10,-5.5848772717581596e-8
4534,4834,PK95-SC-165,0.5808467645828685,32.172951066304336,0.5808467643643274,32.17295114750931,2.1854118514852416e-10,-8.120497341224109e-8
4535,4836,PK95-SC-165,0.5982754593268055,25.89585849261948,0.5982754592611335,25.895858515547445,6.567202337492972e-11,-2.2927963527763495e-8
4542,4850,PK95-SC-179,0.584974650450498,30.65058310126193,0.5849746506219572,30.650583038499803,-1.7145918018712791e-10,6.276212616285193e-8
4543,4851,PK95-SC-179,0.595117306631316,27.004593577717174,0.5951173062931132,27.00459369711143,3.3820279909946294e-10,-1.1939425803575432e-7
4544,4852,PK95-SC-179,0.591794879027506,28.18441564801003,0.5917948789895396,28.184415661571848,3.796640779540894e-11,-1.3561816558649298e-8
4554,4887,PK95-SC-22-SPAR,0.56265972344329,39.16382464311744,0.5626597235066705,39.16382461791159,-6.33805230521034e-11,2.5205849851772655e-8
4555,4888,PK95-SC-22-SPAR,0.5418113822797048,47.80049263156155,0.5418113823117512,47.80049261773024,-3.204636556120022e-11,1.3831311207468389e-8
4563,4857,PK95-SC-246,0.5854638691990528,30.471664150372817,0.5854638693578226,30.471664092358196,-1.5876977510487222e-10,5.80146206630161e-8
4564,4859,PK95-SC-246,0.5581449708647637,40.97493031692693,0.5581449706929738,40.97493038644154,1.7178991562616375e-10,-6.951461273274617e-8
4568,4890,PK95-SC-27,0.5602971047309478,40.10767636362772,0.5602971052226366,40.107676166309716,-4.916888007855391e-10,1.9731800193767413e-7
