lag_kyr,pearson_r,spearman_rho
-46,-0.0026233163454222773,-0.002138300366256704
-45,-0.002935558386479887,-0.0025113052865352375
-44,-0.003208807339120204,-0.0028045857140397974
-43,-0.0034127024862841368,-0.0029799702767698126
-42,-0.0035223236471607303,-0.003007223374766209
-41,-0.0035200923630225433,-0.002859173251924285
-40,-0.0033991733814413465,-0.0025552348271863285
-39,-0.0031639259566458686,-0.002113866963593193
-38,-0.0028307529394753683,-0.0015887204938393592
-37,-0.0024264612244133295,-0.001052880675340685
-36,-0.001987660936881079,-5.404346385276132e-4
-35,-0.0015540829909960968,-8.415649536582e-5
-34,-0.0011675756150755423,2.9396101160821913e-4
-33,-8.656068699601139e-4,5.76612786035661e-4
-32,-6.781863462428319e-4,7.061857171928127e-4
-31,-6.242238824079501e-4,6.623992476857555e-4
-30,-7.102150322493886e-4,4.242110372275103e-4
-29,-9.280545299732465e-4,2.8505493945023246e-5
-28,-0.0012580439934581462,-4.5987846347915283e-4
-27,-0.001668638339894079,-9.746223664990289e-4
-26,-0.002120130033433701,-0.001479153323255565
-25,-0.00256874755799711,-0.001938164860459216
-24,-0.002970329638996561,-0.002321350085565954
-23,-0.003284101107085034,-0.0026083244352764824
-22,-0.0034770465438281237,-0.0027503679705728873
-21,-0.003526842639826282,-0.0027062413827728883
-20,-0.003424045220393975,-0.002464539231411522
-19,-0.003174750351155455,-0.00206260662169199
-18,-0.0027988436878680608,-0.0015691979740794844
-17,-0.002329304158565209,-0.0010505993149753342
-16,-0.0018088556980268384,-5.427394145512852e-4
-15,-0.0012845454815815212,-7.12509499339588e-5
-14,-8.021712799038419e-4,3.402778540361895e-4
-13,-4.031130683996102e-4,6.682307727549583e-4
-12,-1.185458497883371e-4,8.870869257608737e-4
-11,3.2251955294063255e-5,9.427540870324462e-4
-10,4.3734191953882644e-5,8.220187875507531e-4
-9,-7.609367828582822e-5,5.342696041473074e-4
-8,-3.0714762215019157e-4,1.3053662729110114e-4
-7,-6.201816659799581e-4,-3.2658523706220586e-4
-6,-9.794228679027908e-4,-7.896473653838589e-4
-5,-0.0013467201252341664,-0.0012255435837484644
-4,-0.0016850196517578212,-0.0016143301212108246
-3,-0.001961491827023064,-0.0019262716019730571
-2,-0.0021503719753762406,-0.002132049454402314
-1,-0.0022356788747672344,-0.002208401969183267
0,-0.0022112841579539533,-0.0021425304147075753
1,-0.0021795538236075037,-0.0021073511288284435
2,-0.002124973887079599,-0.0020562087421001295
3,-0.0020496201653554475,-0.0020010368005069193
4,-0.0019578532115078697,-0.001939436923997484
5,-0.001856529651323665,-0.0018745352659497512
6,-0.0017537332391453378,-0.0018089742405828677
7,-0.0016579541227430905,-0.0017497896026600166
8,-0.0015771539341517744,-0.0017070051733176096
9,-0.0015180905068634847,-0.0016827701303354936
10,-0.0014848284612748123,-0.0016841572526603097
11,-0.0014787019701745004,-0.0016939282402711779
12,-0.0014978114631267565,-0.0017102198405863779
13,-0.001536822464830437,-0.001720190373543802
14,-0.0015879841789433818,-0.001724066148284267
15,-0.0016418268584779494,-0.0017142035500192995
