T47_C,d18Owater_vsmow,d18Ocarb_vsmow,contour_label
22.5,-15,13.541500860390215,starting d18Ow = -15 per mil
22.5,-10,18.6863815754175,starting d18Ow = -10 per mil
22.5,-5,23.831262290444897,starting d18Ow = -5 per mil
22.5,0,28.976143005472295,starting d18Ow = 0 per mil
22.5,5,34.12102372049958,starting d18Ow = 5 per mil
22.5,10,39.26590443552686,starting d18Ow = 10 per mil
23,-15,13.43715017900513,starting d18Ow = -15 per mil
23,-10,18.58150119514221,starting d18Ow = -10 per mil
23,-5,23.72585221127929,starting d18Ow = -5 per mil
23,0,28.87020322741637,starting d18Ow = 0 per mil
23,5,34.01455424355345,starting d18Ow = 5 per mil
23,10,39.15890525969053,starting d18Ow = 10 per mil
23.5,-15,13.333161950570116,starting d18Ow = -15 per mil
23.5,-10,18.476985107679525,starting d18Ow = -10 per mil
23.5,-5,23.620808264789048,starting d18Ow = -5 per mil
23.5,0,28.764631421898457,starting d18Ow = 0 per mil
23.5,5,33.908454579008094,starting d18Ow = 5 per mil
23.5,10,39.0522777361175,starting d18Ow = 10 per mil
24,-15,13.229534290480956,starting d18Ow = -15 per mil
24,-10,18.37283141885905,starting d18Ow = -10 per mil
24,-5,23.516128547237145,starting d18Ow = -5 per mil
24,0,28.65942567561524,starting d18Ow = 0 per mil
24,5,33.80272280399322,starting d18Ow = 5 per mil
24,10,38.94601993237143,starting d18Ow = 10 per mil
24.5,-15,13.126265327172746,starting d18Ow = -15 per mil
24.5,-10,18.269038247615185,starting d18Ow = -10 per mil
24.5,-5,23.41181116805774,starting d18Ow = -5 per mil
24.5,0,28.554584088500178,starting d18Ow = 0 per mil
24.5,5,33.69735700894262,starting d18Ow = 5 per mil
24.5,10,38.840129929385284,starting d18Ow = 10 per mil
25,-15,13.023353202007002,starting d18Ow = -15 per mil
25,-10,18.165603725875144,starting d18Ow = -10 per mil
25,-5,23.307854249743173,starting d18Ow = -5 per mil
25,0,28.4501047736112,starting d18Ow = 0 per mil
25,5,33.592355297479344,starting d18Ow = 5 per mil
25,10,38.73460582134726,starting d18Ow = 10 per mil
25.5,-15,12.920796069161042,starting d18Ow = -15 per mil
25.5,-10,18.062525998446176,starting d18Ow = -10 per mil
25.5,-5,23.204255927731197,starting d18Ow = -5 per mil
25.5,0,28.34598585701633,starting d18Ow = 0 per mil
25.5,5,33.48771578630135,starting d18Ow = 5 per mil
25.5,10,38.62944571558637,starting d18Ow = 10 per mil
26,-15,12.818592095517147,starting d18Ow = -15 per mil
26,-10,17.959803222905634,starting d18Ow = -10 per mil
26,-5,23.101014350294008,starting d18Ow = -5 per mil
26,0,28.242225477682496,starting d18Ow = 0 per mil
26,5,33.383436605070756,starting d18Ow = 5 per mil
26,10,38.52464773245924,starting d18Ow = 10 per mil
26.5,-15,12.71673946055364,starting d18Ow = -15 per mil
26.5,-10,17.857433569490468,starting d18Ow = -10 per mil
26.5,-5,22.998127678427295,starting d18Ow = -5 per mil
26.5,0,28.138821787364122,starting d18Ow = 0 per mil
26.5,5,33.279515896301064,starting d18Ow = 5 per mil
26.5,10,38.42021000523778,starting d18Ow = 10 per mil
27,-15,12.615236356236665,starting d18Ow = -15 per mil
27,-10,17.755415220989107,starting d18Ow = -10 per mil
27,-5,22.895594085741664,starting d18Ow = -5 per mil
27,0,28.035772950493993,starting d18Ow = 0 per mil
27,5,33.17595181524666,starting d18Ow = 5 per mil
27,10,38.316130679999105,starting d18Ow = 10 per mil
27.5,-15,12.514080986913996,starting d18Ow = -15 per mil
27.5,-10,17.653746372634373,starting d18Ow = -10 per mil
27.5,-5,22.79341175835475,starting d18Ow = -5 per mil
27.5,0,27.933077144075014,starting d18Ow = 0 per mil
27.5,5,33.072742529795505,starting d18Ow = 5 per mil
27.5,10,38.21240791551577,starting d18Ow = 10 per mil
28,-15,12.413271569208405,starting d18Ow = -15 per mil
28,-10,17.552425231996267,starting d18Ow = -10 per mil
28,-5,22.69157889478413,starting d18Ow = -5 per mil
28,0,27.83073255757199,starting d18Ow = 0 per mil
28,5,32.96988622035974,starting d18Ow = 5 per mil
28,10,38.109039883147716,starting d18Ow = 10 per mil
28.5,-15,12.312806331913634,starting d18Ow = -15 per mil
28.5,-10,17.45145001887761,starting d18Ow = -10 per mil
28.5,-5,22.590093705841696,starting d18Ow = -5 per mil
28.5,0,27.72873739280567,starting d18Ow = 0 per mil
28.5,5,32.86738107976976,starting d18Ow = 5 per mil
28.5,10,38.006024766733844,starting d18Ow = 10 per mil
29,-15,12.212683515890262,starting d18Ow = -15 per mil
29,-10,17.350818965209555,starting d18Ow = -10 per mil
29,-5,22.488954414528735,starting d18Ow = -5 per mil
29,0,27.627089863847914,starting d18Ow = 0 per mil
29,5,32.76522531316732,starting d18Ow = 5 per mil
29,10,37.9033607624865,starting d18Ow = 10 per mil
29.5,-15,12.112901373963723,starting d18Ow = -15 per mil
29.5,-10,17.250530314948378,starting d18Ow = -10 per mil
29.5,-5,22.38815925593292,starting d18Ow = -5 per mil
29.5,0,27.525788196917574,starting d18Ow = 0 per mil
29.5,5,32.663417137902115,starting d18Ow = 5 per mil
29.5,10,37.80104607888666,starting d18Ow = 10 per mil
30,-15,12.013458170822787,starting d18Ow = -15 per mil
30,-10,17.150582323974163,starting d18Ow = -10 per mil
30,-5,22.28770647712554,starting d18Ow = -5 per mil
30,0,27.4248306302768,starting d18Ow = 0 per mil
30,5,32.56195478342829,starting d18Ow = 5 per mil
30,10,37.699078936579554,starting d18Ow = 10 per mil
30.5,-15,11.914352182917582,starting d18Ow = -15 per mil
30.5,-10,17.050973259988268,starting d18Ow = -10 per mil
30.5,-5,22.187594337058954,starting d18Ow = -5 per mil
30.5,0,27.32421541412964,starting d18Ow = 0 per mil
30.5,5,32.4608364912001,starting d18Ow = 5 per mil
30.5,10,37.597457568270784,starting d18Ow = 10 per mil
31,-15,11.815581698362621,starting d18Ow = -15 per mil
31,-10,16.95170140241521,starting d18Ow = -10 per mil
31,-5,22.0878211064678,starting d18Ow = -5 per mil
31,0,27.22394081052039,starting d18Ow = 0 per mil
31,5,32.36006051457298,starting d18Ow = 5 per mil
31,10,37.49618021862557,starting d18Ow = 10 per mil
31.5,-15,11.717145016836184,starting d18Ow = -15 per mil
31.5,-10,16.85276504230228,starting d18Ow = -10 per mil
31.5,-5,21.98838506776849,starting d18Ow = -5 per mil
31.5,0,27.1240050932347,starting d18Ow = 0 per mil
31.5,5,32.2596251187008,starting d18Ow = 5 per mil
31.5,10,37.39524514416689,starting d18Ow = 10 per mil
32,-15,11.619040449483919,starting d18Ow = -15 per mil
32,-10,16.754162482222455,starting d18Ow = -10 per mil
32,-5,21.88928451496099,starting d18Ow = -5 per mil
32,0,27.024406547699527,starting d18Ow = 0 per mil
32,5,32.159528580437836,starting d18Ow = 5 per mil
32,10,37.29465061317637,starting d18Ow = 10 per mil
32.5,-15,11.5212663188222,starting d18Ow = -15 per mil
32.5,-10,16.655892036176624,starting d18Ow = -10 per mil
32.5,-5,21.79051775353105,starting d18Ow = -5 per mil
