section_id,MLA_horizon_id,strat_height_m,alteration_likelihood,exclude_from_temp_model,scenario,n_trials,n_valid,fraction_valid,dp18Osoil_mean_permil,D17Osoil_mean_permeg,lambda_mean,d18Oinput_mean_vsmow,d18Oinput_median_vsmow,d18Oinput_sd_vsmow,d18Oinput_lower95_vsmow,d18Oinput_upper95_vsmow
CFB,PK95-SC-133,1750,no_indication,FALSE,soil_slope_prior,20000,19948,0.9974,-8.232670216962775,-9.869424837654305,0.5202446465354075,-13.71088004069599,-13.542351621902649,2.277129772176182,-18.63343934469057,-9.701379077868067
CFB,PK95-SC-148lwr,2047,no_indication,FALSE,ben_lake_adjusted,20000,19922,0.9961,-8.60577748643662,-9.972936339232074,0.5238567559174656,-18.44338164588842,-18.458723737708404,2.6946039482126287,-23.63284433022824,-12.99443604841273
CFB,PK95-SC-148lwr,2047,no_indication,FALSE,passey_ji_lake_published,20000,19925,0.99625,-8.60577748643662,-9.972936339232074,0.5231574042350956,-16.98356328904253,-17.037379510528194,2.3917554690072587,-21.54747565362277,-12.052548459270255
CFB,PK95-SC-148lwr,2047,no_indication,FALSE,soil_slope_prior,20000,19925,0.99625,-8.60577748643662,-9.972936339232074,0.5202536562461195,-14.110498283654966,-13.949478673975113,2.387199538584085,-19.286665577970897,-9.830146128415198
CFB,PK95-SC-160,1720,possible,FALSE,ben_lake_adjusted,20000,20000,1,-2.9319919843379023,-34.80361647040362,0.5228870561405814,-15.87564513771746,-15.790593157550159,2.4609412772222985,-21.026308277842478,-11.32621086726622
CFB,PK95-SC-160,1720,possible,FALSE,passey_ji_lake_published,20000,20000,1,-2.9319919843379023,-34.80361647040362,0.5221870561405814,-14.304265822078555,-14.243898238558927,2.177367422043497,-18.79938815582883,-10.2066533144171
CFB,PK95-SC-160,1720,possible,FALSE,soil_slope_prior,20000,20000,1,-2.9319919843379023,-34.80361647040362,0.5202408839938192,-11.723220147098287,-11.479176027430038,2.553307705839797,-17.54784534567432,-7.420571288326511
CFB,PK95-SC-165,820,no_indication,FALSE,ben_lake_adjusted,20000,19994,0.9997,-6.244879812226278,-18.125477372208632,0.5234783725089154,-17.09882370407337,-17.054173987220366,2.4954949364256303,-22.080441295571234,-12.25368606115439
CFB,PK95-SC-165,820,no_indication,FALSE,passey_ji_lake_published,20000,19994,0.9997,-6.244879812226278,-18.125477372208632,0.5227783725089153,-15.620609876335198,-15.609055016042483,2.209563302236335,-19.951521845768262,-11.250938039402326
CFB,PK95-SC-165,820,no_indication,FALSE,soil_slope_prior,20000,19994,0.9997,-6.244879812226278,-18.125477372208632,0.5202446536031827,-12.819492305288767,-12.61844029770648,2.3735462644928442,-18.10262854119645,-8.760787467362853
CFB,PK95-SC-176,1355,moderate,FALSE,ben_lake_adjusted,20000,19964,0.9982,-0.685570046675708,-11.214102239420468,0.5237907266540429,-10.795400671271569,-10.81268641454658,2.5494983266153852,-15.850526451845193,-5.677318538530006
CFB,PK95-SC-176,1355,moderate,FALSE,passey_ji_lake_published,20000,19965,0.99825,-0.685570046675708,-11.214102239420468,0.5230909453904664,-9.325127547816995,-9.36875192955089,2.2482138768416897,-13.663675142663813,-4.762155814207281
CFB,PK95-SC-176,1355,moderate,FALSE,soil_slope_prior,20000,19965,0.99825,-0.685570046675708,-11.214102239420468,0.5202376506957802,-6.4067643109647046,-6.225836974000365,2.254125306941311,-11.344654178833292,-2.441341506039701
CFB,PK95-SC-179,1080,no_indication,FALSE,ben_lake_adjusted,20000,19965,0.99825,-6.417229586554699,-12.678185566288558,0.5237196141452187,-16.6082202490879,-16.624189284200064,2.5906362125290765,-21.664453294641305,-11.40068259202112
CFB,PK95-SC-179,1080,no_indication,FALSE,passey_ji_lake_published,20000,19966,0.9983,-6.417229586554699,-12.678185566288558,0.5230198288401455,-15.146568236546225,-15.18188772924034,2.308211489501878,-19.59812010199646,-10.391591997878812
CFB,PK95-SC-179,1080,no_indication,FALSE,soil_slope_prior,20000,19966,0.9983,-6.417229586554699,-12.678185566288558,0.5202563588279344,-12.290035105902568,-12.132350617172827,2.366717245863859,-17.441782038286128,-8.089917752833646
CFB,PK95-SC-185,940,no_indication,FALSE,ben_lake_adjusted,20000,19962,0.9981,-6.51059792292898,-12.358190552824246,0.5237391459389868,-16.676513058742707,-16.685972766423806,2.533199363471362,-21.641057801561388,-11.573762837354508
CFB,PK95-SC-185,940,no_indication,FALSE,passey_ji_lake_published,20000,19963,0.99815,-6.51059792292898,-12.358190552824246,0.523039365386252,-15.21044015925564,-15.250435994798138,2.2318857716520637,-19.541304600137437,-10.623471004706042
CFB,PK95-SC-185,940,no_indication,FALSE,soil_slope_prior,20000,19963,0.99815,-6.51059792292898,-12.358190552824246,0.5202411485747369,-12.329851007516282,-12.156985378398932,2.275991575861502,-17.428605310959647,-8.358101262395977
CFB,PK95-SC-187,700,possible,FALSE,ben_lake_adjusted,20000,19997,0.99985,-4.0009643454393515,-28.50597672333321,0.5230888374702852,-16.161304503699053,-16.11176913725898,2.5815437880253604,-21.428953823003347,-11.249158254992611
