site,basin,sample_label,depth_mbsf,depth_composite_rmcd,Age_Ma,d13C_benthic_vpdb,d18O_benthic_vpdb,source_record,dataset_doi,article_doi
ODP Site 1209,Pacific,"198-1209B-23H-4,56-58",209.66,232.69,58.617248,1.937,0.573,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-12H-5,145-147",209.95,232.711,58.62114,1.938,0.392,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-4,60-62",209.7,232.73,58.624661,1.922,0.479,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-4,64-66",209.74,232.77,58.632073,2.049,0.646,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-12H-6,5-7",210.05,232.799,58.637447,2.027,0.422,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-4,68-70",209.78,232.81,58.639485,1.946,0.574,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-4,72-74",209.82,232.85,58.646898,1.928,0.454,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-12H-6,15-17",210.15,232.887,58.653754,2.024,0.432,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-4,76-78",209.86,232.89,58.654309999999995,2.049,0.674,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-4,80-82",209.9,232.93,58.661722000000005,2.077,0.489,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-4,84-86",209.94,232.97,58.669134,1.946,0.615,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-12H-6,25-27",210.25,232.978,58.670617,1.962,0.429,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-4,88-90",209.98,233.01,58.676547,1.93,0.586,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-4,92-94",210.02,233.05,58.683959,1.983,0.445,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-12H-6,35-37",210.35,233.073,58.688221,2.009,0.356,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-4,96-98",210.06,233.09,58.691371,2.017,0.581,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-4,100-102",210.1,233.13,58.698783999999996,1.938,0.506,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-12H-6,45-47",210.45,233.168,58.705825,1.733,0.271,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-4,104-106",210.14,233.17,58.706196000000006,1.761,0.5,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-4,108-110",210.18,233.21,58.713608,1.754,0.464,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-4,112-114",210.22,233.25,58.721019999999996,1.789,0.55,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-12H-6,55-57",210.55,233.263,58.723428999999996,1.821,0.387,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-4,116-118",210.26,233.29,58.728432999999995,1.894,0.526,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-4,120-122",210.3,233.33,58.735845,1.789,0.447,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-12H-6,65-67",210.65,233.358,58.741034,1.65,0.506,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-4,124-126",210.34,233.37,58.743257,1.597,0.52,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-4,128-130",210.38,233.41,58.75067,1.822,0.421,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-4,132-134",210.42,233.45,58.758082,1.77,0.539,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-12H-6,75-77",210.75,233.453,58.758638,1.782,0.2,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-4,136-138",210.46,233.49,58.765494,1.82,0.674,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-4,140-142",210.5,233.53,58.772907,1.794,0.411,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-12H-6,85-87",210.85,233.548,58.776241999999996,1.769,0.447,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-4,144-146",210.54,233.57,58.780319000000006,1.823,0.577,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-4,148-150",210.58,233.61,58.787731,1.892,0.477,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-12H-6,95-97",210.95,233.643,58.793845999999995,1.874,0.27,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,2-4",210.62,233.65,58.795142999999996,1.842,0.451,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,6-8",210.66,233.69,58.802555999999996,1.827,0.44,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,10-12",210.7,233.73,58.809968,1.896,0.508,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-12H-7,5-7",211.05,233.738,58.811449999999994,1.666,0.43,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,14-16",210.74,233.77,58.81738,1.827,0.595,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,18-20",210.78,233.81,58.824793,1.71,0.518,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-12H-7,15-17",211.15,233.833,58.829055,1.474,0.255,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,22-24",210.82,233.85,58.832205,1.714,0.506,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,26-28",210.86,233.89,58.839617,1.624,0.383,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-12H-7,25-27",211.25,233.928,58.846659,1.362,0.18,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,30-32",210.9,233.93,58.847029,1.739,0.525,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,34-36",210.94,233.97,58.854442000000006,1.72,0.486,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,38-40",210.98,234.01,58.863898999999996,1.859,0.552,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,42-44",211.02,234.05,58.87949,1.736,0.684,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,46-48",211.06,234.09,58.895081,1.913,0.67,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,50-52",211.1,234.13,58.910671,1.804,0.595,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,54-56",211.14,234.17,58.926262,1.774,0.622,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,58-60",211.18,234.21,58.941853,1.689,0.443,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,62-64",211.22,234.25,58.957444,1.717,0.496,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,66-68",211.26,234.29,58.973035,1.66,0.495,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,70-72",211.3,234.33,58.988625999999996,1.69,0.506,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,74-76",211.34,234.37,59.004217,1.688,0.578,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,78-80",211.38,234.41,59.019808,1.931,0.661,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,82-84",211.42,234.45,59.035399,1.833,0.695,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,86-88",211.46,234.49,59.05099,1.907,0.645,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,90-92",211.5,234.53,59.06658,1.956,0.806,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,94-96",211.54,234.57,59.082171,2.003,0.72,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,98-100",211.58,234.61,59.097762,1.838,0.726,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,102-104",211.62,234.65,59.113353000000004,1.773,0.687,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,106-108",211.66,234.69,59.128944000000004,1.69,0.586,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,114-116",211.74,234.77,59.164967,1.861,0.542,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,118-120",211.78,234.81,59.182978999999996,1.856,0.473,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,122-124",211.82,234.85,59.200991,1.841,0.591,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,126-128",211.86,234.89,59.219002,1.543,0.411,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,134-136",211.94,234.97,59.255026,1.865,0.548,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,138-140",211.98,235.01,59.273036,1.969,0.672,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,142-144",212.02,235.05,59.285353,1.672,0.615,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-5,146-148",212.06,235.09,59.29767,1.722,0.682,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,0-2",212.1,235.13,59.309987,1.507,0.61,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,16-18",212.26,235.29,59.359254,1.465,0.636,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,20-22",212.3,235.33,59.371571,1.669,0.697,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,24-26",212.34,235.37,59.379656000000004,1.685,0.561,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,28-30",212.38,235.41,59.38774,1.48,0.676,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,32-34",212.42,235.45,59.395824999999995,1.397,0.516,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,36-38",212.46,235.49,59.403909,1.412,0.508,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,40-42",212.5,235.53,59.411994,1.265,0.631,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,44-46",212.54,235.57,59.420079,1.512,0.67,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,48-50",212.58,235.61,59.428163,1.606,0.617,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,52-54",212.62,235.65,59.436248,1.291,0.698,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,56-58",212.66,235.69,59.444333,1.255,0.706,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,64-66",212.74,235.77,59.460502,1.454,0.62,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,68-70",212.78,235.81,59.468586,1.505,0.644,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,72-74",212.82,235.85,59.476671,1.715,0.747,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,76-78",212.86,235.89,59.486514,1.649,0.69,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,80-82",212.9,235.93,59.496357,1.798,0.661,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,84-86",212.94,235.97,59.5062,1.699,0.603,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,88-90",212.98,236.01,59.516042999999996,1.704,0.611,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,92-94",213.02,236.05,59.525886,1.627,0.617,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,96-98",213.06,236.09,59.535728999999996,1.618,0.678,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,100-102",213.1,236.13,59.545572,1.421,0.653,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,104-106",213.14,236.17,59.555415000000004,1.4,0.574,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,108-110",213.18,236.21,59.565258,1.33,0.663,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,112-114",213.22,236.25,59.575101000000004,1.335,0.735,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,116-118",213.26,236.29,59.584944,1.311,0.663,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,120-122",213.3,236.33,59.594787,1.377,0.686,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,124-126",213.34,236.37,59.60463,1.38,0.851,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,128-130",213.38,236.41,59.614473,1.463,0.694,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-23H-6,132-134",213.42,236.45,59.624316,1.357,0.684,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,40-42",212.4,236.623,59.666888,1.456,0.838,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,44-46",212.44,236.676,59.67993,1.364,0.71,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,48-50",212.48,236.728,59.692726,1.308,0.736,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,52-54",212.52,236.78,59.705521999999995,1.352,0.635,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,56-58",212.56,236.82,59.715365,1.306,0.621,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,60-62",212.6,236.86,59.725208,1.427,0.706,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,64-66",212.64,236.9,59.735051,1.246,0.524,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,68-70",212.68,236.94,59.744894,1.362,0.463,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,72-74",212.72,236.98,59.754737,1.416,0.571,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,76-78",212.76,237.02,59.76458,1.539,0.683,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,80-82",212.8,237.06,59.772000999999996,1.456,0.672,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,84-86",212.84,237.1,59.779422,1.516,0.763,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,88-90",212.88,237.14,59.786843,1.46,0.732,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,92-94",212.92,237.18,59.794264000000005,1.442,0.616,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,96-98",212.96,237.22,59.801685,1.476,0.659,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,100-102",213,237.26,59.809106,1.464,0.678,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,104-106",213.04,237.3,59.816527,1.464,0.688,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,108-110",213.08,237.34,59.823947999999994,1.669,0.733,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,112-114",213.12,237.38,59.831369,1.588,0.684,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,116-118",213.16,237.42,59.83879,1.544,0.633,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,120-122",213.2,237.46,59.846211000000004,1.561,0.671,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,124-126",213.24,237.5,59.853632,1.596,0.787,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,128-130",213.28,237.54,59.861053,1.547,0.76,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,132-134",213.32,237.58,59.868474,1.667,0.599,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,136-138",213.36,237.62,59.875895,1.62,0.655,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,140-142",213.4,237.66,59.883316,1.598,0.538,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,144-146",213.44,237.7,59.890737,1.642,0.48,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-1,148-150",213.48,237.74,59.898158,1.478,0.504,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-2,2-4",213.52,237.78,59.905578999999996,1.441,0.616,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-2,6-8",213.56,237.82,59.913,1.573,0.568,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-2,10-12",213.6,237.86,59.920421000000005,1.433,0.54,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-2,14-16",213.64,237.9,59.927842,1.49,0.669,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-2,18-20",213.68,237.94,59.935263,1.629,0.675,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-2,22-24",213.72,237.98,59.942684,1.701,0.675,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-2,26-28",213.76,238.02,59.952404,1.653,0.756,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-2,30-32",213.8,238.06,59.962123,1.597,0.72,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-2,34-36",213.84,238.1,59.971843,1.421,0.534,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-2,38-40",213.88,238.14,59.981563,1.289,0.652,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-2,42-44",213.92,238.18,59.991283,1.33,0.607,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-2,46-48",213.96,238.22,60.001002,1.306,0.506,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-2,50-52",214,238.26,60.010722,1.405,0.644,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-2,54-56",214.04,238.3,60.020442,1.456,0.592,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-2,58-60",214.08,238.34,60.030162,1.207,0.626,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-2,62-64",214.12,238.38,60.039881,1.448,0.61,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-2,66-68",214.16,238.42,60.049601,1.356,0.766,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-2,70-72",214.2,238.46,60.059321000000004,1.307,0.623,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-2,74-76",214.24,238.5,60.069041,1.286,0.648,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-2,78-80",214.28,238.54,60.07876,1.325,0.659,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-2,82-84",214.32,238.58,60.088480000000004,1.287,0.606,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-13H-2,86-88",214.36,238.62,60.0982,1.286,0.528,Westerhold et al. 2011,10.1594/PANGAEA.883334,10.1029/2017PA003306
