site,basin,sample_label,depth_mbsf,depth_composite_rmcd,Age_Ma,d13C_benthic_vpdb,d18O_benthic_vpdb,source_record,dataset_doi,article_doi
ODP Site 1209,Pacific,"198-1209C-10H-1,125-127",184.75,204.748,52.476517,-0.154,-0.861,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-5,45-47",185.65,204.81,52.487699,0.15,-0.588,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-5,47-49",185.68,204.84,52.493109,0.0607,-0.5983,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-1,135-137",184.85,204.857,52.496175,-0.131,-0.885,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-5,55-57",185.75,204.91,52.505733,0.062,-0.611,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-5,58-60",185.79,204.95,52.512947,-0.0695,-0.7039,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-1,145-147",184.95,204.972,52.516915,-0.049,-0.694,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-5,65-67",185.85,205.01,52.523768,-0.023,-0.632,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-5,68-70",185.89,205.05,52.530982,-0.0839,-0.7086,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-2,5-7",185.05,205.087,52.537655,-0.744,-0.143,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-5,75-77",185.95,205.11,52.542181,0.019,-0.698,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-2,15-17",185.15,205.202,52.562254,-0.155,-0.409,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-5,85-87",186.05,205.21,52.564,0.179,-0.325,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-5,95-97",186.15,205.31,52.585819,-0.131,-0.627,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-2,25-27",185.25,205.314,52.586692,-0.091,-0.459,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
