section_id,dataset,study_status,MLA_horizon_id,Age_Ma,temperature_C,temperature_se_C,d18Ocarb_vsmow,p_altered_preservation,age_uncertainty_status,probability_model_version,temperature_se_imputed,passes_d18Ocarb_screen,passes_temperature_screen,used_in_temperature_model,temperature_model_exclusion_reason,inverse_variance_weight,age_bin_ma
CFB,U-M CFB Delta47,This study,PK95-SC-3,54.84051396648045,38.7,2.1444346574330497,22.20336115,0.0704116837667069,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.21745748706127946,54.85
CFB,Caltech CFB Delta47,Published data,SNELL-SC-64,54.75467597765363,36.2,1.5,22.5,0.05,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.4444444444444444,54.75
CFB,U-M CFB Delta47,This study,PK95-SC-111,54.668837988826816,38.5,2.1444346574330497,22.76542603,0.05,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.21745748706127946,54.650000000000006
CFB,U-M CFB Delta47,This study,PK95-SC-148lwr,54.56583240223463,17.1,3.695041722813605,22.90728483,0.05,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.07324218749999999,54.550000000000004
CFB,U-M CFB Delta47,This study,PK95-SC-303,54.41132402234636,27.5,2.1444346574330497,22.37121146,0.05,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.21745748706127946,54.400000000000006
CFB,Caltech CFB Delta47,Published data,SNELL-SC-295,54.16607262569832,35.6,1.8,22.3,0.05,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.30864197530864196,54.150000000000006
MCP,Snell et al. (2013),Published data,32-1030-3,53.73953125,30,2.3,22.1,0.1116737618842388,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.18903591682419663,53.75
MCP,Snell et al. (2013),Published data,35-1190-2,53.42875,33.8,2,22.5,0.05,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.25,53.45
MCP,Snell et al. (2013),Published data,41-1435-2,52.92727272727274,41.5,2.3,22.8,0.05,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.18903591682419663,52.95
MCP,Snell et al. (2013),Published data,41-1435-6,52.92727272727274,44.8,8.9,22.6,0.05,not propagated,BHB_d18O_trajectory_index_v2,FALSE,TRUE,TRUE,TRUE,NA,0.012624668602449185,52.95
