taxon,specimen_id,analysis_id,lmz,published_age_Ma,within_specimen_height_mm,d13Ccarb_VPDB,d18Ocarb_VSMOW,d18Ophosphate_VSMOW,regional_setting,possible_section,source,dataset,proxy_type,geographic_scope,stratigraphic_section,section_note
Coryphodon,83613,83613-6,Wa-0,55.5,32.7,NA,NA,16.5,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,83613,83613-5,Wa-0,55.5,23.6,15.4,21.4,15.9,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,83613,83613-4,Wa-0,55.5,18.6,15.6,22.1,15.7,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,83613,83613-3,Wa-0,55.5,13.4,14.4,23.3,16.6,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,83613,83613-2,Wa-0,55.5,8.3,14.5,23.3,17,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,83613,83613-1,Wa-0,55.5,2,NA,NA,17.5,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,83517,83517-10,Wa-1,55.31,50.7,16,20.8,15.1,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,83517,83517-9,Wa-1,55.31,45.6,15.6,20.8,15,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,83517,83517-8,Wa-1,55.31,40.5,15.1,20.2,15.5,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,83517,83517-7,Wa-1,55.31,34.3,15.4,19.7,15.8,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,83517,83517-6,Wa-1,55.31,29.3,14.4,22.1,15.5,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,83517,83517-5,Wa-1,55.31,24,15.2,21.7,15.5,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,83517,83517-4,Wa-1,55.31,17.9,15.4,20.7,16.1,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,83517,83517-3.5,Wa-1,55.31,15,NA,NA,15.1,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
