section_id,MLA_horizon_id,strat_height_m,source,carbonate_type,T47_C,T47_se_C,d18Ocarb_vsmow,d18Ocarb_se_vsmow,alteration_likelihood,temperature_plausibility,passes_primary_temperature_screen,passes_caution_inclusive_screen,temperature_screen_reason
CFB,SNELL-SC-62,1305,Caltech micrite,Pedogenic micrite,31.2,4.3,22.6,NA,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PB-00-02-02,1520.5,Caltech micrite,Pedogenic micrite,36.8,2.5,22.4,NA,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,SNELL-SC-351-n1,1524,Caltech micrite,Pedogenic micrite,40.4,6.4,23,NA,no_horizon_exclusion,caution,FALSE,TRUE,Above 40 C but at or below 45 C; sensitivity use only
CFB,SNELL-SC-15,1630,Caltech micrite,Pedogenic micrite,36.9,3.2,21.8,NA,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,SNELL-SC-33,1840,Caltech micrite,Pedogenic micrite,26.8,5.2,21.8,NA,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,SNELL-SC-64,1970,Caltech micrite,Pedogenic micrite,36.2,1.5,22.5,NA,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,SNELL-SC-295,2210,Caltech micrite,Pedogenic micrite,35.6,1.8,22.3,NA,no_horizon_exclusion,pass,TRUE,TRUE,At or below 40 C; physically plausible soil temperature
CFB,PK95-SC-22,1460,IPL D47,Spar,42.06601742884578,4.070643452548552,19.575794297814326,0.0350379769615845,no_horizon_exclusion,caution,FALSE,TRUE,Above 40 C but at or below 45 C; sensitivity use only
CFB,PK95-SC-4,1570,IPL D47,Spar,78.21981007347776,1.6254575050623143,14.124453606790096,0.0022901887049791,no_horizon_exclusion,fail_primary_temperature,FALSE,FALSE,Above 45 C; not credible as a primary soil-formation temperature
CFB,PK95-SC-54,1700,IPL D47,Spar,68.29372174608528,NA,13.426021936209665,NA,no_horizon_exclusion,fail_primary_temperature,FALSE,FALSE,Above 45 C; not credible as a primary soil-formation temperature
CFB,PK95-SC-111,2005,IPL D47,Spar,52.24971332897212,1.5770394561585022,16.724025850236316,0.02364570238897378,no_horizon_exclusion,fail_primary_temperature,FALSE,FALSE,Above 45 C; not credible as a primary soil-formation temperature
CFB,SNELL-SC-191,794,Snell et al. 2013,Altered carbonate,46.6,NA,19.8,NA,not_assessed,fail_primary_temperature,FALSE,FALSE,Above 45 C; not credible as a primary soil-formation temperature
CFB,PB-00-02-32,NA,Snell et al. 2013,Spar,54.1,NA,16.5,NA,not_assessed,fail_primary_temperature,FALSE,FALSE,Above 45 C; not credible as a primary soil-formation temperature
CFB,SNELL-SC-295,NA,Snell et al. 2013,Spar,56.6,NA,14.4,NA,no_horizon_exclusion,fail_primary_temperature,FALSE,FALSE,Above 45 C; not credible as a primary soil-formation temperature
