section_id,MLA_horizon_id,IPL17O_mean_dp17Ocarb,IPL17O_sd_dp17Ocarb,IPL17O_se_dp17Ocarb,IPL17O_n_dp17Ocarb,IPL17O_mean_dp18Ocarb,IPL17O_sd_dp18Ocarb,IPL17O_se_dp18Ocarb,IPL17O_n_dp18Ocarb,IPL17O_mean_Dp17Ocarb,IPL17O_sd_Dp17Ocarb,IPL17O_se_Dp17Ocarb,IPL17O_n_Dp17Ocarb,IPL17O_n_analyses,D17O_n_attempted,D17O_n_analysis_excluded,D17O_pending_replicates,D17O_n_retained,D17O_replicate_range_permeg,D17O_replicate_status,D17O_primary_use,strat_height_m,IPL17O_sd_Dp17Ocarb_adj,IPL17O_se_Dp17Ocarb_adj,IPL17O_ci95_Dp17Ocarb_adj,D17O_sd_used_permeg,D17O_se_used_permeg,IPL17O_mean_d17Ocarb,IPL17O_mean_d18Ocarb
CFB,PK95-SC-224,11.210788485,0.24243547023030873,0.17142776500000065,2,21.420930650000003,0.4619812292732322,0.32667005999999965,2,-99.46289745,1.490616237948274,1.0540248500000047,2,2,2,0,FALSE,2,2.1080497000000094,replicated_concordant,primary,1815,12,8.48528137423857,16.631151493507595,12,8.48528137423857,11.273864865841476,21.652005783609596
CFB,PK95-SC-23,10.567870544,0.6389032526862084,0.28572622081041743,5,20.201469274,1.202741674029156,0.5378824285002173,5,-98.505231358,7.3312457075406785,3.2786327523629,5,5,6,1,FALSE,5,17.22297109,replicated_concordant,primary,1495,12,5.366563145999495,10.51846376615901,12,5.366563145999495,10.62390771180044,20.40689995637446
CFB,PK95-SC-246,10.355071885000001,0.25766441483458685,0.182196255,2,19.80702415,0.49194031121620696,0.34785433000000054,2,-103.0368666,2.0800701381082725,1.4708316999999977,2,2,2,0,FALSE,2,2.941663399999996,replicated_concordant,primary,520,12,8.48528137423857,16.631151493507595,12,8.48528137423857,10.408871180040302,20.004484800756117
CFB,PK95-SC-27,11.725799485,0.4597927125722571,0.32512254500000015,2,22.391425325,0.8596765031441984,0.607883085000001,2,-96.87308745499999,5.883519796004391,4.160276744999997,2,2,2,0,FALSE,2,8.320553489999995,replicated_concordant,primary,1525,12,8.48528137423857,16.631151493507595,12,8.48528137423857,11.79481616657041,22.643994897142193
CFB,PK95-SC-279,10.63474449,0.20273645199589688,0.14335631999999965,2,20.32928966,0.3978201559995893,0.2813013299999998,2,-99.12045032500001,7.312595371130883,5.170785775000005,2,2,2,0,FALSE,2,10.341571550000012,replicated_concordant,primary,680,12,8.48528137423857,16.631151493507595,12,8.48528137423857,10.691494380299371,20.537337096289132
CFB,PK95-SC-3,9.918088682,0.37042925477318667,0.26193303799999956,2,18.95246628,0.7215659976330988,0.5102242100000004,2,-88.81351221,10.557589106235014,7.465342849999999,2,2,2,0,FALSE,2,14.930685699999998,replicated_concordant,primary,1935,12,8.48528137423857,16.631151493507595,12,8.48528137423857,9.967435932091151,19.13320427367249
CFB,PK95-SC-303,11.436070015,0.6042761098726812,0.4272877350000001,2,21.855507815,1.1575709451215928,0.818526264999999,2,-103.638113225,6.921350077830518,4.894133574999998,2,2,2,0,FALSE,2,9.788267149999996,replicated_concordant,primary,2110,12,8.48528137423857,16.631151493507595,12,8.48528137423857,11.501711853262764,22.096088903102107
CFB,PK95-SC-31,10.958977085,0.27736828470360436,0.19612899499999958,2,20.971338455,0.49495919755246415,0.3499890049999994,2,-113.88962045,16.029829371710804,11.334801050000003,2,2,2,0,FALSE,2,22.669602100000006,replicated_concordant,primary,1760,16.029829371710804,11.334801050000003,22.216210058000005,16.029829371710804,11.334801050000003,11.019246637377966,21.19278225519561
CFB,PK95-SC-35,10.734592655,0.20005501115775662,0.14146025500000012,2,20.541617345,0.36808529054586303,0.2602756050000003,2,-111.38130265000001,5.705978018241585,4.034735750000002,2,2,2,0,FALSE,2,8.069471500000006,replicated_concordant,primary,1870,12,8.48528137423857,16.631151493507595,12,8.48528137423857,10.792415109685427,20.75404843262474
CFB,PK95-SC-4,10.44871073,NA,NA,1,20.0129139,NA,NA,1,-118.1078065,NA,NA,1,1,2,1,FALSE,1,0,singleton_provisional,sensitivity_only,1570,12,12,23.52,12,12,10.50348912960386,20.214514889909996
CFB,PK95-SC-43,10.135669959333333,1.4287978884947974,0.8249168455400402,3,19.38452937,2.691836037591951,1.5541322609180483,3,-99.36154912,15.119267192145482,8.729112983335073,3,3,3,0,FALSE,3,28.18217727000001,replicated_heterogeneous,sensitivity_only,1600,15.119267192145482,8.729112983335073,17.109061447336742,15.119267192145482,8.729112983335073,10.187209845343714,19.573629253870184
CFB,PK95-SC-49,11.587266932,2.100674560980461,1.212825023261868,3,21.99115653,3.973936804755998,2.294353483968437,3,-24.063715781,16.946665035023184,9.784161619837054,3,3,3,0,FALSE,3,32.553698966999995,replicated_heterogeneous,sensitivity_only,1380,16.946665035023184,9.784161619837054,19.176956774880626,16.946665035023184,9.784161619837054,11.654659355939234,22.23474432817074
CFB,PK95-SC-50,10.15385467,NA,NA,1,19.49300254,NA,NA,1,-138.4506651,NA,NA,1,1,1,0,FALSE,1,0,singleton_provisional,sensitivity_only,1425,12,12,23.52,12,12,10.205579974501111,19.684231636070805
CFB,PK95-SC-54,9.42441063675,3.04307668275619,1.521538341378095,4,18.0072267925,5.7684939469543925,2.8842469734771963,4,-83.40510948,9.032145942935653,4.5160729714678265,4,4,4,0,FALSE,4,21.035058660000004,replicated_concordant,primary,1700,12,6,11.76,12,6,9.46896023593169,18.170334468943004
CFB,PK95-SC-6,10.798597449999999,0.2013744229139755,0.14239321999999974,2,20.63613357,0.3561840682355915,0.2518601699999987,2,-97.281069785,13.309237678654354,9.411052214999996,2,2,2,0,FALSE,2,18.822104429999996,replicated_concordant,primary,1530,13.309237678654354,9.411052214999996,18.44566234139999,13.309237678654354,9.411052214999996,10.857112741459396,20.850530811439505
CFB,PK95-SC-63,9.140995148,NA,NA,1,17.4974229,NA,NA,1,-97.64414561,NA,NA,1,1,1,0,FALSE,1,0,singleton_provisional,sensitivity_only,1910,12,12,23.52,12,12,9.18290163582225,17.6513995579608
CFB,PK95-SC-92,9.907123156,0.024659424098210824,0.017436845999999836,2,18.962640795,9.555133934196189e-5,6.756500000015819e-5,2,-105.151183685,24.608973747642864,17.401172214999995,2,2,2,0,FALSE,2,34.80234442999999,replicated_heterogeneous,sensitivity_only,1210,24.608973747642864,17.401172214999995,34.10629754139999,24.608973747642864,17.401172214999995,9.956361168633743,19.143573512497404
