MLA_horizon_id,strat_height_m,T_model_C,T_model_se_C,T_model_lower95_C,T_model_upper95_C,T_measured_C,T_measured_se_C,n_T_obs,T_sources,T_model_anchor_C,has_measured_T47
PK95-SC-67-5,1527,37.090877599654156,2.429636393609976,32.3287902681786,41.85296493112971,NA,NA,0,NA,NA,FALSE
PB-00-02-07C,1527,37.090877599654156,2.429636393609976,32.3287902681786,41.85296493112971,NA,NA,0,NA,NA,FALSE
PB-00-02-07B,1528,36.02978193924484,2.035958857640964,32.039302578268554,40.02026130022113,NA,NA,0,NA,NA,FALSE
PB-00-02-07A,1528.5,35.40886452218167,2.035958857640964,31.418385161205386,39.39934388315796,NA,NA,0,NA,NA,FALSE
PK95-SC-351-3,1528.7,35.147238832160056,2.035958857640964,31.15675947118377,39.137718193136344,NA,NA,0,NA,NA,FALSE
PB-00-02-08,1529.1,34.605262877548604,2.035958857640964,30.614783516572317,38.59574223852489,NA,NA,0,NA,NA,FALSE
PK95-SC-6,1530,33.32115660068838,2.035958857640964,29.330677239712095,37.31163596166467,42.4,2.0869560153534854,1,IPL,34,TRUE
PB-00-02-09L,1530.5,32.59107434504458,2.035958857640964,28.600594984068294,36.58155370602087,27.200000000000003,1.8,1,CU,31.566666666666666,TRUE
PK95-SC-349-2,1531,31.874336333734153,2.035958857640964,27.88385697275786,35.864815694710444,NA,NA,0,NA,NA,FALSE
PB-00-02-09U,1531,31.874336333734153,2.035958857640964,27.88385697275786,35.864815694710444,NA,NA,0,NA,NA,FALSE
PB-00-02-10,1531.6,31.04100170486637,2.035958857640964,27.05052234389008,35.03148106584266,NA,NA,0,NA,NA,FALSE
PB-00-02-11,1532.2,30.240735692326872,2.035958857640964,26.250256331350585,34.23121505330316,NA,NA,0,NA,NA,FALSE
PK95-SC-351-4,1532.3,30.11086191754124,2.035958857640964,26.120382556564948,34.10134127851753,NA,NA,0,NA,NA,FALSE
PB-00-02-12B,1533,29.232265540868838,2.035958857640964,25.24178617989255,33.222744901845125,NA,NA,0,NA,NA,FALSE
PB-00-02-12A,1533.5,28.639872947179903,2.035958857640964,24.649393586203615,32.63035230815619,NA,NA,0,NA,NA,FALSE
PK95-SC-349-3,1534,28.07949231187515,2.035958857640964,24.089012950898862,32.06997167285144,NA,NA,0,NA,NA,FALSE
PK95-SC-351-5,1534,28.07949231187515,2.035958857640964,24.089012950898862,32.06997167285144,NA,NA,0,NA,NA,FALSE
PK95-SC-67-6,1534,28.07949231187515,2.035958857640964,24.089012950898862,32.06997167285144,NA,NA,0,NA,NA,FALSE
PB-00-02-13,1534.8,27.255411040710086,2.035958857640964,23.2649316797338,31.245890401686374,NA,NA,0,NA,NA,FALSE
PB-00-02-14,1537,25.52279329016604,2.1482850066987615,21.312154677036467,29.73343190329561,NA,NA,0,NA,NA,FALSE
PK95-SC-351-6,1537.8,25.115741377337276,2.1482850066987615,20.905102764207705,29.326379990466847,NA,NA,0,NA,NA,FALSE
PB-00-02-15,1538.7,24.818907581822028,2.1482850066987615,20.608268968692457,29.0295461949516,NA,NA,0,NA,NA,FALSE
PB-00-04-01,1541,24.92875568846313,2.1482850066987615,20.71811707533356,29.139394301592702,NA,NA,0,NA,NA,FALSE
PB-00-02-17,1543,26.180978206847936,2.1482850066987615,21.970339593718364,30.391616819977507,NA,NA,0,NA,NA,FALSE
PB-00-02-18,1543.9,27.13860989743364,2.1482850066987615,22.927971284304068,31.34924851056321,NA,NA,0,NA,NA,FALSE
PB-00-02-19,1545.1,28.82879304686118,2.1482850066987615,24.618154433731608,33.039431659990754,25.099999999999998,2.5,1,CU,28,TRUE
PB-00-02-20,1547.2,32.749509338887435,2.1482850066987615,28.538870725757864,36.96014795201701,NA,NA,0,NA,NA,FALSE
PB-00-04-03,1548.4,35.13417883022756,2.1482850066987615,30.92354021709799,39.34481744335714,NA,NA,0,NA,NA,FALSE
PK95-SC-67-8,1548.9,36.07616911788703,2.1482850066987615,31.865530504757455,40.2868077310166,NA,NA,0,NA,NA,FALSE
PB-00-02-21,1549,36.258161848658666,2.1482850066987615,32.04752323552909,40.46880046178824,31.7,2.0869560153534854,1,CU,37.05,TRUE
PB-00-04-04,1549.5,37.13109348154499,2.1482850066987615,32.92045486841541,41.34173209467456,NA,NA,0,NA,NA,FALSE
PB-00-04-05,1553.7,42.19702082986615,6.683800118612334,29.09677259738597,55.297269062346324,NA,NA,0,NA,NA,FALSE
PB-00-02-22,1554.2,42.55335315998546,6.683800118612334,29.453104927505287,55.65360139246564,NA,NA,0,NA,NA,FALSE
PB-00-04-06,1554.3,42.61886371907276,6.683800118612334,29.518615486592587,55.71911195155294,NA,NA,0,NA,NA,FALSE
PB-00-04-08,1558.6,43.795968511193074,6.683800118612334,30.695720278712898,56.89621674367325,NA,NA,0,NA,NA,FALSE
PB-00-02-23,1559.4,43.70142928787208,6.683800118612334,30.601181055391905,56.80167752035226,NA,NA,0,NA,NA,FALSE
PB-00-04-09,1559.5,43.683579989422476,6.683800118612334,30.5833317569423,56.78382822190265,NA,NA,0,NA,NA,FALSE
PK95-SC-67-9,1559.6,43.66442806153486,6.683800118612334,30.564179829054687,56.76467629401504,NA,NA,0,NA,NA,FALSE
PB-00-04-10,1562.4,42.645336931347074,6.541785272369896,29.823437797502077,55.46723606519207,NA,NA,0,NA,NA,FALSE
PB-00-04-11,1568.2,38.38836155745306,6.541785272369896,25.566462423608062,51.21026069129806,NA,NA,0,NA,NA,FALSE
PB-00-04-12,1568.6,38.03025496997282,6.541785272369896,25.208355836127826,50.852154103817824,NA,NA,0,NA,NA,FALSE
PK95-SC-4,1570,36.747508576060234,6.541785272369896,23.925609442215237,49.569407709905235,54.35,11.1091928899748,1,IPL,36.70707220573689,TRUE
PB-00-04-13,1572.8,34.11574106894721,6.4745149229970895,21.425691819872913,46.80579031802151,NA,NA,0,NA,NA,FALSE
PB-00-04-14,1574.7,32.31050546264477,6.4745149229970895,19.620456213570474,45.00055471171906,24.071216617210684,0.7844179834120945,2,"CU, IPL",32.33097002197093,TRUE
PB-00-04-15,1584.7,24.089580645802958,6.4745149229970895,11.399531396728662,36.77962989487725,NA,NA,0,NA,NA,FALSE
PB-00-04-16,1594.2,22.96997317204833,1.3901075655026036,20.245362343663228,25.694584000433434,18.571693448702103,1.314744167117351,2,"CU, IPL",22.78097002197093,TRUE
PK95-SC-43,1600,26.895911606392932,1.3901075655026036,24.17130077800783,29.620522434778035,25.7,1.8583146486355135,1,IPL,27.057231149567368,TRUE
SNELL-SC-15,1630,34.77301297683997,2.26729541953274,30.3291139545558,39.21691199912414,36.9,3.2,1,Snell,34.766666666666666,TRUE
PK95-SC-15,1630,34.77301297683997,2.26729541953274,30.3291139545558,39.21691199912414,NA,NA,0,NA,NA,FALSE
PK95-SC-161,1665,33.841456628064705,2.3946700074215745,29.14790341351842,38.53500984261099,NA,NA,0,NA,NA,FALSE
PK95-SC-54,1700,32.7383524035492,1.785362552661068,29.239041800333506,36.23766300676489,NA,NA,0,NA,NA,FALSE
PK95-SC-160,1720,33.348501861198635,1.785362552661068,29.84919125798294,36.847812464414325,41.7,1.873499399519519,1,IPL,33.34166666666667,TRUE
