site,event,sample_label,depth_mbsf,depth_composite_mcd,Age_Ma,d13C_benthic_vpdb,d18O_benthic_vpdb,d18O_corrected_vpdb,bottom_water_temperature_C,source_record,dataset_doi,article_doi
ODP Site 1262,208-1262C,"208-1262C-12H-1,83-84",184.835,203.615,63.32365,1.04,-0.2,-0.116,10.86,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,85-86",184.855,203.635,63.32788,1.01,-0.11,-0.013,10.41,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,89-90",184.895,203.675,63.336349999999996,0.97,-0.05,0.052,10.12,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,92-93",184.925,203.705,63.34271,0.99,-0.14,-0.039,10.53,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,95-96",184.955,203.735,63.349129999999995,0.92,-0.23,-0.142,10.98,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,99-100",184.995,203.775,63.35815,1.01,-0.07,0.033,10.2,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,101-102",185.015,203.795,63.362660000000005,0.92,-0.27,-0.196,11.22,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,104-105",185.045,203.825,63.36942,0.98,-0.2,-0.114,10.86,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,107-108",185.075,203.855,63.37618,1.07,-0.13,-0.037,10.52,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,110-111",185.105,203.885,63.382949999999994,1.11,-0.09,0.007,10.32,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,113-114",185.135,203.915,63.38971,1.1,-0.21,-0.119,10.88,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,116-117",185.165,203.945,63.39647,1.16,-0.1,0,10.35,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,122-123",185.225,204.005,63.41,1.22,-0.12,-0.018,10.43,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,125-126",185.255,204.035,63.416760000000004,1.25,0.24,0.38,8.69,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,128-129",185.285,204.065,63.42353,1.36,0.31,0.462,8.33,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,131-132",185.315,204.095,63.43029,1.19,-0.21,-0.123,10.89,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,134-135",185.345,204.125,63.437050000000006,1.2,0.07,0.191,9.51,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,137-138",185.375,204.155,63.44382,1.25,0.09,0.21,9.43,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,140-141",185.405,204.185,63.45058,1.26,0.35,0.508,8.13,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,143-144",185.435,204.215,63.45735,1.29,0.05,0.169,9.61,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,146-147",185.465,204.245,63.46411,1.19,0.03,0.149,9.7,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-1,149-150",185.495,204.275,63.470870000000005,1.2,-0,0.109,9.87,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,2-3",185.525,204.305,63.47764,1.27,0.05,0.169,9.61,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,5-6",185.555,204.335,63.4844,1.17,0.03,0.147,9.71,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,9-10",185.595,204.375,63.49342,1.34,0.21,0.344,8.85,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,11-12",185.615,204.395,63.497930000000004,1.27,-0.35,-0.279,11.59,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,14-15",185.645,204.425,63.504690000000004,1.24,-0.32,-0.243,11.43,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,17-18",185.675,204.455,63.511449999999996,1.32,-0.02,0.094,9.94,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,26-27",185.765,204.545,63.53175,1.21,-0.1,-0,10.35,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,29-30",185.795,204.575,63.53851,1.25,-0.16,-0.065,10.64,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,33-34",185.835,204.615,63.54753,1.19,-0.15,-0.06,10.62,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,35-36",185.855,204.635,63.55204,1.21,-0.05,0.056,10.1,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,38-39",185.885,204.665,63.558800000000005,1.27,-0.04,0.067,10.06,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,41-42",185.915,204.695,63.56556,1.14,-0.08,0.027,10.24,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
