MLA_horizon_id,strat_height_m,data_combo,has_IPL17O,IPL17O_n_analyses,IPL17O_mean_Dp17Ocarb,IPL17O_sd_Dp17Ocarb,IPL17O_se_Dp17Ocarb,IPL17O_mean_d18Ocarb,has_IPLD47,IPLD47_n_T47,IPLD47_mean_T47_C,IPLD47_sd_T47_C,IPLD47_se_T47_C,IPLD47_range_T47_C,IPLD47_sessions,has_CUD47,CU_sample_id,CU_mean_T47_C,CU_2se_T47_C,has_any_D47
PB-00-01-02,1502.2,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-67,1503.2,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-67-1,1503.2,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-24-LW,1504,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-03-14,1504.9,IPL 17O + CU D47,TRUE,2,-93.071422265,0.4558668415809753,0.3223465350000012,22.654565516540217,FALSE,NA,NA,NA,NA,NA,NA,TRUE,PB-00-03-14,31.8,3.8,TRUE
PB-00-01-03,1504.9,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-24-UP,1505,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-01-04,1506.5,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-03-15,1506.8,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-01-05,1507.3,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-03-16,1507.4,IPL 17O + IPL D47 + CU D47,TRUE,2,-88.06323903500001,15.093787075681135,10.672919194999999,23.268509030221374,TRUE,3,32.3,2.4879710609249446,1.4364307617610157,4.899999999999999,Session 2,TRUE,PB-00-03-16,34.4,3.6,TRUE
PB-00-03-17,1507.8,CU D47 only,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,TRUE,PB-00-03-17,36.6,4.8,TRUE
PB-00-01-06,1508,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-03-18,1508.5,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-01-07,1508.7,IPL 17O + CU D47,TRUE,2,-101.494603755,4.170388579857262,2.948910045000005,23.658310908409863,FALSE,NA,NA,NA,NA,NA,NA,TRUE,PB-00-01-07,33.4,3.8,TRUE
PB-00-01-07.5,1510,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-03-19,1510.1,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-01-08,1510.3,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-67-2,1511.1,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-01-09D,1511.7,IPL 17O only,TRUE,4,-91.4350268375,10.939458439416025,5.469729219708013,21.514533532392967,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-01-09C,1512.1,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-03-20,1512.3,CU D47 only,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,TRUE,PB-00-03-20,35.3,3.8,TRUE
PB-00-01-09B,1512.4,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-01-09A,1512.8,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-01-10D,1513.2,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-01-10C,1513.6,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-03-21,1513.9,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-01-10B,1514.1,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-01-10A,1514.3,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-01-11,1515.4,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
