region,sample_id,dataset,study_status,Age_Ma,stage_group,paleolatitude_deg_n,temperature_C,temperature_se_C,passed_BHB_screen,display_paleolatitude_deg_n
Bighorn Basin,PK95-SC-111,U-M CFB Delta47,This study,54.668837988826816,Ypresian,48,29.790504319200178,2.0765877511284287,TRUE,48.04895535840187
Bighorn Basin,PK95-SC-148lwr,U-M CFB Delta47,This study,54.56583240223463,Ypresian,48,10.186228379790862,6.012394033831299,TRUE,48.356231473828664
Bighorn Basin,PK95-SC-303,U-M CFB Delta47,This study,54.41132402234636,Ypresian,48,19.404670367922108,2.105188877329795,TRUE,47.64084382080473
Bighorn Basin,SNELL-SC-295,Caltech CFB Delta47,Published data,54.16607262569832,Ypresian,48,35.6,1.8,TRUE,48.49978363765403
Bighorn Basin,32-1030-3,Snell et al. (2013),Published data,53.73953125,Ypresian,48,30,2.3,TRUE,47.56818037861958
Bighorn Basin,35-1190-2,Snell et al. (2013),Published data,53.42875,Ypresian,48,33.8,2,TRUE,47.421432204777375
Tornillo Basin,PS2-Bk,Kelson et al. Tornillo micrite,Published data,55.9,Ypresian,33,37,4,,33.22168322214857
Tornillo Basin,BB-TF1-14-004B,Kelson et al. Tornillo micrite,Published data,55.8,Ypresian,33,28,7,,32.99873245281633
Tornillo Basin,BB-TF1-14-004Bnod2,Kelson et al. Tornillo micrite,Published data,55.8,Ypresian,33,38,4,,33.39945552626159
Tornillo Basin,PS4-Bk,Kelson et al. Tornillo micrite,Published data,55.8,Ypresian,33,28,4,,32.76853103793692
Tornillo Basin,PS5-Bk,Kelson et al. Tornillo micrite,Published data,55.7,Ypresian,33,32,4,,32.45378942966927
Tornillo Basin,BB10-032,Kelson et al. Tornillo micrite,Published data,55.4,Ypresian,33,27,3,,32.52947875522077
Tornillo Basin,PS7-Bk1,Kelson et al. Tornillo micrite,Published data,55.4,Ypresian,33,32,3,,33.125180972693485
Tornillo Basin,PS7-Bk2,Kelson et al. Tornillo micrite,Published data,55.4,Ypresian,33,32,4,,32.761278003035116
Tornillo Basin,BB10-035,Kelson et al. Tornillo micrite,Published data,55,Ypresian,33,22,4,,32.78243889706209
Tornillo Basin,PS12-Bk,Kelson et al. Tornillo micrite,Published data,55,Ypresian,33,32,3,,32.96029485824984
Tornillo Basin,PS12-Bknod2,Kelson et al. Tornillo micrite,Published data,55,Ypresian,33,39,4,,33.48976994985715
Tornillo Basin,PS22-Bk,Kelson et al. Tornillo micrite,Published data,54.6,Ypresian,33,36,4,,32.62855845121667
Tornillo Basin,GH14-002,Kelson et al. Tornillo micrite,Published data,54.4,Ypresian,33,30,5,,32.65244747730903
Tornillo Basin,GH14-002nod2,Kelson et al. Tornillo micrite,Published data,54.4,Ypresian,33,36,5,,32.410093736974524
Tornillo Basin,BB-TF3-14-012,Kelson et al. Tornillo micrite,Published data,53.9,Ypresian,33,30,6,,32.5984959829133
Tornillo Basin,BB-TF3-14-027,Kelson et al. Tornillo micrite,Published data,52.7,Ypresian,33,27,5,,33.61603939465713
