section_id,MLA_horizon_id,strat_height_m,Koch_mean_d13Ccarb_vpdb,Koch_se_d13Ccarb_vpdb,Koch_n_d13Ccarb,Koch_mean_d18Ocarb_vpdb,Koch_se_d18Ocarb_vpdb,Koch_n_d18Ocarb_vpdb,Koch_mean_d18Ocarb_vsmow,Koch_se_d18Ocarb_vsmow,Koch_n_d18Ocarb_vsmow,Age_Ma,age_model_position,distance_to_nearest_prior_m,age_control_distance_index,age_model_id
CFB,PK95-SC-49,1380,NA,NA,0,NA,NA,0,NA,NA,0,56.20165921787709,interpolated,123,0.56910676945164,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-50,1425,NA,NA,0,NA,NA,0,NA,NA,0,56.09129608938547,interpolated,78,0.38828376143066684,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-54,1700,-8.305,0.07500000000000018,2,-9.085,0.14500000000000046,2,21.54,0.15000000000000036,2,55.41685474860335,extrapolated_above,197,0.2751396648044693,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-56,1385,NA,NA,0,NA,NA,0,NA,NA,0,56.18939664804469,interpolated,118,0.5505758247245717,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-62,1380,-7.92,0.08000000000000007,2,-8.195,0.15500000000000025,2,22.46,0.16000000000000014,2,56.20165921787709,interpolated,123,0.56910676945164,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-64,1970,-8.25,0.06000000000000049,2,-8.185,0.04499999999999993,2,22.475,0.04499999999999993,2,54.75467597765363,extrapolated_above,467,0.6522346368715084,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-67,1503.2,-8.56,NA,1,-7.58,NA,1,23.1,NA,1,55.8995094972067,extrapolated_above,0.20000000000004547,2.79329608938611e-4,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-67-1,1503.2,-9.29,0.0699999999999994,2,-8.184999999999999,0.08499999999999996,2,22.47,0.08999999999999986,2,55.8995094972067,extrapolated_above,0.20000000000004547,2.79329608938611e-4,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-67-2,1511.1,-9.87,0.1299999999999999,2,-8.705,0.14499999999999957,2,21.94,0.15000000000000036,2,55.88013463687151,extrapolated_above,8.099999999999909,0.011312849162011047,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-67-3,1520,-14.23,0.11633285577743416,4,-7.7,0.15005554527129847,4,22.975,0.15505375411987468,4,55.85830726256983,extrapolated_above,17,0.023743016759776536,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-67-5,1527,-14.06,0.02000000000000046,2,-7.455,0.05499999999999971,2,23.225,0.05499999999999971,2,55.841139664804466,extrapolated_above,24,0.0335195530726257,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-67-6,1534,-13.725,0.14499999999999957,2,-7.805,0.06499999999999995,2,22.865,0.0649999999999995,2,55.82397206703911,extrapolated_above,31,0.04329608938547486,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-67-8,1548.9,-12.095,0.07500000000000018,2,-8.24,0.08999999999999986,2,22.415,0.09500000000000064,2,55.787429608938545,extrapolated_above,45.90000000000009,0.06410614525139678,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-67-9,1559.6,-9.91,NA,1,-8.59,NA,1,22.05,NA,1,55.76118770949721,extrapolated_above,56.59999999999991,0.07905027932960881,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-68,1524,-14.13,NA,1,-9.02,NA,1,21.61,NA,1,55.84849720670391,extrapolated_above,21,0.029329608938547486,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-80,1495,-8.53,NA,1,-7.94,NA,1,22.72,NA,1,55.919620111731845,interpolated,8,0.044193377235417074,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-85,860,-7.55,NA,1,-8.34,NA,1,22.31,NA,1,57.476966480446926,interpolated,73,0.36624169033425924,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-92,1210,-7.82,NA,1,-7.87,NA,1,22.8,NA,1,56.61858659217877,interpolated,293,0.9670344246434256,BHB_section_linear_GTS2020_v1
CFB,PK95-SC-93,1250,-9.87,NA,1,-8.68,NA,1,21.96,NA,1,56.52048603351955,interpolated,253,0.9139774039511875,BHB_section_linear_GTS2020_v1
