Age_Ma,Harper2024_mean_CO2_ppm,Harper2024_CO2_lower95_ppm,Harper2024_CO2_upper95_ppm,Harper2024_mean_SST_C,Harper2024_SST_lower95_C,Harper2024_SST_upper95_C
58.071,1053.355865,901.7074218,1221.4856360000001,37.92865936,36.99656047,38.6152229
58.068,1009.947893,869.5174186,1164.200938,38.15662024,37.18406191,38.95446539
58.064,982.3641239,846.2275515,1131.505502,38.13574743,37.10888241,38.97135588
58.057,953.3134068,806.8005136,1113.507522,37.67737788,36.75359879,38.34874692
58.045,897.126543,769.453081,1036.383855,37.5487323,36.60159694,38.34640856
58.043,901.9590305,767.7532256,1046.109631,36.59762581,35.68269441,37.29047683
58.029,895.9278198,737.3724466,1070.480631,37.20260576,36.30315927,37.88100966
58.015,884.8711168,721.217887,1070.083994,36.46379129,35.59322138,37.15894109
58.001,883.3153651,727.4221449,1062.952243,37.11988657,36.24090385,37.74478374
57.99,882.5197765,740.824322,1038.89076,36.95496381,35.97658752,37.77441749
57.987,882.6472913,750.586265,1031.326188,36.9538092,36.03025338,37.66306754
57.976,881.0541171,723.9743118,1060.815265,36.71607475,35.73546258,37.51656655
57.973,881.7230823,718.6472981,1066.59932,36.47142495,35.54576883,37.16160108
57.962,875.5992351,695.9306724,1086.160413,36.97112519,35.98651682,37.77989312
57.959,878.5482739,691.8256637,1094.898575,36.39198521,35.48398491,37.08091971
57.945,869.1822684,672.761555,1099.832904,36.30971343,35.40852,37.00398705
57.931,863.8973347,656.4733243,1110.319208,36.15937959,35.27270714,36.84737418
57.917,858.6937208,646.9732501,1112.405851,36.10504993,35.22249453,36.78872687
57.903,854.0234801,637.3416945,1108.281879,35.83654047,34.94556537,36.54196333
57.876,844.5220312,635.6545044,1089.633389,36.14500963,35.23888288,36.84259563
57.862,838.0099802,638.1993795,1076.39287,35.13091502,34.25310502,35.82327086
57.851,829.0582315,640.9414952,1051.735093,35.40699924,34.21751739,36.50554257
57.848,827.2384773,640.1618565,1045.4349,35.53682664,34.65099171,36.22111253
57.834,815.4624895,648.8147563,1012.337713,36.19460511,35.28697544,36.88862366
57.82,805.905071,659.3489081,974.374069,35.55721264,34.664108830000004,36.2510074
57.806,797.2622133,684.5925623,922.1858389,35.65309234,34.75457391,36.35427065
57.792,799.8979571,655.6764723,961.2661435,34.89620587,34.00160438,35.59045652
57.778,808.6831641,641.853465,1002.515733,34.74663993,33.89217348,35.40413373
57.764,819.0129575,632.3930867,1034.884894,35.3184754,34.41599436,36.01806558
57.75,815.9370476,620.8236074,1045.101104,34.84530928,33.97986222,35.5434083
57.736,814.7935868,614.4328928,1054.769534,34.52483605,33.63935061,35.22125637
57.722,818.0448531,613.3119871,1070.992601,34.88438587,34.00835365,35.57398838
57.708,820.8687585,609.5431089,1069.778421,34.19743377,33.35774798,34.87667737
57.7,828.3434723,623.3977211,1083.324538,35.31000065,34.4144056,35.99621378
57.687,834.0360209,627.0857436,1086.912759,35.32515302,34.42426172,36.03511178
57.673,841.5676621,639.2683306,1082.368815,34.89682007,34.00846134,35.59251027
57.659,850.4395256,656.0074684,1082.568182,35.82389861,34.9260089,36.52498557
57.645,856.9855598,674.1870463,1070.300335,36.13153893,35.22761769,36.82747649
57.632,861.1862883,692.5348356,1052.989559,36.16054487,35.25994252,36.85751491
57.619,864.9232711,724.8008344,1023.88312,36.92139973,35.9895352,37.61916816
57.606,864.5818983,698.8922767,1050.320515,35.87137091,34.96120483,36.58569108
57.593,859.5350527,680.2063564,1072.750832,35.53138436,34.63010048,36.23135231
57.58,852.5021952,666.79457,1071.207752,36.41078239,35.48196007,37.126876
57.566,838.6831822,650.1788387,1062.638204,36.41784765,35.50928445,37.11559282
57.553,831.8594643,646.5626512,1050.609176,36.33801395,35.41188217,37.03885859
57.54,820.2037115,642.6420831,1030.903708,35.83718102,34.79344119,36.74949216
57.527,805.597554,640.9761272,997.4769622,35.73560335,34.83240847,36.42830074
57.514,794.4557489,645.8303941,966.9563905,35.21183425,34.33126676,35.90519803
57.5,781.1673391,658.7387236,916.4192669,34.99015893,34.10009006,35.68580927
57.487,804.3835334,654.4907002,975.8348913,35.96334364,35.04669604,36.665606
57.478,815.3599208,652.4107462,1009.854662,35.52280684,34.27762981,36.67179649
57.474,821.0996272,649.7436637,1019.977347,35.34533823,34.45257997,36.03314866
57.461,839.9927821,651.7277617,1060.364994,35.42589164,34.52219766,36.12508849
57.448,851.2558507,651.5459694,1090.563452,35.33249935,34.43173732,36.04185584
57.435,862.1848359,653.7105268,1110.025158,35.322445,34.41652486,36.02829021
57.421,862.2028844,655.342133,1111.852393,35.25198861,34.37765298,35.94451073
57.408,867.4106387,657.2609077,1117.890499,35.89475648,35.00545823,36.59850213
57.395,877.6863188,672.5046321,1123.632524,36.30012633,35.38497703,37.00375313
57.382,870.5472913,674.625271,1103.987196,35.55579098,34.67755882,36.25079614
57.371,871.2565773,684.7900502,1094.363515,35.95347799,34.83968984,36.94679592
57.369,870.5946823,688.9928162,1086.225172,35.94054585,35.07045645,36.62455377
57.354,878.1027639,713.812975,1067.996745,36.28967953,35.369128,37.00061142
57.338,879.8776743,754.899587,1021.527049,36.4036271,35.49126552,37.10895881
57.322,886.526777,726.9276504,1070.390924,35.49667036,34.57495214,36.20974603
57.306,883.2671221,703.7230298,1094.095119,35.828808,34.161499,37.47407243
57.29,877.5104644,687.8290654,1099.943064,35.02580108,34.12985543,35.7218844
57.275,878.10312510000006,686.6269364,1104.273797,36.09379201,35.17144883,36.80830438
57.259,860.4729293,681.9340189,1070.364089,35.84272599,34.93085428,36.54625763
57.243,844.3402433,683.7884051,1028.643277,36.76416578,35.83647428,37.47946632
57.226,827.144214,703.3198816,966.5897571,35.64637888,34.76392181,36.33298187
57.214,840.4911971,689.8164518,1022.216927,36.01007579,34.6946097,37.25598772
57.209,844.7257896,681.9362636,1031.564126,36.17093553,35.26581158,36.87445614
57.192,861.287789,676.9265144,1086.201353,36.46345419,35.54266291,37.17228448
57.175,871.8345258,672.5776839,1110.571876,35.63308068,34.71063577,36.34580613
57.158,875.2761846,671.5056224,1123.618288,35.1782049,34.30472182,35.88199896
57.141,881.344923,673.8865289,1132.524617,35.45044658,34.54730848,36.14214929
57.125,887.0214271,685.2142363,1133.152741,35.8875955,34.96063482,36.60375113
57.108,877.4027957,686.5079148,1104.300442,36.2344322,35.33913335,36.93586975
57.091,870.6133521,703.2402842,1063.85047,35.88783589,34.97121502,36.59192531
57.074,858.1959333,728.2581515,1001.858492,36.19051768,35.31005046,36.84796187
57.057,863.3821992,697.8100225,1059.291999,35.21744082,34.32748807,35.91430439
56.953,838.0020427,587.3183355,1153.324772,35.43023796,34.52772907,36.14266241
56.941,833.8320078,581.3951028,1148.810156,34.80753121,33.2615023,36.32560863
56.929,834.8406946,581.935148,1157.273064,34.61839676,33.73311562,35.32401932
56.917,828.6117108,574.1327743,1150.917396,35.0177403,33.46574085,36.52725427
56.905,819.9969024,564.5276857,1134.473349,34.77803753,33.89229268,35.47266613
56.893,814.259465,563.8169914,1126.932214,35.10872438,34.21512949,35.80607257
56.88,801.3244671,553.4699513,1112.574962,35.01418596,33.42788259,36.50582365
56.868,792.9340628,546.4743119,1099.942923,35.28945265,34.39472617,35.9831124
56.856,784.0425704,538.7121084,1086.731707,34.861402,33.98062546,35.56433842
56.821,760.4916457,529.721909,1048.681021,35.20047941,33.08818109,37.27929165
56.786,733.4162527,521.7046836,994.8193742,34.61588886,33.73060672,35.32022515
56.752,707.8695977,519.671682,932.3825694,35.26708802,33.22455456,37.32456836
56.718,679.8726085,526.884794,859.1082962,35.26878751,34.37803737,35.98030502
56.686,655.6738244,560.0610676,765.1980812,34.55744395,33.70258114,35.21217646
56.621,729.9093092,533.1581688,967.6185442,34.30561941,33.4142617,35.0057988
56.601,756.4004677,539.4320619,1026.181771,34.82428785,33.1795676,36.42085005
56.588,768.7673312,541.1069765,1052.69039,34.51193255,33.63584136,35.20441725
56.555,810.8179007,553.9956433,1134.437764,34.74707595,33.87147931,35.44543617
56.36,1043.39085,684.676953,1532.931227,36.93524901,34.43185384,39.45277712
56.262,1160.61,792.9383547,1642.264904,34.71207025,33.63964786,35.67729741
56.197,1247.57199,908.7414587,1668.730775,34.17418866,33.11721978,35.1396147
56.138,1339.103851,1083.580466,1646.707504,35.38118884,34.46745744,36.09064422
56.12,1356.223748,1163.324613,1578.126497,35.48983846,34.63246356,36.12546983
56.119,1352.161052,1154.131719,1579.406686,35.47414922,34.4810677,36.29563902
56.109,1332.184644,1103.504324,1599.831536,35.96979249,35.06105298,36.66917981
56.099,1312.992021,1058.197753,1614.677177,35.02512606,34.17028722,35.68508978
56.098,1312.04541,1056.966182,1609.397243,34.60800392,33.73698232,35.274659
