MLA_horizon_id,IPL17O_mean_dp17Ocarb,IPL17O_sd_dp17Ocarb,IPL17O_se_dp17Ocarb,IPL17O_n_dp17Ocarb,IPL17O_mean_dp18Ocarb,IPL17O_sd_dp18Ocarb,IPL17O_se_dp18Ocarb,IPL17O_n_dp18Ocarb,IPL17O_mean_Dp17Ocarb,IPL17O_sd_Dp17Ocarb,IPL17O_se_Dp17Ocarb,IPL17O_n_Dp17Ocarb,IPL17O_n_analyses,strat_height_m,IPL17O_sd_Dp17Ocarb_adj,IPL17O_se_Dp17Ocarb_adj,IPL17O_ci95_Dp17Ocarb_adj,IPL17O_mean_d17Ocarb,IPL17O_mean_d18Ocarb,IPLD47_n_T47,IPLD47_mean_T47_C,IPLD47_sd_T47_C,IPLD47_se_T47_C,IPLD47_min_T47_C,IPLD47_max_T47_C,IPLD47_range_T47_C,IPLD47_sessions,IPLD47_sample_type,CU_sample_id,CU_mean_d13Ccarb_vpdb,CU_mean_d18Ocarb_vpdb,CU_se_d18Ocarb_vpdb,CU_mean_d18Ocarb_vsmow,CU_mean_D47_ICDES,CU_se_D47_ICDES,CU_mean_T47_C,CU_2se_T47_C,CU_mean_d18Ow_vsmow,CU_se_d18Ow_vsmow,Snell_sample_id,Snell_Age_Ma,Snell_sample_type,Snell_mean_d18Ow_vsmow,Snell_mean_d18Ocarb_vsmow,Snell_mean_d13Ccarb_vpdb,Snell_mean_D47,Snell_se_D47,Snell_mean_T47_C,Snell_se_T47_C,Snell_sample_group,Koch_mean_d13Ccarb_vpdb,Koch_se_d13Ccarb_vpdb,Koch_n_d13Ccarb,Koch_mean_d18Ocarb_vpdb,Koch_se_d18Ocarb_vpdb,Koch_n_d18Ocarb_vpdb,Koch_mean_d18Ocarb_vsmow,Koch_se_d18Ocarb_vsmow,Koch_n_d18Ocarb_vsmow,Bowen_mean_d13Ccarb_vpdb,Bowen_se_d13Ccarb_vpdb,Bowen_n_d13Ccarb,Bowen_mean_d18Ocarb_vpdb,Bowen_se_d18Ocarb_vpdb,Bowen_n_d18Ocarb_vpdb,Bowen_mean_d18Ocarb_vsmow,Bowen_se_d18Ocarb_vsmow,Bowen_n_d18Ocarb_vsmow,Age_Ma,T_model_C,T_model_se_C,T_model_lower95_C,T_model_upper95_C,T_measured_C,T_measured_se_C,n_T_obs,T_sources,T_model_anchor_C,has_measured_T47
PK95-SC-56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.21875,37.406099960282475,2.175452273113017,33.14221350498096,41.66998641558399,NA,NA,0,NA,NA,FALSE
PK95-SC-50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1425,NA,NA,NA,NA,NA,3,36.13333333333333,2.829016319029166,1.6333333333333333,33,38.5,5.5,"Session 1, Session 2",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.128571428571426,35.476749768724474,2.0086262291584793,31.539842359573854,39.413657177875095,36.13333333333333,1.6333333333333333,1,IPL,35.47402921953095,TRUE
PK95-SC-22,11.89921638,NA,NA,1,22.75672166,NA,NA,1,-116.3326585,NA,NA,1,1,1460,12,12,23.52,11.970293696911716,23.017631240326295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.685,0.125,2,-7.6,0.1599999999999997,2,23.075,0.16499999999999912,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.039633333333335,37.116846255986076,1.682327993172425,33.81948338936812,40.41420912260403,NA,NA,0,NA,NA,FALSE
PB-00-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1480.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.1,0.15275252316519453,3,-9.666666666666666,0.06666666666666703,3,20.95444,0.06872799999999894,3,55.986666666666665,33.924366882501936,4.466370810552152,25.17028009381972,42.67845367118415,NA,NA,0,NA,NA,FALSE
PB-00-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1481.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.225,0.3010398644698074,4,-10.25,0.3968626966596887,4,20.35307,0.409133691240406,4,55.98520833333333,33.76636450918206,4.466370810552152,25.012277720499846,42.52045129786428,NA,NA,0,NA,NA,FALSE
PB-00-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.25,0.2723355773061364,4,-9.225,0.3275540667838924,4,21.409763,0.3376820385288503,4,55.98316666666667,33.537425959188056,4.466370810552152,24.78333917050584,42.29151274787027,NA,NA,0,NA,NA,FALSE
PB-00-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1482.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.26,0.35860842154082195,5,-9.28,0.3760319135392634,5,21.3530624,0.38765882030589743,5,55.98132258064516,33.299329374604234,4.466370810552152,24.54524258592202,42.05341616328645,NA,NA,0,NA,NA,FALSE
PB-00-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1483.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.4,0.05773502691896237,4,-9.05,0.09574271077563348,4,21.590174,0.0987030753928166,4,55.97974193548387,33.051927089304016,4.466370810552152,24.2978403006218,41.80601387798623,NA,NA,0,NA,NA,FALSE
PB-00-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.925,0.24281337140555756,4,-9.8,0.04082482904638652,4,20.816984,0.04208713276050064,4,55.97387096774194,32.04906941884208,4.466370810552152,23.294982630159865,40.803156207524296,NA,NA,0,NA,NA,FALSE
PB-00-03-08,8.653469209,1.2221351724981036,0.8641800679999999,2,16.596611165,2.322040544208595,1.6419306149999986,2,-109.54148445,3.9022348864620096,2.7592967500000043,2,2,1494.4,12,8.48528137423857,16.631151493507595,8.691018706665554,16.735100003757218,2,24.6,0.989949493661168,0.700000000000001,23.9,25.3,1.400000000000002,Session 2,primary,PB-00-03-08,-9.112717832,-7.684135508,0.070237933,22.99827102209264,0.619039024,0.009275489,16.8,4.6,-7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.8,0.05773502691896288,4,-9.1,0.12247448713915884,4,21.538628,0.12626139828150193,4,55.9529,27.827583523979847,4.466370810552152,19.07349673529763,36.58167031266206,23.938754325259513,0.6696717163002017,2,"CU, IPL",31.368473663975394,TRUE
