T47_C,n_paths,mean_d18Ocarb_vsmow,median_d18Ocarb_vsmow,lower95_d18Ocarb_vsmow,upper95_d18Ocarb_vsmow,lower80_d18Ocarb_vsmow,upper80_d18Ocarb_vsmow,lower50_d18Ocarb_vsmow,upper50_d18Ocarb_vsmow
35,406,22.388376587437044,22.407805239179197,18.96681448263878,25.91494549046024,19.78657562343409,24.96032777474602,20.789051938824713,23.831707429209814
36,425,22.276206867554016,22.34578153356972,18.823054948452274,25.91524957962624,19.68878746928376,24.844052853601898,20.685277457249185,23.69545689747042
37,437,22.168915491301856,22.2083489030465,18.673441421517463,25.898819449603586,19.502752886123243,24.774755632793177,20.57156019854085,23.593459815666506
38,461,22.04239144534976,22.059537101003457,18.503352801082883,25.928958353694725,19.229611379731978,24.699257302895376,20.45510150275834,23.516692033759227
39,474,21.957914178043925,21.962964719246884,18.436086154661517,25.946271896080795,19.26174138713178,24.625543493584406,20.377865226522204,23.43992177767646
40,500,21.82477950554374,21.86321804652482,18.039227822842772,26.007954591345943,19.10033327678959,24.532782423531398,20.259063765318956,23.31647062258017
41,500,21.7664186900734,21.766977553704578,17.999843790408875,26.053333759225637,18.965884536386298,24.529564263034924,20.217130147329357,23.2156799653649
42,500,21.709233302396367,21.697494115086215,17.94995392779131,26.058516420357712,18.855608605739224,24.530346065667462,20.17144143470665,23.141806320117013
43,500,21.653211873745526,21.611132769260735,17.852124169113274,26.10422389577397,18.869957055117574,24.5387516886733,20.114779862139585,23.160993647709205
44,500,21.598343084036053,21.527707282690017,17.778375928248266,26.17895991473172,18.799981499287938,24.498760455556884,20.03292502834441,23.115816368105243
45,500,21.544615759463884,21.442760366131665,17.640376309450644,26.23450266837566,18.71036723595486,24.453242139867143,19.937664206711077,23.02139683145603
46,500,21.492018870151863,21.37262932525823,17.529198780484457,26.26569423970386,18.605508082376673,24.475301096682642,19.852459880219442,22.939301816351076
47,500,21.440541527839,21.326091685949393,17.407751221440503,26.432208025409782,18.499913216936136,24.4689206193083,19.77412306842291,22.854265455873133
48,500,21.390172983616875,21.24548902788331,17.2809115466317,26.60418405470623,18.389232328819695,24.450774350810253,19.693893122657272,22.812190581555313
49,500,21.340902625707187,21.148695878416845,17.154672927014765,26.640965707023994,18.2844910764692,24.50220164670343,19.65424932065278,22.810611143360802
50,500,21.29271997728235,21.074185564168033,17.03058322011436,26.6510073854175,18.182026145148754,24.502765417232013,19.587683996348602,22.859181823371728
51,500,21.245614694328,21.022627729305498,16.90662104419672,26.662111891933574,18.04863877625677,24.52214979441933,19.498558803915415,22.814895186926606
52,500,21.199576563544813,20.935091997631048,16.77120364677444,26.782313742086107,17.938062625142926,24.564432431812133,19.41071533862504,22.7968333315454
53,500,21.15459550029166,20.895853954375184,16.613044208931193,26.878985881618412,17.848990942521212,24.574051896047447,19.307973914064547,22.821417615243604
54,500,21.110661546565943,20.805913724041147,16.450354249395108,27.046657112471273,17.693946387422933,24.670748527967362,19.20897148829988,22.8287471448794
55,500,21.06776486902225,20.75920387207077,16.2919244347389,27.242699366270408,17.595697177921547,24.708092655814426,19.145994031653345,22.80053318805659
56,500,21.025895757028856,20.685418916091294,16.153061959495105,27.355787681688184,17.46769358413301,24.760442786358254,19.07889730371346,22.81182964876345
57,500,20.985044620759155,20.624368875993355,16.01501606536354,27.467677750318714,17.397827686607172,24.79518754147014,18.99487122273959,22.83589141145319
58,500,20.9452019893201,20.55056847578652,15.878005982351489,27.58053211810161,17.32084442152559,24.837021030890195,18.88767654296001,22.846711367611505
59,500,20.90635850891376,20.537821273981137,15.749887204356664,27.72554349079683,17.22891028891586,24.885628103994623,18.774011878892054,22.83979255149856
60,500,20.868504941034324,20.487558043609226,15.625619809050605,27.884686692958617,17.14938764863973,24.95302580039015,18.692051846919156,22.852933790261034
61,492,20.773615733446132,20.398173627976746,15.469914020232848,27.54850381364491,17.024153297787358,24.778283990119213,18.622450819842413,22.810694688117252
62,481,20.657269860894377,20.312043381238254,15.310856767608357,27.265203841936682,16.924337897967234,24.778246298317754,18.497848865555284,22.665167667964738
63,475,20.602645310857778,20.24685475238755,15.169430041933298,27.370901078549103,16.82432099639825,24.771236169822217,18.400489308107012,22.64959554452207
