section_id,MLA_horizon_id,strat_height_m,p_altered_preservation,p_altered_preservation_lower_sensitivity,p_altered_preservation_upper_sensitivity,alteration_evidence_class,probability_model_version,source,T_C,T_se_C,d18Ocarb_vsmow,passes_d18Ocarb_screen,passes_temperature_screen,passes_talk_temperature_model_screen,talk_screen_exclusion_reason,T_se_imputed,weight,used_in_primary_temperature_model
CFB,PB-00-04-14,1574.7,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,U-M,24.6,0.9000000000000002,22.5044691,TRUE,TRUE,TRUE,NA,FALSE,1.2345679012345674,TRUE
CFB,PB-00-04-14,1574.7,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,CU,22.4,1.6,22.45990935697136,TRUE,TRUE,TRUE,NA,FALSE,0.39062499999999994,TRUE
CFB,PB-00-04-16,1594.2,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,U-M,20.166666666666668,2.0739120307069703,22.33753012,TRUE,TRUE,TRUE,NA,FALSE,0.2324980625161458,TRUE
CFB,PB-00-04-16,1594.2,0.167998947091816,0.167998947091816,0.167998947091816,low,BHB_d18O_trajectory_index_v2,CU,17.5,1.7,21.95890589658536,TRUE,TRUE,TRUE,NA,FALSE,0.34602076124567477,TRUE
CFB,PK95-SC-43,1600,0.09623986579288946,0.09623986579288946,0.09623986579288946,low,BHB_d18O_trajectory_index_v2,U-M,25.7,1.8583146486355135,22.138661776666662,TRUE,TRUE,TRUE,NA,FALSE,0.28957528957528966,TRUE
CFB,SNELL-SC-15,1630,0.23143465304363348,0.23143465304363348,0.23143465304363348,limited,BHB_d18O_trajectory_index_v2,Caltech,36.9,3.2,21.8,TRUE,TRUE,TRUE,NA,FALSE,0.09765624999999999,TRUE
CFB,PK95-SC-160,1720,0.1801933922161187,0.1801933922161187,0.1801933922161187,low,BHB_d18O_trajectory_index_v2,U-M,41.7,1.873499399519519,21.928358916666667,TRUE,TRUE,TRUE,NA,FALSE,0.284900284900285,TRUE
CFB,PK95-SC-133,1750,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,U-M,21.425,1.2058019461475975,22.31118248,TRUE,TRUE,TRUE,NA,FALSE,0.6877776185699955,TRUE
CFB,PK95-SC-31,1760,0.05542504856242582,0.05542504856242582,0.05542504856242582,low,BHB_d18O_trajectory_index_v2,U-M,30.74,2.1444346574330497,22.240902542,TRUE,TRUE,TRUE,NA,FALSE,0.21745748706127946,TRUE
CFB,SNELL-SC-33,1840,0.23143465304363348,0.23143465304363348,0.23143465304363348,limited,BHB_d18O_trajectory_index_v2,Caltech,26.8,5.2,21.8,TRUE,TRUE,TRUE,NA,FALSE,0.036982248520710054,TRUE
CFB,PK95-SC-63,1910,0.33714232219081947,0.33714232219081947,0.33714232219081947,limited,BHB_d18O_trajectory_index_v2,U-M,31.85,1.7731798179165768,21.5352032,TRUE,TRUE,TRUE,NA,FALSE,0.3180492976411346,TRUE
CFB,PK95-SC-3,1935,0.0704116837667069,0.0704116837667069,0.0704116837667069,low,BHB_d18O_trajectory_index_v2,U-M,38.7,2.1444346574330497,22.20336115,TRUE,TRUE,TRUE,NA,TRUE,0.21745748706127946,TRUE
CFB,SNELL-SC-64,1970,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,Caltech,36.2,1.5,22.5,TRUE,TRUE,TRUE,NA,FALSE,0.4444444444444444,TRUE
CFB,PK95-SC-111,2005,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,U-M,38.5,2.1444346574330497,22.76542603,TRUE,TRUE,TRUE,NA,TRUE,0.21745748706127946,TRUE
CFB,PK95-SC-148lwr,2047,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,U-M,17.1,3.695041722813605,22.90728483,TRUE,TRUE,TRUE,NA,FALSE,0.07324218749999999,TRUE
CFB,PK95-SC-303,2110,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,U-M,27.5,2.1444346574330497,22.37121146,TRUE,TRUE,TRUE,NA,TRUE,0.21745748706127946,TRUE
CFB,SNELL-SC-295,2210,0.05,0.05,0.05,low,BHB_d18O_trajectory_index_v2,Caltech,35.6,1.8,22.3,TRUE,TRUE,TRUE,NA,FALSE,0.30864197530864196,TRUE
