section_id,MLA_horizon_id,strat_height_m,Bowen_mean_d13Ccarb_vpdb,Bowen_se_d13Ccarb_vpdb,Bowen_n_d13Ccarb,Bowen_mean_d18Ocarb_vpdb,Bowen_se_d18Ocarb_vpdb,Bowen_n_d18Ocarb_vpdb,Bowen_mean_d18Ocarb_vsmow,Bowen_se_d18Ocarb_vsmow,Bowen_n_d18Ocarb_vsmow
CFB,PB-00-02-21,1549,-9.674999999999999,0.02499999999999991,4,-9.625,0.25617376914898987,4,20.997395,0.26409466209107635,4
CFB,PB-00-02-22,1554.2,-9.1,0.19148542155126733,4,-9.025,0.09464847243000465,4,21.615947,0.09757500319754048,4
CFB,PB-00-02-23,1559.4,-8.825,0.3326033673912519,4,-8.875,0.13768926368215254,4,21.770585,0.14194661571520498,4
CFB,PB-00-03-02,1480.8,-9.1,0.15275252316519453,3,-9.666666666666666,0.06666666666666703,3,20.954439999999998,0.06872799999999894,3
CFB,PB-00-03-03,1481.3,-12.225,0.3010398644698074,4,-10.25,0.3968626966596887,4,20.35307,0.409133691240406,4
CFB,PB-00-03-04,1482,-9.25,0.2723355773061364,4,-9.225,0.3275540667838924,4,21.409762999999998,0.3376820385288503,4
CFB,PB-00-03-05,1482.7,-8.26,0.35860842154082195,5,-9.28,0.3760319135392634,5,21.3530624,0.38765882030589743,5
CFB,PB-00-03-06,1483.4,-9.4,0.05773502691896237,4,-9.05,0.09574271077563347,4,21.590173999999998,0.09870307539281659,4
CFB,PB-00-03-07,1486,-10.925,0.24281337140555756,4,-9.8,0.04082482904638652,4,20.816984,0.04208713276050064,4
CFB,PB-00-03-08,1494.4,-9.8,0.05773502691896288,4,-9.1,0.12247448713915883,4,21.538628,0.12626139828150193,4
CFB,PB-00-03-10,1495.4,-9.425,0.14361406616345093,4,-8.425,0.25617376914898987,4,22.234499,0.2640946620910772,4
CFB,PB-00-03-11,1498.5,-9.875,0.11086778913041723,4,-9.649999999999999,0.028867513459481187,4,20.971622,0.029760096975647476,4
CFB,PB-00-03-12,1499.7,-10.6,0.37638632635454045,4,-8.025,0.1701714821388514,4,22.646867,0.175433184366584,4
CFB,PB-00-03-13,1500.3,-10.2,0.10801234497346436,4,-8.65,0.14999999999999997,4,22.002542,0.15463800000000028,4
CFB,PB-00-03-14,1504.9,-12.875,0.06291528696058978,4,-8.525,0.17969882210706523,4,22.131407,0.185255109686616,4
CFB,PB-00-03-15,1506.8,-14.375,0.07500000000000008,4,-7.875,0.118145390656315,4,22.801505,0.12179844613540781,4
CFB,PB-00-03-16,1507.4,-14.275,0.10307764064044166,4,-8.225,0.12499999999999997,4,22.440683,0.12886500000000023,4
CFB,PB-00-03-17,1507.8,-15.5,0.04082482904638616,4,-9.2,0.07071067811865492,4,21.43305925,0.07409680557596589,4
CFB,PB-00-03-18,1508.5,-13.875,0.19311050377094127,4,-7.625,0.10307764064044155,4,23.059235,0.10626480128904336,4
CFB,PB-00-03-19,1510.1,-14.5,0.17320508075688779,4,-8.85,0.23273733406281566,4,21.796357999999998,0.23993357243203836,4
CFB,PB-00-03-20,1512.3,-14.875,0.02499999999999991,4,-9,0.3027650354097493,4,21.64172,0.3121265303046183,4
CFB,PB-00-03-21,1513.9,-15.174999999999999,0.02499999999999991,4,-8.525,0.11086778913041723,4,22.131407,0.11429582117032996,4
CFB,PB-00-03-22,1516.1,-13.4,0.21213203435596428,4,-8.7,0.163299316185545,4,21.950996,0.16834853104200256,4
CFB,PB-00-03-23,1517.7,-13.95,0.23273733406281588,4,-8.725,0.0478713553878172,4,21.925223,0.04935153769640829,4
CFB,PB-00-03-24,1519.3,-14.275,0.22500000000000003,4,-8.625,0.32499999999999984,4,22.028315,0.33504899999999976,4
CFB,PB-00-04-01,1541,-11.1,0.3135814620371132,4,-8.95,0.33040379335998354,4,21.693266,0.34061987865067395,4
CFB,PB-00-04-03,1548.4,-9.875,0.02499999999999991,4,-8.475,0.047871355387816734,4,22.182953,0.04935153769640829,4
CFB,PB-00-04-04,1549.5,-9.825,0.07500000000000018,4,-9.025,0.21360009363293833,4,21.615947,0.2202046085280691,4
CFB,PB-00-04-05,1553.7,-9.275,0.14361406616345068,4,-8.65,0.09574271077563386,4,22.002542,0.09870307539281659,4
CFB,PB-00-04-06,1554.3,-9.2,0.10000000000000052,2,-8.350000000000001,0.04999999999999982,2,22.311818000000002,0.05154600000000009,2
CFB,PB-00-04-08,1558.6,-8.8,0.30276503540974925,4,-9.35,0.32274861218395134,4,21.280898,0.33272799927267904,4
CFB,PB-00-04-09,1559.5,-8.025,0.4210601698886593,4,-9.05,0.06454972243679005,4,21.590173999999998,0.06654559985453595,4
CFB,PB-00-04-10,1562.4,-9.325,0.2528998484248919,4,-8.25,0.16583123951776982,4,22.41491,0.17095874144365975,4
CFB,PB-00-04-11,1568.2,-9.025,0.08539125638299636,4,-8.325,0.249582985531199,4,22.337591,0.2573000914438241,4
CFB,PB-00-04-12,1568.6,-8.325,0.51700257897487,4,-9.025,0.1887458608817691,4,21.615947,0.19458188290023337,4
CFB,PB-00-04-13,1572.8,-8.825,0.1493039405597409,4,-9.075,0.16520189667999197,4,21.564401,0.1703099393253374,4
CFB,PB-00-04-14,1574.7,-8.775,0.1887458608817685,4,-8.775,0.15478479684172247,4,21.873677,0.15957074276006894,4
CFB,PB-00-04-15,1584.7,-8.675,0.06291528696058965,4,-8.375,0.02499999999999991,4,22.286045,0.025773000000000046,4
CFB,PB-00-04-16,1594.2,-8.85,0.28722813232690175,4,-8.4,0.0707106781186545,4,22.260272,0.07289705228608369,4
