temperature_model,locality_id,n_measurements,mean_temp_c,sd_temp_c,min_temp_c,max_temp_c,depth_locality_m,depth_source,se_temp_c,two_se_temp_c,ci95_half_width_c
TD47iCDES+,SC-165-PK95,5,28.50649869019888,3.6785410544929746,23.5971254291546,33.3255824800096,820,SandCoulee_Polecat_nodules.csv,1.6450935711740098,3.2901871423480196,4.567511993278437
T(D47)CDES,SC-185-PK95,3,30.140226757141164,2.6531127760417625,27.2725035377029,32.5074318486059,940,SandCoulee_Polecat_nodules.csv,1.531775375438147,3.063550750876294,6.59069750049195
T(D47)iCDES,SC-185-PK95,3,31.3964925154201,2.6843058916483815,28.8820015942247,34.2232919493993,940,SandCoulee_Polecat_nodules.csv,1.5497847291304916,3.099569458260983,6.66818549531734
TD47iCDES+,SC-185-PK95,3,30.7973915224389,2.3614430001850386,28.1583719240302,32.7111190532316,940,SandCoulee_Polecat_nodules.csv,1.3633797518327897,2.7267595036655794,5.866149610908496
T(D47)CDES,SC-179-PK95,5,30.070027531903442,6.070676449846963,26.2253010547711,40.6016471477483,1080,SandCoulee_Polecat_nodules.csv,2.71488904225298,5.42977808450596,7.537740392518412
T(D47)iCDES,SC-179-PK95,5,29.62102897253162,7.907598959997178,23.4493960265175,42.9903488820867,1080,SandCoulee_Polecat_nodules.csv,3.5363857626720656,7.072771525344131,9.818580940862022
TD47iCDES+,SC-179-PK95,5,29.79722816728386,6.968720652800909,24.6186105244814,41.9139121677839,1080,SandCoulee_Polecat_nodules.csv,3.1165066191739084,6.233013238347817,8.65280954812192
T(D47)CDES,SC-92-PK95,3,27.050932655944532,3.284121666187849,24.09983045462,30.5889342326977,1210,SandCoulee_Polecat_nodules.csv,1.896088528025037,3.792177056050074,8.158210480953565
T(D47)iCDES,SC-92-PK95,3,28.7132235568382,6.7731379846558,21.3249842018294,34.6290177343564,1210,SandCoulee_Polecat_nodules.csv,3.9104730386995055,7.820946077399011,16.8254074945721
TD47iCDES+,SC-92-PK95,3,28.007161568036533,5.253544344877939,22.4680242685486,32.9187378430389,1210,SandCoulee_Polecat_nodules.csv,3.0331352417149144,6.066270483429829,13.050527627463971
T(D47)CDES,SC-118 upper-PK95,4,35.843643780342525,3.297285959828057,32.0555265103653,39.7482589979591,1325,SandCoulee_Polecat_nodules.csv,1.6486429799140285,3.297285959828057,5.2467177601593225
T(D47)iCDES,SC-118 upper-PK95,4,35.7863606941158,4.781352439945931,28.8951588459423,39.0203073731686,1325,SandCoulee_Polecat_nodules.csv,2.3906762199729656,4.781352439945931,7.608198703382585
TD47iCDES+,SC-118 upper-PK95,4,35.794397504148876,3.7368242535342726,30.2226059117041,38.1114602047924,1325,SandCoulee_Polecat_nodules.csv,1.8684121267671363,3.7368242535342726,5.946121269577348
T(D47)CDES,SC-176-PK95,2,42.842254578329005,7.418789583702695,37.5963781554967,48.0881310011613,1355,SandCoulee_Polecat_nodules.csv,5.2458764228323,10.4917528456646,66.65517984917892
T(D47)iCDES,SC-176-PK95,2,44.2857170283208,2.9442181721049883,42.2038403935327,46.3675936631089,1355,SandCoulee_Polecat_nodules.csv,2.081876634788099,4.163753269576198,26.45275075707597
TD47iCDES+,SC-176-PK95,2,43.594071045612196,4.792584385303688,40.2052021273552,46.9829399638692,1355,SandCoulee_Polecat_nodules.csv,3.3888689182569993,6.777737836513999,43.05966229943229
T(D47)CDES,SC-50-PK95,3,35.37190500145844,3.2704978879630446,32.1019117987711,38.6429073411645,1425,SandCoulee_Polecat_nodules.csv,1.8882228359995665,3.776445671999133,8.124367139688806
T(D47)iCDES,SC-50-PK95,3,36.30789512514156,6.382897750537214,28.9787248959337,40.646150416674,1425,SandCoulee_Polecat_nodules.csv,3.6851677344825178,7.3703354689650356,15.855997012355845
TD47iCDES+,SC-50-PK95,3,35.8806716763043,4.95277683597765,30.2943570434332,39.7344019529479,1425,SandCoulee_Polecat_nodules.csv,2.8594870394878393,5.718974078975679,12.30337971613556
T(D47)CDES,SC-23-PK95,3,33.082444052506766,4.724293817145532,29.2863415848476,38.3733048318301,1495,SandCoulee_Polecat_nodules.csv,2.727572307059858,5.455144614119716,11.735796432560134
T(D47)CDES,SC-80-PK95,4,22.474075596386974,6.670112621011793,14.7341973817821,29.7148896990751,1495,Koch_SC_nodules_isotopes.csv (SC-80 override),3.3350563105058963,6.670112621011793,10.613637633282604
T(D47)iCDES,SC-23-PK95,3,36.20545805049943,3.9733825455713045,32.6752151251697,40.5084541199111,1495,SandCoulee_Polecat_nodules.csv,2.2940334822789534,4.588066964557907,9.870429424664202
T(D47)iCDES,SC-80-PK95,4,23.96454476809295,4.484711276505391,17.937986536891,27.8877245965351,1495,Koch_SC_nodules_isotopes.csv (SC-80 override),2.2423556382526955,4.484711276505391,7.136176416089381
TD47iCDES+,SC-23-PK95,3,34.86711121528413,4.247197114590313,31.2494992297793,39.5435549068983,1495,SandCoulee_Polecat_nodules.csv,2.4521203974101193,4.904240794820239,10.550622521590986
TD47iCDES+,SC-80-PK95,4,23.378001702279025,5.243370475469506,16.7002839818972,28.0351355062525,1495,Koch_SC_nodules_isotopes.csv (SC-80 override),2.621685237734753,5.243370475469506,8.343372498445804
T(D47)CDES,SC-27-PK95,6,42.485848902594135,7.263243679014278,36.1116943124784,55.0664387798655,1525,SandCoulee_Polecat_nodules.csv,2.9652068151800384,5.930413630360077,7.622306778006812
T(D47)iCDES,SC-27-PK95,6,42.75035337156793,10.654727514549963,32.7453561954112,61.1896984493575,1525,SandCoulee_Polecat_nodules.csv,4.349774293173307,8.699548586346614,11.18145078714909
TD47iCDES+,SC-27-PK95,6,42.56384962415548,9.062383059756415,34.1192506223251,58.3965826879824,1525,SandCoulee_Polecat_nodules.csv,3.699702391674229,7.399404783348458,9.510387765298
T(D47)CDES,SC-4-PK95,2,35.1236905857387,1.504041893762613,34.0601723634705,36.1872088080069,1570,SandCoulee_Polecat_nodules.csv,1.0635182222682005,2.127036444536401,13.513280272792299
T(D47)iCDES,SC-4-PK95,2,31.655005039265248,1.403163854476445,30.6628183626491,32.6471917158814,1570,SandCoulee_Polecat_nodules.csv,0.9921866766161482,1.9843733532322965,12.606927049589531
TD47iCDES+,SC-4-PK95,2,33.055444568013996,1.4499121974924514,32.030201821042,34.080687314986,1570,SandCoulee_Polecat_nodules.csv,1.0252427469720011,2.0504854939440023,13.026944247304392
T(D47)CDES,SC-43-PK95,3,25.7036359322723,3.249579118831925,22.0632418437448,28.3114957277875,1600,SandCoulee_Polecat_nodules.csv,1.8761453790105989,3.7522907580211977,8.072402036406793
T(D47)iCDES,SC-43-PK95,3,22.649800230257334,3.1022492168547706,19.1783365933045,25.1508132823085,1600,SandCoulee_Polecat_nodules.csv,1.7910844204444076,3.5821688408888153,7.706414270836864
TD47iCDES+,SC-43-PK95,3,23.8323127476188,3.177830171680634,20.2749996825431,26.3905508460143,1600,SandCoulee_Polecat_nodules.csv,1.8347211050587287,3.6694422101174573,7.894167771009888
T(D47)CDES,SC-133-PK95,2,21.864500840904,0.7194132636298336,21.3557988437158,22.3732028380922,1750,SandCoulee_Polecat_nodules.csv,0.5087019971882007,1.0174039943764015,6.463671725974241
T(D47)iCDES,SC-133-PK95,2,19.167071930597402,0.7018619649595312,18.6707805757176,19.6633632854772,1750,SandCoulee_Polecat_nodules.csv,0.49629135487979953,0.9925827097595991,6.305979563896264
TD47iCDES+,SC-133-PK95,2,20.20703208665915,0.7135175250186797,19.702499006223,20.7115651670953,1750,SandCoulee_Polecat_nodules.csv,0.5045330804361504,1.0090661608723008,6.410700616194622
