Counter,Sample_Name,Sample,Date,DateTime,IPLnum,d13C.PDB,d13C.err,d18O.rawPDB,d18O.err,d18O.rawSMOW,d45,d45.err,d46,d46.err,d47,d47.err,d48,d48.err,d49,d49.err,D472,D47.err3,D484,D48.err5,D496,D49.err7,Comments,D47@d47=0,D47 CDES,D47 CDES carb corr,T(D47) Petersen,T47_preferred
4492,PB-00-03-16,IPL-CI-4868 PB-00-03-16,20260422.17,46134.71546,4868,-14.27272411,0.000612679,0.274963865,0.00341556,31.193463,-3.495847653,0.000556313,-0.871159569,0.003412701,-4.794587942,0.009232876,-1.82452903,0.022106748,-27.5799766,1.644221546,-0.336782967,0.007842382,-0.077624724,0.023090425,-22.28000291,1.653256137,,-0.331234202,0.580424021,0.587792911,29.62419173,29.62419173
4493,PB-00-04-16,IPL-CI-4870 PB-00-04-16,20260423.09,46135.3766,4870,-9.00025008,0.000518086,-0.328177919,0.003401581,30.5716781,1.458316326,0.00050399,-1.461977748,0.003394494,-0.243214342,0.008696009,-3.004365556,0.027071762,-21.77662526,1.392235538,-0.315292851,0.007877414,-0.095242308,0.024474309,-20.49677469,1.391536306,,-0.315011379,0.598233192,0.605602082,23.37028809,23.37028809
4495,PB-00-04-16,IPL-CI-4872 PB-00-04-16,20260423.14,46135.58428,4872,-8.986896842,0.002413616,-0.329509385,0.003476092,30.57030548,1.470934548,0.002154933,-1.463271349,0.003468695,-0.209990965,0.007664802,-3.011801517,0.025403398,-23.32241669,1.646743722,-0.295604235,0.007964769,-0.099132112,0.024007019,-22.05890414,1.644719675,,-0.295361213,0.619804849,0.627173739,16.29013291,16.29013291
4496,PB-00-04-16,IPL-CI-4873 PB-00-04-16,20260423.16,46135.68713,4873,-8.989537612,0.000857023,-0.345127544,0.003780931,30.55420456,1.468142559,0.00060206,-1.478866325,0.003772705,-0.233875213,0.008694804,-3.019155312,0.024606152,-19.32960449,1.948264192,-0.308193841,0.006654923,-0.08194342,0.021138952,-18.0414873,1.947217852,,-0.307923178,0.606014513,0.613383403,20.75682477,20.75682477
4499,PK95-SC-43,IPL-CI-4875 PK95-SC-43,20260425.08,46137.34115,4875,-7.730007209,0.00053791,-0.477292446,0.00438561,30.41795444,2.65136365,0.000467068,-1.608126091,0.004370975,0.82215432,0.007268373,-3.304187426,0.021382753,-10.28384901,1.270913718,-0.322922555,0.007051417,-0.069650981,0.022364022,-9.943337706,1.273064148,,-0.323874033,0.588503904,0.595872794,26.73824198,26.73824198
4500,PK95-SC-43,IPL-CI-4876 PK95-SC-43,20260425.17,46137.74263,4876,-7.764609951,0.000686383,-0.554825951,0.004051981,30.33802438,2.615982382,0.000641775,-1.685567127,0.004037625,0.721950537,0.007883205,-3.439740363,0.025208543,-17.60429759,1.406986519,-0.310737127,0.007337125,-0.067568203,0.024135477,-17.0800933,1.405654061,,-0.311572639,0.602008189,0.60937708,22.09373317,22.09373317
4502,PK95-SC-43,IPL-CI-4877 PK95-SC-43,20260426.15,46138.64463,4877,-7.768785809,0.000645235,-0.552606842,0.003281264,30.34031208,2.612342835,0.000615519,-1.683348467,0.003274523,0.712245189,0.007325824,-3.415955454,0.018583033,-14.17735474,1.423872787,-0.327172223,0.006613079,-0.05753358,0.015948664,-13.66258413,1.425479726,,-0.327996503,0.583978319,0.591347209,28.34445303,28.34445303
4503,PK95-SC-4,IPL-CI-4878 PK95-SC-4,20260427.09,46139.3763,4878,-8.643912338,0.000717431,0.156444901,0.003572588,31.07128061,1.811412739,0.000701866,-0.977635164,0.003565303,0.562530745,0.008074516,-2.038396754,0.02304216,-20.86606795,1.701561749,-0.346625232,0.007553142,-0.089505218,0.024295139,-20.87987418,1.700162693,,-0.347276248,0.562813304,0.570182194,36.21452153,36.21452153
4506,PK95-SC-4,IPL-CI-4880 PK95-SC-4,20260427.16,46139.68547,4880,-8.63706164,0.00067114,0.157267209,0.003490877,31.07212834,1.817901904,0.000578713,-0.976800058,0.003482946,0.574912554,0.007243454,-2.104465509,0.020647542,-19.2933891,1.789482559,-0.341646796,0.006005488,-0.158374094,0.021014415,-19.31545674,1.787119958,,-0.342312141,0.568262826,0.575631716,34.12939185,34.12939185
4508,PK95-SC-4-SPAR,IPL-CI-4885 PK95-SC-4-SPAR,20260430.09,46142.37789,4885,-4.622659383,0.001159354,-8.372778729,0.00446984,22.27841868,5.306659794,0.000916164,-9.480375737,0.004458973,-4.322268785,0.009408925,-18.98624372,0.027195844,-39.65465029,1.702939792,-0.442354199,0.008145102,-0.149451602,0.023839079,-27.0519297,1.727481774,,-0.437352047,0.463929444,0.471298334,83.38405772,83.38405772
4509,PK95-SC-4-SPAR,IPL-CI-4886 PK95-SC-4-SPAR,20260430.11,46142.48086,4886,-4.702301232,0.000894881,-8.377257888,0.003907115,22.27380107,5.231457132,0.000672432,-9.485011609,0.003897955,-4.405423805,0.008129038,-18.99198618,0.025969283,-40.45169387,1.753651689,-0.437072807,0.007946936,-0.12270215,0.02495281,-27.77845435,1.778154726,,-0.431974421,0.469832921,0.477201811,79.94169349,79.94169349
4511,PK95-SC-22-SPAR,IPL-CI-4887 PK95-SC-22-SPAR,20260430.16,46142.68711,4887,-8.753641244,0.000592211,-3.078406994,0.003431126,27.73643945,1.594698,0.000542464,-4.205858139,0.003423929,-2.842377015,0.006816043,-8.518681341,0.025221849,-31.59849283,1.601062754,-0.357418132,0.006074724,-0.134559552,0.022005833,-25.22437574,1.610429143,,-0.354128656,0.555290833,0.562659724,39.16382462,39.16382462
4512,PK95-SC-22-SPAR,IPL-CI-4888 PK95-SC-22-SPAR,20260501.09,46143.36972,4888,-8.754482811,0.000732721,-3.009879604,0.003991532,27.80708502,1.596499222,0.00052919,-4.137476284,0.003982923,-2.786753313,0.009078312,-8.37370677,0.020582281,-31.3175812,1.424836953,-0.376345038,0.006075452,-0.133330824,0.022444347,-25.08383276,1.437119575,,-0.373119935,0.534442492,0.541811382,47.80049262,47.80049262
4514,PK95-SC-27,IPL-CI-4890 PK95-SC-27,20260501.13,46143.57608,4890,-10.01908675,0.000795488,-2.364515894,0.003641355,28.47239692,0.425520472,0.000694925,-3.49613137,0.003633398,-3.3525423,0.00701736,-7.053944135,0.024994033,-26.49811413,1.809466777,-0.360160714,0.006668978,-0.085488443,0.021935761,-20.23223257,1.821496036,,-0.356280824,0.552928215,0.560297105,40.10767617,40.10767617
4515,PK95-SC-27,IPL-CI-4891 PK95-SC-27,20260504.09,46146.37272,4891,-10.04310566,0.000562133,-2.077633904,0.003773583,28.76814643,0.412837712,0.000519457,-3.209909445,0.003765188,-3.086528686,0.006609011,-6.473862085,0.026977453,-33.50825488,1.69778962,-0.360244117,0.006120196,-0.061170722,0.025319779,-27.8185068,1.710062617,,-0.356672084,0.552498695,0.559867586,40.28018767,40.28018767
